"ex.sig","ref.sig","sim"
"hdp.1","SBS40",0.999851628427546
"hdp.2","SBS7d",0.999886410442714
"hdp.3","SBS22",0.998701825586838
"hdp.4","SBS1",0.999953572725171
"hdp.5","SBS17a",0.998549910874657
"hdp.6","SBS13",0.99983840401007
"hdp.7","SBS18",0.998951479274269
"hdp.8","SBS2",0.999943529901334
"hdp.9","SBS12",0.99962973098364
"hdp.10","SBS17b",0.999596456076222
"hdp.11","SBS3",0.999825356649762
"hdp.12","SBS7b",0.999959446245591
"hdp.13","SBS7a",0.999999179119868
"hdp.14","SBS29",0.99874198779764
"hdp.15","SBS28",0.999256814073597
"hdp.16","SBS41",0.999215263306913
"hdp.17","SBS5",0.999964991825678
"hdp.18","SBS16",0.999504089689495
"hdp.19","SBS7c",0.999997875098047
"hdp.20","SBS44",0.999486447789684
"hdp.21","SBS4",0.999976247412789
"hdp.22","SBS35",0.998293814205603
