"ex.sig","gt.sig","sim"
"hdp.1","SBS1",0.997285733481118
"hdp.2","SBS17a",0.998317215364128
"hdp.3","SBS2",0.99378298940772
"hdp.4","SBS17b",0.997188115962208
"hdp.5","SBS28",0.986453689276395
"hdp.6","SBS7c",0.999249664942837
"hdp.7","SBS13",0.995005030473136
"hdp.8","SBS22",0.990081402603934
"hdp.9","SBS18",0.994339911059331
"hdp.11","SBS12",0.991077508054344
"hdp.12","SBS41",0.993232009770374
"hdp.13","SBS40",0.993044757463048
"hdp.14","SBS5",0.993358808450725
"hdp.15","SBS16",0.986962499365202
"hdp.16","SBS4",0.991373982914191
"hdp.17","SBS7d",0.973307703965732
"hdp.18","SBS44",0.993181299442759
"hdp.19","SBS3",0.98028479638338
"hdp.20","SBS29",0.93756921796647
"hdp.23","SBS38",0.984423491229269
