Type,Subtype,Indel_size,Repeat_MH_size,hdp.1,hdp.2,hdp.3,hdp.4,hdp.5,hdp.6,hdp.7,hdp.8,hdp.9,hdp.10,hdp.11
DEL,C,1,0,0.00431563706114026,0.0128162238710484,0.0284392489708078,0.126259905849193,0.333413078630194,0.0142560536260227,0.000408240312494293,0.0202207374286816,0.0404675886307967,0.0634549189590457,0.00503362400658693
DEL,C,1,1,7.30312999250152e-05,0.0104216404309245,0.00658086515998943,0.207211272828207,0.0982025046616413,0.00189467718670776,0.000831399639547731,0.0282701900816081,0.022677807711493,0.0193123960677914,0.00290124878503335
DEL,C,1,2,4.80205359470209e-07,0.00387047198934821,0.00791736832469088,0.174890338257518,0.00288000199486512,0.000432912259319768,2.92671262893479e-06,0.0257489972500473,0.00403716155623666,0.00575208567386936,0.00173925344157052
DEL,C,1,3,0.00239142330371193,0.00411216707695894,0.000668166604959508,0.0641603793376503,0.0125016971674289,0.000880640784635319,0.00174266216722148,0.0136240773375277,0.00590086207403343,0.005107740268206,0.00143039767759989
DEL,C,1,4,0.00353349399219912,0.00135467877973502,0.00280994031389862,0.0427629162143448,0.0112401492528219,0.00195048019961104,0.000907913988715698,0.00249115481279483,0.00101635117871364,0.00400727198466376,0.0022282977971916
DEL,C,1,5+,0.013502590591033,0.00129359847378019,0.00138704346812732,0.0217961765756702,0.000896407295106237,0.00303132106126469,0.00349974330764841,0.00258394206866883,0.000705367144153434,0.000600350423300009,0.00261145695109074
DEL,T,1,0,0.00732406269222575,0.0190892709046725,0.00404777056449946,0.0372007503944115,0.100992286908941,0.0173677812338127,0.00184911281566681,0.102206900372382,0.0358642835335492,0.0527629982937903,0.00787331696936111
DEL,T,1,1,1.32731379172132e-07,0.019109351791026,0.000393972889301726,0.0133709373642314,0.0449983247570686,0.00117666255978806,1.70000690164029e-06,0.108699873303508,0.00942004287315572,0.489141224950216,0.00221224849465294
DEL,T,1,2,0.00686576005548658,0.014176290757832,0.0113849876171831,0.018920221310588,0.0860050596457276,0.0103721901804746,0.00100088357574598,0.115435023286426,0.00961973035085942,0.0230709093788978,0.00241593682535149
DEL,T,1,3,0.018160033859419,0.0262077300455134,0.0217460259960073,0.0202623242771467,0.115967363245815,0.0201865471258167,0.0027371842543021,0.0886590252031621,0.00924197156605053,0.0644090460380951,0.00122396747142291
DEL,T,1,4,0.0436925348249748,0.0131916934315602,0.0182660177080207,0.0162947972782548,0.0929951388898428,0.014286949560541,0.00420598620629241,0.0517386936854537,0.0013164054588397,0.02202283134156,0.00212254179379064
DEL,T,1,5+,0.760329869537291,0.0108098784467953,0.00621532783022344,0.00810713479476591,0.0016656419385454,0.0435751879557376,0.000964305684424651,0.0312525168714146,0.00783277917818194,0.00522558269869829,0.00454335944460111
INS,C,1,0,1.00213213858774e-07,0.000583115433831929,0.00241808477792803,0.00241657731065288,0.000267686668253683,0.461169397174868,1.652543083309e-06,0.000473377493559062,0.002496086648728,0.00232768486445193,0.000350543755537943
INS,C,1,1,0.000199204440058761,0.116541450152867,0.00171887664010216,0.001283890494557,0.000207072916863679,0.0117852648871068,4.67886288029114e-05,0.00137142297467607,0.00229281050009273,0.00158732233938504,7.48632493193976e-05
INS,C,1,2,1.67867359051596e-05,0.0674494786293299,0.000246232613223,0.00177194035027813,0.000968319646987766,0.00077826416040421,8.0120262352178e-06,0.00324943452784065,0.00125840453143889,0.00140162907779309,0.000118977298247204
INS,C,1,3,0.000485136054108823,0.0275019624142405,0.000300285315485806,0.00594027524717284,9.96939481025835e-05,0.00191997805289325,0.000865438550840582,0.000512676467719173,5.78417341402185e-05,0.000473352761660039,0.000129901734053927
INS,C,1,4,0.00274407360328095,0.00736309731213374,0.000206144528916732,0.00670827779114822,0.000259205673869771,0.00128904795728321,0.00189961899790269,0.000189287075865134,0.000787494947291191,8.4771978162482e-05,0.000177518493017003
INS,C,1,5+,0.00980052733825176,0.00270664086684047,0.000233840077003963,0.00731534988337997,0.000245977013194532,0.00150162773828141,0.0239894739155834,0.000198610674386594,0.000354919100293271,0.0010901849759237,0.000394801358155719
INS,T,1,0,0.00143421265856181,0.00261513360343446,0.00598076898611878,0.018043120860309,0.0126153664418252,0.0338856535392581,0.0022411084692111,0.00652302629106613,0.00500839736489943,0.0401389201237431,0.00133523593651872
INS,T,1,1,3.31562576138459e-06,0.237909897130849,0.0012689744644816,0.0414530034054834,0.0095101672788092,0.00354085786344194,3.8442350325924e-05,0.013654404281738,0.00512169748264991,0.00424812224843595,0.00138031179516933
INS,T,1,2,0.0006207214647083,0.123939026822291,0.000726192000261674,0.0403234252056994,0.00211207049425073,0.00162118335531162,0.000248329360500322,0.0296778105564263,0.00132954345121715,0.00381310033780666,0.000360592513835848
INS,T,1,3,0.00135324058628069,0.0735124800444777,0.000658549996853535,0.0240586507694701,0.00202356244239536,0.000626590225891449,0.0040221441307967,0.0191221751323039,0.00160665115992406,0.00872725080912472,0.000266593557643439
