Signature,NumberOfPostSamples
low confidence hdp.1,3547
low confidence hdp.2,3429
low confidence hdp.3,3097
low confidence hdp.4,2800
low confidence hdp.5,2696
low confidence hdp.6,2622
low confidence hdp.7,2600
low confidence hdp.8,2317
low confidence hdp.9,1949
low confidence hdp.10,1533
low confidence hdp.11,1402
low confidence hdp.12,1400
low confidence hdp.13,1387
low confidence hdp.14,1335
low confidence hdp.15,1200
low confidence hdp.16,1169
low confidence hdp.17,1000
low confidence hdp.18,965
low confidence hdp.19,800
low confidence hdp.20,800
low confidence hdp.21,800
low confidence hdp.22,726
low confidence hdp.23,619
low confidence hdp.24,598
low confidence hdp.25,586
low confidence hdp.26,585
low confidence hdp.27,520
low confidence hdp.28,491
low confidence hdp.29,483
low confidence hdp.30,416
low confidence hdp.31,400
low confidence hdp.32,400
low confidence hdp.33,400
low confidence hdp.34,357
low confidence hdp.35,294
low confidence hdp.36,280
low confidence hdp.37,268
low confidence hdp.38,256
low confidence hdp.39,255
low confidence hdp.40,214
low confidence hdp.41,202
low confidence hdp.42,200
low confidence hdp.43,200
low confidence hdp.44,200
low confidence hdp.45,200
low confidence hdp.46,200
low confidence hdp.47,199
low confidence hdp.48,197
low confidence hdp.49,197
low confidence hdp.50,196
low confidence hdp.51,174
low confidence hdp.52,168
low confidence hdp.53,166
low confidence hdp.54,147
low confidence hdp.55,141
low confidence hdp.56,136
low confidence hdp.57,135
low confidence hdp.58,133
low confidence hdp.59,130
low confidence hdp.60,125
low confidence hdp.61,119
low confidence hdp.62,118
low confidence hdp.63,105
low confidence hdp.64,101
low confidence hdp.65,100
low confidence hdp.66,100
low confidence hdp.67,95
low confidence hdp.68,69
low confidence hdp.69,62
low confidence hdp.70,58
low confidence hdp.71,44
low confidence hdp.72,41
low confidence hdp.73,38
low confidence hdp.74,31
low confidence hdp.75,29
low confidence hdp.76,28
low confidence hdp.77,26
low confidence hdp.78,24
low confidence hdp.79,24
low confidence hdp.80,23
low confidence hdp.81,22
low confidence hdp.82,21
low confidence hdp.83,18
low confidence hdp.84,17
low confidence hdp.85,16
low confidence hdp.86,16
low confidence hdp.87,16
low confidence hdp.88,16
low confidence hdp.89,15
low confidence hdp.90,14
low confidence hdp.91,14
low confidence hdp.92,14
low confidence hdp.93,13
low confidence hdp.94,13
low confidence hdp.95,13
low confidence hdp.96,11
low confidence hdp.97,10
low confidence hdp.98,9
low confidence hdp.99,9
low confidence hdp.100,8
low confidence hdp.101,7
low confidence hdp.102,7
low confidence hdp.103,6
low confidence hdp.104,6
low confidence hdp.105,6
low confidence hdp.106,5
low confidence hdp.107,4
low confidence hdp.108,4
low confidence hdp.109,4
low confidence hdp.110,4
low confidence hdp.111,4
low confidence hdp.112,4
low confidence hdp.113,4
low confidence hdp.114,4
low confidence hdp.115,4
low confidence hdp.116,4
low confidence hdp.117,4
low confidence hdp.118,3
low confidence hdp.119,3
low confidence hdp.120,3
low confidence hdp.121,3
low confidence hdp.122,2
low confidence hdp.123,2
low confidence hdp.124,2
low confidence hdp.125,2
low confidence hdp.126,2
low confidence hdp.127,2
low confidence hdp.128,2
low confidence hdp.129,2
low confidence hdp.130,2
low confidence hdp.131,2
low confidence hdp.132,2
low confidence hdp.133,2
low confidence hdp.134,2
low confidence hdp.135,2
low confidence hdp.136,2
low confidence hdp.137,2
low confidence hdp.138,2
low confidence hdp.139,2
low confidence hdp.140,2
low confidence hdp.141,2
low confidence hdp.142,2
low confidence hdp.143,2
low confidence hdp.144,2
low confidence hdp.145,2
low confidence hdp.146,2
low confidence hdp.147,2
low confidence hdp.148,2
low confidence hdp.149,2
low confidence hdp.150,2
low confidence hdp.151,2
low confidence hdp.152,2
low confidence hdp.153,2
low confidence hdp.154,2
low confidence hdp.155,2
low confidence hdp.156,2
low confidence hdp.157,2
low confidence hdp.158,2
low confidence hdp.159,2
low confidence hdp.160,2
low confidence hdp.161,2
low confidence hdp.162,2
low confidence hdp.163,2
low confidence hdp.164,2
low confidence hdp.165,2
