Type,Subtype,Indel_size,Repeat_MH_size,W.1,W.2,W.3,W.4,W.5,W.6,W.7,W.8,W.9,W.10,W.11,W.12,W.13,W.14,W.15
DEL,C,1,0,6.00718557193788e-307,3.78346495171004e-214,1.20693439620954e-08,0.027897053837412,7.07333575422569e-09,0,0.0117071180488657,1.05390069661282e-28,0.00884282709857237,0.0955187108810973,0.000559289620889902,2.2574858352857e-104,0.0200807979230628,0.620558405977207,0.00226676589655043
DEL,C,1,1,2.87850674344279e-206,2.66585565043235e-152,0,0,0.0251561262293831,0.000407601453757719,0.0196138436393415,2.22607412571512e-234,0,0.2476335830405,0,0,0.000698677559207517,0.142113062694421,0
DEL,C,1,2,0,0,0,0,0.0285880449229501,0,0,0.00158987509492529,0,0.222629566467601,0,0,0.00526926599824058,0,0
DEL,C,1,3,0,8.07111868423525e-135,0.0121306857642683,0.00951718996003999,0.0154319310961832,0.00194666140604925,0.00523192006404305,0.00177962128316967,9.39163722604708e-05,0.0787466644151164,3.74358742689061e-111,4.03467813343048e-244,0,0.0127277739121879,0.00161962313643122
DEL,C,1,4,1.15296385150912e-167,1.48701705992538e-80,2.41247888805562e-71,0.0359698375554998,3.22153534216408e-296,0.00028362165827657,4.4884475528672e-148,0.000865130910438856,0.00171519369012973,0.0490336935310265,0.00226274872883237,0.0059446372751074,0.00175612675865536,0.0191823683391019,0.0019337657094846
DEL,C,1,5+,0,0,4.62714527183e-236,0.117428955019567,7.99812917381432e-225,0.001102295497444,0,0,0.00159368589827965,0.0278707106711737,0.00576228179259659,2.11196510560518e-212,0.000667755250584597,0,0.00966918373262935
DEL,T,1,0,8.34355034127444e-287,0.989318920019575,3.09259044454676e-131,0.0491318442969957,0.103468878046882,7.92625434484414e-63,0.0137836217531396,1.21143052546125e-31,5.3342242296117e-41,0.0308656859381733,0.0106902360237573,8.5273680331287e-19,2.3634510540227e-70,1.47610363634417e-07,0.00350426583771285
DEL,T,1,1,0,0,0,0,0.0808957930217561,0,1.1125369292537e-308,0.795583171305372,0,4.07657199884301e-50,0,0,0,0,0
DEL,T,1,2,0,0,0,0.0575431193646606,0.199390815421251,1.03656869742423e-57,1.37769790997075e-35,2.48981460520229e-182,0,1.2045868288653e-41,0.0061993934890572,0.00919696514042686,0.00839352106102922,0.136914554619831,0.00471472140581702
DEL,T,1,3,0,1.27166163954278e-204,7.19658254539566e-169,0.0255874169561334,8.77212716018734e-10,2.52597292850988e-17,1.85173339493234e-100,8.00957091809833e-106,1.24180014618824e-195,5.4361540474791e-37,2.29226612879521e-153,0.913490866450458,3.34436670264644e-26,1.27003008453018e-66,0.0140926882054313
DEL,T,1,4,0,2.71658507550911e-225,0.93938195767466,0.0983014870785484,0.00757219352548002,2.50316332546301e-153,1.03475181136326e-210,1.31287847335079e-112,5.96723386732662e-216,6.19727176894298e-13,1.78047622988743e-138,1.58921794662783e-72,1.06631223473954e-76,3.88417915543325e-88,0.0350653739275581
DEL,T,1,5+,3.44469293130328e-284,4.32232253024561e-247,4.3197832633416e-182,1.18539821312135e-48,0.00410227258388981,0.000901873085053739,1.47495367536627e-84,1.59953687473524e-112,8.30477132807905e-196,5.75264227425258e-21,1.44639600369351e-187,1.86844964915146e-121,1.77984094806795e-113,4.19792504075936e-163,0.875450903825548
INS,C,1,0,0,0,0,0,0,0,0,0,0,0,0.742777897513771,0,0,0,0
INS,C,1,1,0.191875349523127,0,0,0.00215318377874878,0,0,0,0,1.28307506224613e-20,0,0.0198356363921053,0,0.00129215844960234,0,9.22380822055923e-05
INS,C,1,2,0.10001885674191,0,1.81730615696159e-270,0.000116536828543921,0.00375585671430224,0,0.000554183180966069,0.000978772007370387,0,0.00134281826566888,3.79833530521402e-195,1.04604509391839e-165,0,0,1.61528647210626e-05
INS,C,1,3,0.0377418429188936,0,0,0.00424983376431767,0,0.000807551860726517,0,0,0.000615741158727127,0.0067194436503171,0.000773070199945617,0,0,0,0.000223207344334214
INS,C,1,4,0.00919623973171236,0,0,0.024895928684835,0,0.00134853902864131,0,0,0,0.00776224944844304,0.000754461202908005,0,0.000166650058684995,0,0.00166906565323952
INS,C,1,5+,0,0,0,0.100062833869597,0,0.0194366911498941,0,0,0.000460796996477642,0.00930882137913973,0,0,0,0,0.00412124712025484
INS,T,1,0,0.00243055290306948,1.13792569372701e-65,3.69201598573801e-40,0.00975559587689144,0.00176254650218699,0.00214381313699214,0.0034078396384774,0.0523191752976781,0.0037795126399605,0.0205414323967086,0.0548785752844561,6.64253786117363e-98,0.00690492638474979,0.0190466024147086,0.000715190104712923
INS,T,1,1,0.320131126097491,0,0,0,0.0160460170060879,0,0.000818154312495318,0,1.11253692925407e-308,0.0498453220878544,0.00163696168280076,0,0,0.00926677217880509,0
INS,T,1,2,0.173613884907089,0,1.1125863556734e-308,0.00642677701111868,0.0450154743695564,5.6565351656261e-193,0,3.76776979324563e-171,0,0.0491204589284332,0.000892758336938846,0,0,0,0.000264581388881307
INS,T,1,3,0.102881410520819,5.20165584838189e-207,1.49376310531558e-288,0.00575004888681453,0.0311707737138389,0.00386821920147123,0,0.0118469255916534,0,0.0280900562302456,0,4.21373174768527e-293,0,1.63828492436443e-294,0.000963392636778598
INS,T,1,4,0.0552072719478251,3.38021632903816e-155,3.79219978459503e-185,0.0327847440424454,0.0168060583679177,0.0136924006700058,1.19132828979935e-150,0.0136312867896033,0.000368450206125646,0.00693728279947693,0.0048618073870528,1.10315469524449e-198,0.000309780211509422,0.00395946812277471,0.00266240203858852
INS,T,1,5+,0,1.31914385103006e-201,1.24541356215405e-160,3.78813469038441e-63,9.53790321903717e-40,0.921958262331412,2.00394087692483e-24,1.89784671730066e-119,2.40430346935667e-139,1.07692282796281e-43,1.96540287944966e-161,6.19702865008291e-103,1.41048155411938e-22,5.81044023254462e-77,0.00360287890866836
DEL,repeats,2,0,1.31859429397262e-171,1.66220106252279e-114,1.11253692925389e-308,5.17542876758244e-99,0.0354281723276429,0.000394448946981959,0.00723684332701186,0.0291792808332164,0.0962329207598378,0.00854496334208181,0.00027019241209067,1.44615342296588e-11,1.35103773295328e-259,0.0200373720423784,5.56763472589438e-259
DEL,repeats,2,1,0,1.06012947122096e-301,5.53417068215848e-148,0.0133894692726173,0.0213353892682859,1.20013834746719e-127,0.00636594810992774,1.48535436067233e-101,0.204927841592346,0.0111161144314667,0.00692200956821551,0.0469405397900546,0,0,0.00232123027652923
DEL,repeats,2,2,0,0,1.37759531493354e-260,0.00926816460598265,0.00427056948225266,0.000555473281034057,0,0.0024572206538084,0.0483280069498922,0.0139649021314237,0.00247906396290371,1.11257797238486e-308,0.00183106702323152,0,0.00134683115836701
DEL,repeats,2,3,0,0,0,0.00485272515848528,0,0.000180131178403304,0,0,0.0117750579394032,0.00708947588758442,0,0,0.000422155834560323,0,0.000553327584848531
DEL,repeats,2,4,0,8.74343624224334e-211,0,0.00462261529993064,0.000974835117350986,0.000118704356727837,0.000249043521108941,0,0.00339820588649529,0.00326995474615167,0.000216986947398351,4.00965288097938e-164,0.000110614362889535,2.06317362991063e-191,0.000543161327307695
DEL,repeats,2,5+,5.6334989789419e-261,0,0,0,0.0387911990955304,0,0,0,0.000318420641044163,0,0,0,0,0,0
DEL,repeats,3,0,0,6.02034739997306e-149,8.94428588136055e-05,0,0.0275285418870174,6.00633357920313e-05,0.0154095544852899,0.00329294733468865,0.00460076629011551,0.000964954289998719,0.00202260172241489,0.000871789193318511,9.06359372276244e-05,0.00230834983940918,6.18514262996948e-225
DEL,repeats,3,1,0,1.73531353455026e-201,1.56757404156275e-94,0.0357034876192979,0.00339967028564753,0.00430235911271612,8.27241000860698e-268,0,0.110694511286731,1.08325116560366e-288,0.00482076965709662,5.22986882601362e-251,0.00443082989252415,0.000916535270661729,0.00304804948087676
DEL,repeats,3,2,0,0,0.0101560594419994,0.0131033757655844,0,0.000352899335596523,0,0.00036572955889827,0.0144734482464253,0,0.00174738139611499,2.55229870563398e-202,0.000263875004117939,0,0.00153528893591616
DEL,repeats,3,3,0,0,2.61510695243596e-127,0.00489433459178087,0.000528437445934922,0.00032110784667149,0.000272939607090464,0,0.00386685434386929,1.4081910035138e-05,0.000522891013831213,0.000477179490161945,0.000101209422588779,0.000109943475879537,0.000239491586074076
DEL,repeats,3,4,0,0,0,0,0.00972712823522178,0,0,3.67900115751145e-120,0.000311632105310717,0,0,0,0,0,0
DEL,repeats,3,5+,0,0,0,0,0.0148972190407166,0,0,0,1.72556954401842e-05,0,0,0,1.25425713732345e-05,0,0
DEL,repeats,4,0,1.08334135195241e-131,0,3.93546571537481e-05,0,0.017373323424738,5.44741586985976e-05,0.00792606053948769,0.00439276384010803,0.00634938664831183,0,0.000165746175029976,0,0.00224058216088851,0.00105974168424154,8.90863359588008e-06
DEL,repeats,4,1,1.68577379964912e-282,1.90344156194155e-166,0.0177291889234932,0.0102409149308315,3.79938771505946e-142,0.000469855041880897,0.000357884814231132,0,0.0605532503636413,0.00108783934437953,0,0.00177206067095588,0.00240325137045029,0.00021076945076023,0.00143404578179577
DEL,repeats,4,2,0,0,0,0.00298293043612664,0,0,0,2.86921770549384e-05,0.0126314946321826,0,0.000427242111619274,0,0.000556435009470346,0,0.000390178483772161
DEL,repeats,4,3,8.15228061871511e-249,0,0,0,0.00624631052207978,0,0,0,0.00361256382669627,0,0,0,0.000134135854419122,0,0
DEL,repeats,4,4,0,0,0,0,0.00814385312342924,0,3.94882236881897e-05,0,3.17616089280163e-91,0,0,0,0,0,0
DEL,repeats,4,5+,0,0,0,0.00170802280588494,0.00243360998143326,4.138091333417e-06,0,0.000185173514465949,0.000692170791786411,0,0,0,9.31226121764015e-05,0,0.000133642479902754
