Signature,NumberOfPostSamples
low confidence hdp.1,2600
low confidence hdp.2,2130
low confidence hdp.3,1791
low confidence hdp.4,1600
low confidence hdp.5,1597
low confidence hdp.6,1335
low confidence hdp.7,1324
low confidence hdp.8,1183
low confidence hdp.9,913
low confidence hdp.10,800
low confidence hdp.11,791
low confidence hdp.12,785
low confidence hdp.13,400
low confidence hdp.14,396
low confidence hdp.15,200
low confidence hdp.16,21
low confidence hdp.17,2
low confidence hdp.18,2
low confidence hdp.19,2
