Type,Subtype,Indel_size,Repeat_MH_size,hdp.1 (ID5 0.989),hdp.2 (ID6 0.999),hdp.3 (ID4 0.99),hdp.4 (False Positive) (ID5 0.514),hdp.5 (ID13 0.998),hdp.6 (ID1 1),hdp.7 (False Positive) (ID5 0.929),hdp.8 (ID9 1),hdp.9 (ID2 1),hdp.10 (ID14 0.978),hdp.11 (ID3 0.979),hdp.12 (ID8 0.988),hdp.13 (ID11 0.974)
DEL,C,1,0,0.0214850211591136,0.029690377274516,0.0120410918985036,0.00747640816975494,0.0472769501221644,0.000473252191307903,0.0194563458106458,0.335208691446296,0.00403360353280108,0.0105907753288218,0.135568765439079,0.034208773474526,0.00789162921934268
DEL,C,1,1,0.028108209863728,0.00618093551247803,0.00227340299667755,0.00230085719240883,0.0141782028820266,0.000552169364437318,0.0298728939557814,0.09764241598021,3.41472582737152e-05,0.00255330858335206,0.157061951487472,0.0197947609297112,0.0101181167129454
DEL,C,1,2,0.026884578027412,0.00808630723843705,0.00335334160761146,0.000538496222455755,0.00708844237548792,4.49660406520349e-06,0.0264037690142165,0.00247043009785879,1.8940434348025e-06,0.00036716135557765,0.21148461383277,0.00268258762614045,0.00262822677024381
DEL,C,1,3,0.012880235926864,0.000909867590567035,0.00137728400952462,0.00290729652070857,0.00439974907651739,0.00186775523252946,0.0153487848882822,0.0111431382952341,0.00218451895727112,0.000900645397355295,0.0713145043272539,0.00567613175944101,0.00244654359636411
DEL,C,1,4,0.00243499804884092,0.00261467557680299,0.00229497195377496,0.00844926385013635,0.00404967374836968,0.000843400477914597,0.00360193904833822,0.0130983791201339,0.00319584656786315,0.0020026171599316,0.0435137560128704,0.00111465631963186,0.00320575584257529
DEL,C,1,5+,0.00198732841502805,0.00187321212564519,0.00221659310345087,0.00391986567530647,0.00132191307294797,0.00286776659246947,0.00321976110827534,0.000700576203158195,0.0126330486462887,0.00405551300077035,0.0255300289555096,0.000593902648379549,0.000782257993757285
DEL,T,1,0,0.0807244444497855,0.003477498862859,0.00724543708444,0.0258956383939203,0.0398540978990938,0.00160281834236751,0.185617699005333,0.106493312024771,0.00613977351619163,0.0194964695007764,0.0272542875395313,0.0292180209297768,0.0175555819780231
DEL,T,1,1,0.108373545514092,0.00100092166376364,0.00331949741590195,0.000561712783479365,0.521551067519864,5.04678996285386e-06,0.075688345165145,0.0391468482989889,1.87351607786008e-06,0.000616732802057112,0.00839688429329664,0.0107859201070716,0.00907147033870454
DEL,T,1,2,0.140005237817156,0.00979877895749908,0.00543326864168297,0.106426208987305,0.0186557723878881,0.000383339692891715,0.0896202873077838,0.0848027098529235,0.00619712458294757,0.00765953007229649,0.0108336735826903,0.00890482432688509,0.0235613741572332
DEL,T,1,3,0.0839720334097956,0.0213694208636973,0.00686722824208621,0.585164781052897,0.0542571637989137,0.00202907813038678,0.0733970491960976,0.103346427170103,0.0161626005608274,0.0155293122639282,0.0152390189261592,0.0104514791985604,0.00536961519780849
DEL,T,1,4,0.0436558139391044,0.0169450568311325,0.00417767598972974,0.0465257038617781,0.01469469732507,0.00419297978125202,0.0464880388891043,0.0951662748106381,0.0456030827371994,0.0112307426970009,0.0131577164396321,0.00166292888255013,0.00802678109378768
DEL,T,1,5+,0.0258929020362941,0.00321986569137237,0.00229199044164817,0.00939780080503514,0.00635879600206391,0.000991280189499839,0.0303728071110775,0.0043527161986591,0.825876642628019,0.0477062969750592,0.00812570058438379,0.00914523226931182,0.00919052537421467
INS,C,1,0,0.000489884625576443,0.0021937930171551,0.00044075344584235,0.000505644610838885,0.0028730288566872,4.2373639303784e-06,0.000626069277467156,0.000200700795489034,1.63271439065092e-06,0.530826504310941,0.00269658133376942,0.00265209054707843,0.00070311520232748
INS,C,1,1,0.00115653901773267,0.00176757932161458,0.000272700917722863,0.0013305613778677,0.00235511488789681,5.38128433825586e-05,0.00123482866986788,0.000212532593848346,0.000163307756696606,0.0156744891945051,0.00126557810722493,0.00222221193630954,0.118990494222873
INS,C,1,2,0.00272136683435783,0.000144207045911411,0.000178716134554944,0.00114458001383323,0.0019022151983187,1.21702985597202e-05,0.00347506988313815,0.000364773620497104,1.17463852534354e-05,0.000663349163234937,0.00213339845512503,0.00106464331060123,0.0652814779677706
