"Approach","Noise_level","Run","CPU_time"
"SigProfilerExtractor","Noiseless","seed.145879","986251.59"
"SigProfilerExtractor","Noiseless","seed.200437","937621.67"
"SigProfilerExtractor","Noiseless","seed.310111","963624.0900000001"
"SigProfilerExtractor","Noiseless","seed.528401","993836.06"
"SigProfilerExtractor","Noiseless","seed.1076753","942478.37"
"SigProfilerExtractor","Moderate","seed.145879","672820.0199999999"
"SigProfilerExtractor","Moderate","seed.200437","680567.6699999999"
"SigProfilerExtractor","Moderate","seed.310111","671289.88"
"SigProfilerExtractor","Moderate","seed.528401","673874.87"
"SigProfilerExtractor","Moderate","seed.1076753","674398.06"
"SigProfilerExtractor","Realistic","seed.145879","647702.6900000001"
"SigProfilerExtractor","Realistic","seed.200437","650540.22"
"SigProfilerExtractor","Realistic","seed.310111","672238.73"
"SigProfilerExtractor","Realistic","seed.528401","674590.0299999999"
"SigProfilerExtractor","Realistic","seed.1076753","673146.93"
