MutationsType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
1:Del:C:0	0.00000397	0.00171150	0.00187594	0.03383956	0.09134527	0.02510986	0.33195492	0.00792107	0.01063007	0.00478148
1:Del:C:1	0.00000229	0.01218780	0.00000000	0.02032256	0.23380388	0.00105002	0.08813124	0.00186767	0.00052323	0.00019998
1:Del:C:2	0.00000000	0.01421029	0.00000000	0.00000000	0.21181294	0.00366238	0.00052739	0.00305480	0.00159984	0.00000000
1:Del:C:3	0.00145913	0.00929447	0.00264992	0.00474722	0.07577292	0.00001100	0.01027762	0.00789956	0.00082782	0.00040650
1:Del:C:4	0.00045303	0.00004389	0.00363473	0.00046875	0.04583227	0.00179330	0.01306509	0.00318489	0.00198814	0.00131254
1:Del:C:5	0.00155692	0.00016548	0.01438140	0.00044102	0.02731609	0.00111327	0.00341112	0.01265527	0.00241599	0.00344047
1:Del:T:0	0.00061628	0.12678719	0.00772579	0.03466065	0.02486229	0.00096275	0.10658481	0.03138469	0.00579919	0.01710154
1:Del:T:1	0.00000002	0.08096765	0.00000000	0.00342178	0.00229408	0.00000695	0.00932366	0.39715008	0.00896442	0.00000001
1:Del:T:2	0.00005552	0.14942924	0.00708937	0.00391049	0.00303031	0.00915792	0.08298275	0.01464297	0.00285890	0.00738957
1:Del:T:3	0.00139521	0.10697669	0.01921983	0.00300726	0.00370189	0.02134227	0.10737440	0.04693395	0.00538084	0.01579008
1:Del:T:4	0.00275954	0.05777794	0.04346148	0.00165980	0.00345756	0.01576500	0.10297905	0.03761563	0.00399474	0.01183575
1:Del:T:5	0.00019902	0.00372353	0.83817663	0.00021935	0.00086950	0.00005701	0.00398220	0.00533707	0.00070536	0.06249001
1:Ins:C:0	0.00054890	0.00000003	0.00001117	0.00000016	0.00000012	0.00000001	0.00000021	0.00000048	0.00000083	0.52329858
1:Ins:C:1	0.00001682	0.00935923	0.00017372	0.00204176	0.00440700	0.00137200	0.00066413	0.00018547	0.00092002	0.01441500
1:Ins:C:2	0.00000001	0.00790842	0.00000713	0.00153876	0.00335897	0.00000927	0.00049353	0.00052432	0.00056009	0.00101126
1:Ins:C:3	0.00058769	0.00143482	0.00019653	0.00005016	0.00832676	0.00000041	0.00065254	0.00169853	0.00086413	0.00084008
1:Ins:C:4	0.00103944	0.00008085	0.00226713	0.00018578	0.00847285	0.00031117	0.00117558	0.00468478	0.00020209	0.00083266
1:Ins:C:5	0.01667340	0.00000000	0.00544360	0.00181000	0.00828816	0.00002087	0.01853863	0.06144564	0.00227540	0.00362836
1:Ins:T:0	0.00214561	0.00379816	0.00076444	0.00380062	0.01786514	0.00638901	0.01317694	0.02746972	0.00466914	0.03736364
1:Ins:T:1	0.00000001	0.02433409	0.00000000	0.00333331	0.05933521	0.00009776	0.00783416	0.00031034	0.00215146	0.00438348
1:Ins:T:2	0.00000009	0.04024686	0.00049316	0.00011166	0.05419735	0.00000000	0.00188756	0.00261438	0.00116985	0.00250434
1:Ins:T:3	0.00283544	0.02825925	0.00069739	0.00035891	0.03051288	0.00005658	0.00301055	0.01590794	0.00121439	0.00114096
1:Ins:T:4	0.01263265	0.01590420	0.00187224	0.00102585	0.00788419	0.00050609	0.01056780	0.04009269	0.00195138	0.00445116
1:Ins:T:5	0.92969976	0.00045049	0.00456699	0.00321656	0.00297987	0.00605091	0.01373976	0.04101746	0.00121133	0.15990770
2:Del:R:0	0.00002913	0.02499282	0.00012693	0.00743758	0.00874326	0.00010260	0.01122423	0.01798424	0.09196698	0.00119387
2:Del:R:1	0.00006962	0.01746631	0.00268930	0.00773724	0.01190530	0.00029724	0.00101890	0.00451735	0.19551298	0.00700576
2:Del:R:2	0.00044853	0.00225004	0.00149077	0.00000460	0.01325574	0.00162298	0.00014360	0.00190019	0.04536828	0.00262263
2:Del:R:3	0.00007668	0.00000000	0.00113967	0.00000000	0.00641453	0.00032784	0.00002010	0.00001162	0.01021371	0.00025634
2:Del:R:4	0.00000171	0.00053705	0.00101593	0.00021652	0.00327507	0.00010926	0.00013664	0.00003291	0.00333476	0.00044392
2:Del:R:5	0.00000000	0.02901265	0.00000001	0.00003366	0.00015685	0.00000065	0.00053722	0.00097391	0.00165937	0.00010870
3:Del:R:0	0.00001005	0.02038725	0.00005243	0.01397305	0.00129272	0.00057928	0.00172080	0.00394763	0.00517716	0.00126881
3:Del:R:1	0.00275490	0.00106883	0.00324486	0.00049514	0.00002372	0.00407254	0.00482899	0.01607920	0.10457716	0.00484691
3:Del:R:2	0.00058089	0.00030769	0.00186764	0.00020430	0.00000310	0.00051617	0.00081204	0.00180997	0.01407012	0.00156772
3:Del:R:3	0.00021167	0.00043679	0.00043932	0.00031670	0.00003633	0.00010419	0.00050257	0.00127008	0.00368812	0.00015185
3:Del:R:4	0.00000001	0.00719747	0.00000002	0.00000579	0.00000502	0.00000001	0.00009776	0.00057082	0.00061645	0.00001594
3:Del:R:5	0.00000000	0.01109824	0.00000001	0.00000649	0.00016319	0.00003431	0.00017230	0.00047507	0.00059436	0.00005055
4:Del:R:0	0.00003995	0.01283289	0.00000000	0.00720583	0.00014060	0.00226078	0.00077082	0.00370798	0.00602709	0.00031795
4:Del:R:1	0.00031168	0.00027415	0.00163109	0.00049848	0.00112123	0.00254732	0.00277917	0.00234072	0.05715256	0.00075749
4:Del:R:2	0.00000000	0.00000236	0.00038952	0.00000248	0.00000000	0.00051390	0.00001690	0.00002276	0.01101232	0.00060531
4:Del:R:3	0.00000000	0.00453349	0.00000001	0.00000776	0.00000689	0.00011470	0.00008018	0.00033600	0.00373454	0.00004688
4:Del:R:4	0.00000202	0.00600712	0.00000000	0.00008863	0.00006616	0.00001703	0.00008084	0.00037365	0.00020568	0.00000000
4:Del:R:5	0.00005649	0.00180960	0.00006528	0.00000264	0.00006590	0.00010355	0.00003633	0.00031239	0.00075336	0.00011166
5:Del:R:0	0.00000000	0.01635404	0.00000000	0.30221831	0.00071885	0.00982171	0.00072721	0.01105738	0.00292957	0.00090186
5:Del:R:1	0.00000032	0.00001448	0.00338945	0.00000042	0.00000000	0.00750520	0.00008231	0.00088108	0.01226574	0.00037761
5:Del:R:2	0.00008786	0.00026516	0.00048635	0.00028584	0.00001844	0.00043987	0.00009068	0.00041584	0.00271493	0.00004051
5:Del:R:3	0.00000593	0.00023748	0.00008775	0.00000468	0.00001865	0.00018396	0.00013273	0.00016888	0.00101189	0.00005730
5:Del:R:4	0.00000185	0.00005022	0.00007833	0.00000000	0.00003798	0.00007952	0.00007864	0.00007072	0.00013939	0.00003342
5:Del:R:5	0.00000375	0.00084249	0.00006770	0.00000025	0.00000001	0.00000000	0.00003923	0.00018354	0.00011980	0.00000142
2:Ins:R:0	0.00067537	0.00689290	0.00009151	0.00173793	0.00210352	0.00197970	0.00103965	0.00850648	0.00102990	0.02596574
2:Ins:R:1	0.00000260	0.02381938	0.00029152	0.00114424	0.00284769	0.00011858	0.00152111	0.00263956	0.00047216	0.00000632
2:Ins:R:2	0.00023950	0.00915885	0.00088130	0.00023306	0.00130039	0.00044272	0.00056599	0.00089314	0.00004776	0.00096051
2:Ins:R:3	0.00033134	0.00133730	0.00046464	0.00029728	0.00085704	0.00038221	0.00062351	0.00173890	0.00032019	0.00088728
2:Ins:R:4	0.00204066	0.00001798	0.00166940	0.00027784	0.00027226	0.00005262	0.00180375	0.00647078	0.00019279	0.00334888
2:Ins:R:5	0.01005397	0.00024075	0.01140061	0.00337149	0.00001734	0.00003970	0.01900909	0.07044531	0.00250176	0.00051604
3:Ins:R:0	0.00006898	0.00489095	0.00003106	0.00032767	0.00016883	0.00104704	0.00053066	0.00049033	0.00012674	0.00833612
3:Ins:R:1	0.00034831	0.00705341	0.00103359	0.00038379	0.00028450	0.00008100	0.00091861	0.00400082	0.00060109	0.00307747
3:Ins:R:2	0.00003251	0.00165482	0.00014524	0.00000239	0.00014079	0.00082961	0.00004789	0.00035512	0.00110376	0.00036293
3:Ins:R:3	0.00013046	0.00000264	0.00005478	0.00003940	0.00000259	0.00029250	0.00008968	0.00048214	0.00001788	0.00020438
3:Ins:R:4	0.00011211	0.00001174	0.00008171	0.00010189	0.00001601	0.00015380	0.00007592	0.00021876	0.00014619	0.00095731
3:Ins:R:5	0.00095727	0.00002114	0.00183446	0.00024634	0.00000432	0.00000014	0.00092155	0.00260755	0.00009240	0.00208688
4:Ins:R:0	0.00000695	0.00308745	0.00004016	0.00055637	0.00001725	0.00173166	0.00005808	0.00101129	0.00053649	0.00507958
4:Ins:R:1	0.00046567	0.00407184	0.00117607	0.00072637	0.00002206	0.00070330	0.00173582	0.00651413	0.00174812	0.00188835
4:Ins:R:2	0.00003606	0.00037279	0.00000000	0.00012571	0.00011485	0.00043439	0.00003359	0.00014665	0.00003463	0.00008433
4:Ins:R:3	0.00004281	0.00000185	0.00028473	0.00000481	0.00000574	0.00038546	0.00001807	0.00010640	0.00006775	0.00072153
4:Ins:R:4	0.00038118	0.00000477	0.00011173	0.00013848	0.00000000	0.00000571	0.00029247	0.00063000	0.00027186	0.00131251
4:Ins:R:5	0.00062600	0.00069135	0.00212244	0.00106733	0.00000536	0.00004670	0.00079879	0.00396278	0.00016141	0.00021349
5:Ins:R:0	0.00000003	0.00549408	0.00000054	0.00000456	0.00002787	0.00882889	0.00009558	0.00183448	0.00013882	0.00272032
5:Ins:R:1	0.00168168	0.00379897	0.00003335	0.01128855	0.00022452	0.00571586	0.00161813	0.01257666	0.00230060	0.02420043
5:Ins:R:2	0.00020310	0.00036393	0.00001489	0.00001528	0.00000430	0.00132319	0.00009246	0.00046084	0.00004652	0.00054568
5:Ins:R:3	0.00020524	0.00021790	0.00005988	0.00005967	0.00007060	0.00005327	0.00023844	0.00054194	0.00001045	0.00008905
5:Ins:R:4	0.00017500	0.00018913	0.00002119	0.00000883	0.00001289	0.00001556	0.00023969	0.00040798	0.00000037	0.00000891
5:Ins:R:5	0.00017550	0.00072562	0.00005279	0.00037905	0.00006727	0.00000187	0.00008186	0.00048566	0.00002137	0.00000254
2:Del:M:1	0.00000871	0.02324492	0.00000000	0.00014090	0.00978752	0.00002399	0.00048891	0.00731806	0.20577786	0.00366191
3:Del:M:1	0.00000372	0.01672250	0.00000825	0.01121611	0.00076237	0.00081359	0.00183471	0.00216992	0.00624301	0.00126368
3:Del:M:2	0.00125928	0.00867303	0.00186929	0.00309785	0.00055729	0.00390029	0.00188293	0.00734239	0.04229228	0.00378176
4:Del:M:1	0.00005376	0.01049812	0.00001188	0.00551748	0.00018409	0.00257031	0.00173535	0.00145126	0.01250809	0.00011129
4:Del:M:2	0.00003598	0.00557691	0.00049723	0.00089097	0.00030239	0.00952212	0.00133761	0.00073579	0.03073760	0.00084847
4:Del:M:3	0.00000348	0.00159552	0.00044018	0.00005792	0.00000119	0.00501505	0.00105096	0.00021280	0.04820390	0.00190047
5:Del:M:1	0.00000000	0.00047407	0.00005486	0.35239605	0.00009613	0.06264628	0.00029832	0.00113568	0.00022230	0.00173546
5:Del:M:2	0.00000002	0.00160247	0.00000000	0.11720948	0.00104583	0.27055078	0.00005539	0.00394706	0.00000674	0.00135882
5:Del:M:3	0.00000001	0.00378819	0.00000001	0.02084943	0.00045932	0.24122428	0.00024071	0.00766516	0.00041153	0.00010020
5:Del:M:4	0.00000000	0.00048918	0.00014816	0.00017601	0.00101889	0.13959061	0.00001745	0.00002565	0.00333792	0.00002762
5:Del:M:5	0.00026905	0.00018286	0.00210164	0.00099112	0.00000000	0.11327683	0.00014145	0.00542517	0.00054283	0.00032422
