Type,Subtype,Indel_size,Repeat_MH_size,low confidence hdp.1,low confidence hdp.2,low confidence hdp.3,low confidence hdp.4,low confidence hdp.5,low confidence hdp.6,low confidence hdp.7,low confidence hdp.8
DEL,C,1,0,0.00789019530491764,0.00854308510466914,0.0148868085511135,0.0211535031624496,0.00283673233352046,0.0187780940732263,0.0114779457923912,0.0170059282333984
DEL,C,1,1,0.00215881369671035,0.00775986946658739,0.0199030897375478,0.000674434841527978,0.000412305506141401,0.0216997879671751,0.0144102920190561,0.0353963280912677
DEL,C,1,2,0.000903175950715967,0.00196315641739685,0.0236071504014908,4.83979819834031e-05,8.08383134827604e-06,0.0246882347249336,0.00511204027022212,0.0211693793783234
DEL,C,1,3,0.00387246234463103,0.00380641587112839,0.00914763027132411,0.00542169430579817,0.00285988490821999,0.0121555639878514,0.00528355171902761,0.0133810191470707
DEL,C,1,4,0.00628730514187534,0.00318479389605809,0.00226301880268966,0.0298980774349787,0.00268107718241957,0.00337560232519715,0.00649412281884894,0.00189119656699724
DEL,C,1,5+,0.00297076633091237,0.00155820565456521,0.0012315362072662,0.123207370116397,0.00934147679736426,0.00271210425704104,0.00828250433357811,0.00236759915729485
DEL,T,1,0,0.0459893381786865,0.0235693625541275,0.078757852253323,0.0546146579562249,0.00684634278964469,0.0745575655799265,0.00975617066554768,0.121203246456235
DEL,T,1,1,0.000981967796452544,0.00770471610517955,0.0921263892704486,5.04145645660449e-05,7.76770386538256e-06,0.0883089315911517,0.00451924341804001,0.0623675265544797
DEL,T,1,2,0.124152625073767,0.015819841450196,0.160004327246604,0.0604726062940679,0.00414828504528684,0.0860292577967718,0.0139157395890053,0.175857044202729
DEL,T,1,3,0.556390956969293,0.0114501789830819,0.178710549955586,0.204975312547894,0.0100004069012316,0.0848855697728236,0.0283743212392785,0.0466951412060694
DEL,T,1,4,0.0370221039246094,0.0223564055701483,0.0335844384945096,0.049049114092865,0.0317288272903282,0.0453251945267621,0.0185915080185765,0.0493103373169502
DEL,T,1,5+,0.00841805923311678,0.0129521319996202,0.0180044918769781,0.0116925939436199,0.36092639021238,0.0220208808368899,0.0132829789040918,0.0266203560356642
INS,C,1,0,0.000754235091307081,0.000918199225692293,0.00070522054700704,4.25722989668823e-05,9.78489828003617e-06,0.000588573637891664,0.00332365875549295,0.000346891980250326
INS,C,1,1,0.00172258746738441,0.00227201524128079,0.000869570341027927,0.00180484141146441,0.00013418858964345,0.00114239051170708,0.00478400380988539,0.000716418955826312
