Signature,NumberOfPostSamples
low confidence hdp.1,3400
low confidence hdp.2,3200
low confidence hdp.3,2400
low confidence hdp.4,1976
low confidence hdp.5,1607
low confidence hdp.6,1600
low confidence hdp.7,1382
low confidence hdp.8,1150
low confidence hdp.9,816
low confidence hdp.10,800
low confidence hdp.11,800
low confidence hdp.12,600
low confidence hdp.13,531
low confidence hdp.14,402
low confidence hdp.15,400
low confidence hdp.16,400
low confidence hdp.17,378
low confidence hdp.18,200
low confidence hdp.19,200
low confidence hdp.20,60
low confidence hdp.21,57
low confidence hdp.22,54
low confidence hdp.23,45
low confidence hdp.24,29
low confidence hdp.25,21
low confidence hdp.26,12
low confidence hdp.27,11
low confidence hdp.28,10
low confidence hdp.29,10
low confidence hdp.30,10
low confidence hdp.31,8
low confidence hdp.32,6
low confidence hdp.33,6
low confidence hdp.34,4
low confidence hdp.35,4
low confidence hdp.36,4
low confidence hdp.37,4
low confidence hdp.38,4
low confidence hdp.39,2
low confidence hdp.40,2
low confidence hdp.41,2
low confidence hdp.42,2
low confidence hdp.43,2
low confidence hdp.44,2
low confidence hdp.45,2
low confidence hdp.46,2
low confidence hdp.47,2
low confidence hdp.48,2
low confidence hdp.49,2
low confidence hdp.50,2
low confidence hdp.51,2
low confidence hdp.52,2
low confidence hdp.53,2
low confidence hdp.54,2
