"","ID1","ID2","ID3","ID4","ID5","ID6","ID8","ID9","ID11","ID13","ID14"
"signeR.1",0.999995969209165,0.00493477403500209,0.0839558252835617,0.00595381467708755,0.0108442936833133,0.0387221523325608,0.0512947509440782,0.0164553110110666,0.0599637638567461,0.0230932631020805,0.451778242591094
"signeR.2",0.00156430195386592,0.999921559803965,0.0380831803582811,0.00877898510710684,0.167559963872776,0.0282589618503489,0.0306242317342005,0.0362254817631849,0.0177896806854128,0.021072426412439,0.0786629347611745
"signeR.3",0.00120551991824136,0.999967164277134,0.0360684462985577,0.00705621302114767,0.164950679003314,0.0274655951475971,0.0298958859999316,0.0327958398287457,0.0171543606246907,0.0203573592964943,0.0783271595526759
"signeR.4",0.0269941745389305,0.999414681671038,0.0427595020589591,0.0122773575236707,0.176863996257155,0.0309309918950522,0.0326525310013998,0.0432014060956571,0.019514071487602,0.0240116509953605,0.0908468737248281
"signeR.5",0.00513177594054215,0.0750368129573816,0.311704432069948,0.18368098198012,0.962470918757389,0.139466176753811,0.358702668226623,0.501323528000491,0.15289954029085,0.717053787832408,0.0633193465805714
"signeR.6",0.00154755730688094,0.999686687437752,0.0340642241839065,0.00733689025730377,0.154335647383936,0.0260745328684672,0.0295158926942601,0.0231682812241831,0.0174171340577398,0.0180648277283236,0.0775922527601005
"signeR.7",0.0018272989406527,0.00576314345319751,0.082949802692778,0.0340605055708362,0.157414522815071,0.866180672953524,0.846415485581039,0.124154144293785,0.00888901161848832,0.0683353932802004,0.0327591902614839
"signeR.8",0.857681202851393,0.51805797216943,0.0866757099142235,0.00670405886509884,0.0886214641252587,0.0458903033026415,0.0585034952559489,0.0246570505960281,0.0592589263051533,0.0278632174091511,0.42688795922461
"signeR.9",0.0452991270011383,0.0136720607663304,0.995992251200086,0.0649345956817655,0.341499940673202,0.0708804079032833,0.132371871052529,0.52549197969636,0.219038822373343,0.117138112772574,0.051298602216317
"signeR.10",0.00301079991989817,0.0287571951472162,0.565973844448715,0.0444327648119214,0.509291412436464,0.107941583656838,0.137621249687505,0.998451361537818,0.0184580343698697,0.264790048665019,0.0508887085675856
"signeR.11",0.514999577344503,0.125489838276507,0.0724383587664842,0.0205196931364529,0.0762699284267568,0.0392630233232472,0.0516374782337805,0.0532550863101142,0.0469434097077632,0.037945792857335,0.996034046420737
"signeR.12",0.0322314249503712,0.00903782865764269,0.0716762575932903,0.989708242313742,0.274597076411788,0.0296183073964496,0.0645418426032435,0.0754318426100695,0.00694496887393969,0.173378399153815,0.0354355365136577
