Signature,NumberOfPostSamples
low confidence hdp.1,3595
low confidence hdp.2,3400
low confidence hdp.3,3200
low confidence hdp.4,2665
low confidence hdp.5,2197
low confidence hdp.6,2019
low confidence hdp.7,1337
low confidence hdp.8,1191
low confidence hdp.9,993
low confidence hdp.10,963
low confidence hdp.11,866
low confidence hdp.12,600
low confidence hdp.13,600
low confidence hdp.14,598
low confidence hdp.15,402
low confidence hdp.16,200
low confidence hdp.17,200
low confidence hdp.18,200
low confidence hdp.19,2
low confidence hdp.20,2
low confidence hdp.21,2
low confidence hdp.22,2
low confidence hdp.23,2
low confidence hdp.24,2
low confidence hdp.25,2
