Type,Subtype,Indel_size,Repeat_MH_size,W.1,W.2,W.3,W.4,W.5,W.6,W.7,W.8,W.9,W.10,W.11,W.12,W.13,W.14,W.15,W.16,W.17
DEL,C,1,0,0,3.10884118055185e-281,5.81613082019886e-151,4.91367156185174e-65,0,0.0148380590183738,0.00335701419293215,8.94019907019369e-166,5.13941961832982e-106,0.00144614554645535,1.09688894857643e-72,0.629720093539333,2.44463695686635e-106,0.087972333019441,7.57507004856798e-05,0.0269820182952365,0
DEL,C,1,1,0,0,3.2157945277179e-235,0.0223941735894778,0.000490119615602571,1.96031544564308e-151,0,0,0,0,1.20090799054725e-175,0.147113192655622,0,0.262993840618471,0.0161936880154461,0,0
DEL,C,1,2,0,0,0,0.0267985576199504,0,0.00585978291115593,0,0,0,0,7.41842634682116e-58,0,0,0.244976674332007,0,0,0
DEL,C,1,3,0,1.11280248779797e-308,2.88260246231022e-253,0.020156695286553,0.00144323098247858,0,0.00168412215335603,3.09052841063015e-136,0.00042705933102858,0,0.00304086465119658,0.0130169701741957,3.26764512910421e-203,0.0777400246420167,0.0050886943972714,0.023713110351658,0
DEL,C,1,4,0,0.0413050897351397,0,0,0.000238426973164351,0.0018004671980218,0.00274408008249547,0,0.000745511524669268,0.00179038471591219,0,0.0156859552376508,0.00900580542670231,0.0505227969280095,0,0.018768556502274,0
DEL,C,1,5+,0,0.915556844485561,0,0,0.000222753638966797,0,0.00975051323848588,0,0,0,0,0,0,0.000176088420479524,0,2.76878148103008e-26,0
DEL,T,1,0,0,1.28649524382016e-236,2.83647801907429e-32,0.101766821462701,6.12774431949269e-203,5.26334552463265e-145,0.00606521846007512,0.985805737260947,8.72994507434502e-125,3.12820996593145e-175,3.99946486577802e-27,1.4872399110574e-39,0.0154391703800952,0.0317159892670432,7.19332395375378e-07,0.0288283849603876,0
DEL,T,1,1,0,0,0,5.34519191891415e-77,0,0,0,0,0,0,0.811315984910861,0,0,1.36819963301746e-75,0,0,0
DEL,T,1,2,0,2.77206121551864e-248,3.47860434498966e-92,0.239196898967678,0.000452044632547598,0.00952120645460506,0.00394860510717579,0,0,0.0117763245884608,5.95992442101379e-179,0.118247897935122,0.0426876086000666,0.0032531192298026,1.48852022132346e-127,0.0283677394800626,0
DEL,T,1,3,0,3.39423572072616e-228,0.988932477128453,2.43020586706493e-27,7.22343606192968e-25,1.29205762519735e-75,0.00918262698783766,2.3042721146132e-227,0,0,1.82503761840595e-103,4.8001956790903e-94,0.0252228519357259,5.10196253010343e-36,8.81924013202749e-177,0.08871236003235,0
DEL,T,1,4,0,0,1.12399569681183e-102,5.39780023115681e-07,6.22887507843415e-43,1.6638353332733e-73,0.0280998923796494,1.41233178734486e-194,9.89044514230465e-247,0,2.31643656601044e-61,0.0132571375674563,0.853184690475223,3.2631231649448e-51,3.90970218419288e-142,1.42458455332633e-168,0
DEL,T,1,5+,0,0,4.35674491836701e-115,0.0108191526425185,0.000603206080571487,0.00156121117834592,0.882815382909651,6.94051601447588e-181,1.0039348447537e-176,0,1.4887009507711e-90,1.92468573065061e-60,4.30479782838274e-45,1.7096049336839e-24,0.00103256293449329,3.04529182653597e-69,2.09568661094757e-247
INS,C,1,0,0,0,0,0,0,0,0,0,0,0.756059154846826,0,0,0,0,0,0,0
INS,C,1,1,0,1.2962446409318e-193,0,0,0,0.00121492552377822,0.000199776711334497,0,0,0.0229273199209366,0,0,5.08094292794783e-231,0,0,0.000937083899230968,0.171062641499422
INS,C,1,2,0,5.26094908118192e-28,2.56601859212723e-168,0.00427053943046275,0,0,1.55376789640537e-05,3.20853752469834e-260,0,0.000229084466181571,0.0005605113512005,0,9.00536627219277e-158,0.000662300166198701,2.34576509920114e-05,3.69110274585902e-209,0.101807809205838
INS,C,1,3,0,0,0,0,0.000648213962797943,0,0.000293079976614168,0,0.000231072475290261,0.00182745434061634,0,0,0,0.00710611945405374,0,0.00605278569019706,0.0389825642597415
INS,C,1,4,0,0.00667036116855297,0,0,0.00150734020761689,0.000180886862037637,0.00171709665227376,0,0,0.00222394340158096,0,0,0.0056697023631367,0.00648708739370416,2.68871711659015e-179,0.0216567052924129,0.0101414857408684
INS,C,1,5+,0,2.08729763006576e-286,0,0,0.0195474457033343,0,0.00700145783128064,0,0,0,0,0,5.13518248231503e-239,0.00754807279727853,0,0.160089533670352,0
