Type,Subtype,Indel_size,Repeat_MH_size,hdp.1,hdp.2,hdp.3,hdp.4,hdp.5,hdp.6,hdp.7,hdp.8,hdp.9,hdp.10,hdp.11,hdp.12,hdp.13,hdp.14,hdp.15,hdp.16
DEL,C,1,0,0.0218507663722468,0.0308407923552502,0.0459430950983986,0.0125382038222268,0.00433463669688162,0.0190728779686186,0.0150390015935084,0.0340760757493059,0.0103385084169538,0.0678783119789893,0.000359479849339144,0.142826496932236,0.336120950941866,0.00945876920125966,0.00205191422572391,0.0365179978690763
DEL,C,1,1,0.0254204869268976,0.00608542264750416,0.0161917098951525,0.00248318055559299,9.20965260429438e-05,0.0294304189121296,0.0350710886727225,0.019178823640428,0.0021194157976489,0.319053364302165,0.000610674184341946,0.139544515918145,0.098724044305741,0.00903554359423883,0.00396699994121252,0.0234886621496559
DEL,C,1,2,0.0279900767502181,0.00852583082682647,0.00733736287110835,0.00335591651618073,1.6205628071325e-05,0.0266107182416448,0.0215592373973152,0.00272777917698031,0.000236572864631432,0.135784528316901,1.21276381484906e-05,0.2193495048996,0.00232063057307026,0.0029337336300273,0.000235663362844308,0.00252374818976583
DEL,C,1,3,0.0119535192244434,0.000815751020690301,0.00531502003155711,0.00145687095916243,0.00275256100024618,0.0151834351593435,0.0140285205940855,0.0056816499859506,0.000655049387392829,0.0557328993223515,0.00171919812491492,0.0724046121027826,0.0108158805705733,0.00240438297778424,0.0153821687036487,0.00600788353612205
DEL,C,1,4,0.00286341637788012,0.0025901811944785,0.00400677035149881,0.00231757796835731,0.00367007329415862,0.00360824802883728,0.0013127456742866,0.00104492726157633,0.00169144751860195,0.0406393291443984,0.000682551590145257,0.0433901555764404,0.0130604767483109,0.00330637877933792,0.00530165552228829,0.00188171844797028
DEL,C,1,5+,0.00215450814254228,0.00186414661430149,0.00143451367728801,0.00221736352715461,0.013993653298811,0.00335581972821919,0.00157570309384908,0.000602126223499548,0.00311833153884372,0.0222053384034699,0.00239410529849271,0.025873484139901,0.000610787339083391,0.000704973514690437,0.0248568370742111,0.000825203238585108
DEL,T,1,0,0.083254563724304,0.00232995930641583,0.038768837463523,0.00748762664108858,0.00791228585525208,0.190819764310918,0.065726420620326,0.0288321177850683,0.0199118252484216,0.0347934853311414,0.000912681015938904,0.0287528556502831,0.105587547517391,0.0159645743597463,0.00787405718610243,0.0379390798030313
DEL,T,1,1,0.111133010439218,0.000808894503580095,0.505478467023254,0.00337406051978668,1.45655694695389e-05,0.0754982282028344,0.084894079124567,0.0110769007573493,0.000516065489004882,0.0201493424653217,1.58086269414285e-05,0.00700990294766601,0.0391484313173582,0.00944727567550235,0.000194589138383426,0.00765207525602356
DEL,T,1,2,0.11511999342773,0.0093614998745971,0.0192261664231155,0.0055514348239162,0.00743964146694985,0.0873389324055167,0.217230533592168,0.00917724918441735,0.00906713317092462,0.00770700216717436,0.000215458510806232,0.0111658000276732,0.0849017029161964,0.0194708152659692,0.0136375410196728,0.00750678588375114
DEL,T,1,3,0.116341872007316,0.021666058887616,0.0557655572359943,0.00638595170817211,0.0182140828266616,0.0742538560085742,0.0467339540879278,0.0100160146865935,0.0162406314119592,0.0104514031841284,0.00157569260217468,0.0157648884363401,0.105878059735078,0.00543860669488037,0.0124267498967368,0.0083534170875023
DEL,T,1,4,0.0460443125698325,0.0170577192779324,0.0136672599281134,0.00449841210466003,0.0390080401400805,0.0456167347120882,0.0326490775934205,0.00144938713307021,0.00994314071553516,0.0154798025508204,0.00434496836253781,0.0142358222928452,0.0937482622338947,0.00609727069236574,0.0442961122989834,0.00126555763330572
DEL,T,1,5+,0.0250047921830039,0.00295381316667219,0.00691985486758597,0.00227540288237009,0.819803873230328,0.0297550864483847,0.0273974485768567,0.00886816154235726,0.0571581624943286,0.0134435468478141,0.00083595308527804,0.00777262342507442,0.00429503092355355,0.008868149559571,0.013640236515653,0.0132298457995074
INS,C,1,0,0.000490488443995279,0.0022847404209492,0.00274579033431183,0.00045016707837999,1.06824895447219e-05,0.000612513606500799,0.000536973206718204,0.0026622605546863,0.560159365997016,0.00227345430685488,1.12962332590194e-05,0.00269911581060853,0.000204021572308327,0.000729816524644478,0.000231042512592459,0.00257013876329451
INS,C,1,1,0.00118655154738751,0.00173092929571966,0.00228939055900336,0.000302507341716936,0.000178694032068134,0.00117231423067252,0.00117839005490342,0.00218199339660812,0.0152400608191081,0.0013929612590915,6.92466126602316e-05,0.00124043385318432,0.000218547183192686,0.120988812617941,0.00046863122970837,0.00189473706970712
INS,C,1,2,0.00271115193540566,0.00014606941004293,0.00226501851220997,0.00020610139794519,3.05501112097409e-05,0.00353054739171576,0.00225306948914251,0.000922405044261347,0.000526573797022137,0.00109933007510855,1.40529968398976e-05,0.00226161052899159,0.000373426205109582,0.0662301452417172,0.000189583217277256,0.00226217811951376
INS,C,1,3,0.000676874227874375,0.000109196239972887,0.000432047257398732,0.000880741851314088,0.000274898744118493,0.000207240432334581,0.000337410263672154,0.000238193173054517,0.000655557663258681,0.0068802151902827,0.000792141893016272,0.00562540655236356,0.000227975448213941,0.0263697258384902,0.0059250852354336,0.000113089161173949
INS,C,1,4,0.000190379452174916,0.000450975002938064,0.000316416737315658,8.35857904478084e-05,0.00249069027065805,0.000255579645474726,0.000340886201026841,0.000233543261847809,0.000798950559273666,0.00569195778199118,0.00135163892949675,0.00842390805846662,0.000377495565947788,0.00775455213497943,0.0177031190995914,0.000427076824764244
INS,C,1,5+,0.000282788499130964,0.00032414107076087,0.000848481172320448,0.000870201432367838,0.00800856292282899,0.000306809915400753,0.000366999081879622,0.00077004099173369,0.00185692086385904,0.00718768687467529,0.021666196606873,0.0104603831586313,0.000679358198170233,0.00120496424607871,0.179065648676242,0.000358436125472505
INS,T,1,0,0.00472144427837668,0.00685225505573511,0.0372395208205631,0.00371894410052416,0.00115511779372194,0.00496521340570389,0.00725943605068191,0.00448456664255881,0.0403800707255229,0.0219164439516805,0.00243688618517374,0.0177247380462153,0.0138372015517683,0.00426204084901914,0.0127789613714889,0.00486653689001907
INS,T,1,1,0.0136424847530984,0.00131704463760174,0.00490746199425367,0.00122319818544945,1.98877204223938e-05,0.0146616412415033,0.0122411557729739,0.00335242117305715,0.00348586227133023,0.0484693477125427,3.05272780947465e-05,0.0413779996727827,0.0105002587541714,0.207378378428539,0.000246188632862409,0.00515334793796976
INS,T,1,2,0.0285722298073862,0.000675650038154501,0.00832100344716043,0.000337306816482227,0.000534001874816108,0.0245504033695853,0.0387968915377966,0.00202223657385815,0.00167423706137684,0.0343270982071538,9.47576153213743e-05,0.0465795741514886,0.0023293228251447,0.132207589443389,0.00338028031617911,0.00125090116408036
INS,T,1,3,0.021144012615858,0.000830615856710334,0.0125170575034228,0.000828026346380615,0.00103316858335016,0.0212709131181149,0.0188295467475426,0.000757676544297118,0.000438299281529605,0.0227347433206415,0.00335068502299753,0.0249214690165748,0.00173054892052387,0.0847032822222504,0.032611779009377,0.00172670557005453
