Type,Subtype,Indel_size,Repeat_MH_size,signeR.1 (ID2 1),signeR.2 (False Positive) (ID2 0.999),signeR.3 (ID1 1),signeR.4 (ID5 0.961),signeR.5 (False Positive) (ID2 0.998),signeR.6 (False Positive) (ID1 0.999),signeR.7 (False Positive) (ID6 0.859),signeR.8 (ID3 0.989),signeR.9 (ID9 0.997),signeR.10 (False Positive) (ID5 0.584),signeR.11 (ID14 0.987),signeR.12 (ID4 0.986)
DEL,C,1,0,0.00524321480651997,0.000167319633729082,5.35837260454518e-06,0.0179322877638228,0.00400619785305611,1.35736561505732e-05,0.0315280476185402,0.1037204104327,0.37105665566433,0.0280781863658707,0.00660639987900455,0.0116626084125921
DEL,C,1,1,2.84314444986473e-05,5.6417393422956e-06,0.000257111020254321,0.0218590498626855,2.07125349496547e-05,0.000450616180460572,0.00915005666151734,0.222010661266312,0.0965791206691938,0.000189071505321022,0.000837394212550114,0.000255943009566486
DEL,C,1,2,1.70796805817161e-06,2.37994445688517e-06,1.88984873651347e-06,0.0176373556826658,3.88243161597432e-06,3.47700752259287e-06,0.00331176316077339,0.194601565977085,1.61022053467171e-05,2.16802282026541e-05,8.66442893249484e-05,0.00128449734479491
DEL,C,1,3,0.00206594359366498,0.00144487049865263,0.00134677326007485,0.0105081303467212,0.00298792387889813,0.00418435976164307,0.00147554627418609,0.0705669722635508,0.0114970891861476,0.000448787684054607,0.000966176045722497,0.000415886890292753
DEL,C,1,4,0.0042830429423756,0.000415275336519799,0.000161062047922245,0.00157177904620943,0.00316446855297106,0.00215250607131605,0.00133545599878097,0.0435823610803635,0.0138290221482024,0.0372316061751195,0.0024917115601366,0.0022143297223336
DEL,C,1,5+,0.0164931071338376,0.0047828681686989,0.00351870239545457,0.000472898281354881,0.019837722241655,0.00361746551765381,3.24622626718576e-05,0.0249202761524538,2.60669781734252e-05,0.0846418668226274,0.00490514868856477,0.00196866260452746
DEL,T,1,0,0.00683114416702873,0.00083674887666214,1.66744245749398e-05,0.0984231144906755,0.00715174066069733,0.00800138109400265,0.00986587728625072,0.0311912284890492,0.122869291706693,0.0580413976937245,0.0181815777533886,0.00423030956775996
DEL,T,1,1,1.37187042647423e-06,1.68582307214729e-06,1.66400922499975e-06,0.142476905348837,3.52240806359202e-06,3.51314633220091e-06,9.97171882008107e-06,0.00146341053970312,0.0210174210027299,1.70033284567714e-05,0.000110798261931125,0.0304471549178865
DEL,T,1,2,0.00996658076977558,0.00133921940784424,1.56937097313444e-05,0.103671839484757,0.00396113778323018,0.000909509751324581,0.00642718051094814,0.00837545447332276,0.0861506406573159,0.0759664313674675,0.0077223396727777,0.000183853883276008
DEL,T,1,3,0.0116310424168376,0.0160873605192879,6.65571801226555e-05,0.0779303805611193,0.0132923845269238,0.00398315513514602,0.0125627782042284,0.0102201699308627,0.109859004307421,0.286629156972014,0.0158560539966852,0.0046038147829301
DEL,T,1,4,0.0516873540979536,0.0222825053142524,8.51511700483547e-06,0.0405457498817293,0.0909283874664532,0.0115806199095783,0.00955209162022488,0.0104908585150102,0.103268995082058,0.0423680779074221,0.0180803161081873,0.000474485235493329
DEL,T,1,5+,0.809334529313539,0.903726239619808,1.23904898572946e-05,0.00914162399644307,0.775911267763406,2.03873462588394e-05,8.53281119028877e-06,5.56420747683648e-05,4.89681548365994e-05,0.0576850587217366,0.0771365922241844,0.000258785722671605
INS,C,1,0,1.50737883816568e-06,1.96714019958116e-06,1.88960928761611e-06,0.000617359892947223,3.61878736923595e-06,3.35121195824129e-06,0.00196265179860427,0.00190172883446645,1.52532406770338e-05,2.08231939756562e-05,0.488724951480148,0.000533919392526782
INS,C,1,1,0.000222126959426795,2.95308234144082e-05,6.87027406410714e-06,0.00619275372603402,0.000430777175581601,2.33782676432981e-05,0.00150888808162568,0.00541752753057028,1.34878944875877e-05,0.000966732597994586,0.0140996720784175,7.32407630077099e-05
INS,C,1,2,2.17051494808331e-05,1.12299189644742e-05,8.53835597304124e-06,0.00570307283718799,2.03804928461721e-05,7.70360116411821e-06,0.000318282671220652,0.00348229110444644,1.91231107080491e-05,0.000110132425349332,0.000548589591714828,8.83595656938539e-05
INS,C,1,3,0.000300276098962927,0.000210327701270122,0.000619648316604142,0.00104545682761691,0.000386750236848185,0.0015266047786012,4.98221958331803e-06,0.00797744225998403,1.67816562455158e-05,0.00336911167915007,0.000947622117533312,0.000548594416271116
INS,C,1,4,0.00281059445614944,0.000987104465436789,0.00134478607847679,8.22248222019495e-06,0.00229074326274842,0.00318429262365445,1.77106153210952e-05,0.00792208702548773,1.77279299992403e-05,0.0245291282212292,0.00119201079719772,5.59744443560443e-05
INS,C,1,5+,0.00919641920142947,0.00198894598599979,0.0151672787211879,4.91302631090503e-06,0.0149222792654008,0.0397025742526747,9.3017972867905e-06,0.00915006347909118,2.38296574289745e-05,0.000209062201262148,0.00371051613503853,0.000596458548466826
