Type,Subtype,Indel_size,Repeat_MH_size,ID83A,ID83B,ID83C,ID83D,ID83E,ID83F,ID83G,ID83H,ID83I,ID83J,ID83K
DEL,C,1,0,0.0022453,0,0.00415269,0.00076529,0.02808093,0.08840224,0.02233234,0.38418986,0.00277715,0.00952295,0.00252132
DEL,C,1,1,0,1.352e-05,0.00074857,0.00933628,0.0195946,0.23810328,0.00098001,0.09858749,0.00292496,0.00018935,3.188e-05
DEL,C,1,2,0,0,0.00021098,0.00995639,0,0.21779134,0.00380359,0,0.0074936,0.00127296,0
DEL,C,1,3,0.00154687,0.00149593,0.01113752,0.00910386,0.00479723,0.07649447,1.216e-05,0.01016406,0.00450854,0.0007957,0.00057818
DEL,C,1,4,0.00229807,0.00022325,0.0149474,5.3e-07,0.00017859,0.04590926,0.00163396,0.013821,0.00077726,0.00204178,0.00142737
DEL,C,1,5+,0.01159555,0.00093462,0.04491072,2.372e-05,1.14e-05,0.02684346,0.00081074,7.411e-05,0.00029252,0.00220396,0.00370476
DEL,T,1,0,0.00330726,0.00031725,0.03782419,0.14354452,0.03412891,0.02133792,4.552e-05,0.11876711,0.04852518,0.00476995,0.01648517
DEL,T,1,1,0,1e-08,9.299e-05,0.01319608,0.00571451,0.00404543,1e-08,0.00197343,0.55372448,0.00130324,3e-08
DEL,T,1,2,0.00549416,1.419e-05,0.02109413,0.17333166,0.00322894,0.00050678,0.00773506,0.09288848,0.03267501,0.00204432,0.00530105
DEL,T,1,3,0.01285321,0.000579,0.07144937,0.11604697,0.00245661,0.00129223,0.01915655,0.11592041,0.06642506,0.00380587,0.01284553
DEL,T,1,4,0.02197629,0.00018452,0.22828992,0.06257345,0,0.00090889,0.01310462,0.0987925,0.00952118,0.00280112,0.00983778
DEL,T,1,5+,0.89169082,0.00028727,0.02227672,0.01086394,0.0001833,0.00044819,0.00020779,0.00625935,0.00143203,0.00037202,0.05919298
INS,C,1,0,0,0,0,4e-08,1.4e-07,1.4e-07,1e-08,2.5e-07,5e-08,9e-08,0.54184529
INS,C,1,1,0.00019645,4.59e-06,0.00225646,0.01129349,0.00204401,0.00318106,0.00143023,0,0.00076896,2.853e-05,0.01470262
INS,C,1,2,1.399e-05,1.74e-06,0.00128012,0.00910478,0.00166989,0.0030077,5.07e-06,7.95e-06,0.00133711,3.677e-05,0.00050115
INS,C,1,3,0.00023772,0.00064332,0.00313833,0.00140305,6.73e-06,0.00841137,1.9e-07,4.06e-06,0.00019942,0.00075264,0.00077334
INS,C,1,4,0.00181495,0.00088549,0.01272249,2.109e-05,1.075e-05,0.00839413,0.00017865,6.797e-05,0.00020574,0.00021079,0.00073987
INS,C,1,5+,0.00359528,0.01654056,0.08685363,0,1.13e-06,0.00797983,1.45e-06,1e-07,8.039e-05,0.00249005,0.00205989
INS,T,1,0,0.0005548,0.00199616,0.00755639,3.8e-06,0.00317527,0.01872199,0.00659409,0.01285934,0.03283445,0.00407623,0.03960817
INS,T,1,1,9e-08,5.1e-07,0.00405867,0.02275606,0.00393508,0.06166454,8.372e-05,0.00647617,0.00512146,0.00035113,0.00284477
INS,T,1,2,0.0002609,6.3e-07,0.00557573,0.04639931,0.00013674,0.05315833,0,6.5e-06,0.00737723,1.717e-05,0.00137942
INS,T,1,3,0.00056757,0.00294395,0.01257549,0.03101568,0.00023314,0.03017426,2.476e-05,0.00010239,0.01306284,0.0005409,0.00024301
INS,T,1,4,0.00153894,0.0128697,0.03828295,0.01682886,0.00031034,0.00781428,0.00038421,0.00190793,0.01231774,0.00161773,0.00495278
INS,T,1,5+,0.00187008,0.93666625,0.10383481,0.00086555,0.00207602,0.00346307,0.00765557,0.00459785,0.0043678,0.00110563,0.16062277
DEL,repeats,2,0,9.17e-06,0.00013551,0.00098192,0.02490979,0.00744641,0.00862111,9.466e-05,0.01254171,0.02727714,0.09353766,0.00075506
DEL,repeats,2,1,0.00217868,2.639e-05,0.00897809,0.01994191,0.00783513,0.01158627,0.00023789,0.00074248,0.00674996,0.20008774,0.00630129
DEL,repeats,2,2,0.00125904,0.00031425,0.00539194,0.00164307,6.59e-06,0.01376915,0.00155429,3.255e-05,0.00246402,0.04704163,0.00223891
DEL,repeats,2,3,0.00094455,0.00013905,0.00072996,0,0,0.00643023,0.00035343,8.05e-06,0,0.01070334,0.00013328
DEL,repeats,2,4,0.00085239,3.17e-06,0.00098325,0.00062906,0.00020181,0.00329488,0.00011809,0.00016151,4.761e-05,0.0033188,0.0003328
DEL,repeats,2,5+,0,0,0.00071209,0.0265369,0.00010067,0.00111371,2.06e-06,0,0.01331944,0.00117976,0
DEL,repeats,3,0,6.77e-06,8.22e-06,0.0005619,0.02270078,0.01426084,0.00111932,0.00062802,0.0016585,0.00777019,0.00523444,0.00142821
DEL,repeats,3,1,0.00203407,0.00253902,0.03266496,0.00123294,4.566e-05,5.1e-06,0.00392256,0.00056141,0.00059364,0.10746784,0.00461157
DEL,repeats,3,2,0.00134639,0.00035989,0.00792082,0.00017761,9.507e-05,3.49e-06,0.0004733,0.00037547,0.0007077,0.01426707,0.00155786
DEL,repeats,3,3,0.00024823,0.00015059,0.00321743,0.00045667,0.00026745,3.146e-05,0.00010431,0.00021318,0.00011683,0.00372975,0.00036542
DEL,repeats,3,4,0,0,0.00014187,0.00780256,1.566e-05,2.775e-05,0,0,0.00232588,0.00054194,4.39e-06
DEL,repeats,3,5+,0,0,0.00020235,0.01120451,1.301e-05,0.0003249,2.929e-05,0,0.0039497,0.0004368,1.581e-05
DEL,repeats,4,0,6.2e-07,4.14e-05,0.00040885,0.01400182,0.0074291,8.695e-05,0.00233988,0.00056995,0.00668123,0.0061585,0.00020442
DEL,repeats,4,1,0.00112539,0.00024841,0.00892459,0.00024144,0.00049702,0.00108654,0.00243116,0.00215254,3.891e-05,0.05829903,0.00035303
DEL,repeats,4,2,0.00047126,0,0.00016393,9.9e-07,0,0,0.0005261,2.895e-05,1.626e-05,0.01129065,0.00042922
DEL,repeats,4,3,2e-08,0,9.689e-05,0.00435142,1.296e-05,0.0001073,9.837e-05,1e-08,0.00225403,0.00379951,1.917e-05
DEL,repeats,4,4,0,2e-08,9.003e-05,0.00541489,0.00012402,0.00033371,6.64e-06,0,0.00308751,0.00018603,0
DEL,repeats,4,5+,0.0001053,1.703e-05,0.00071422,0.00198685,1.49e-06,5.891e-05,8.276e-05,0,0.00055556,0.00076765,3.603e-05
DEL,repeats,5+,0,0,0,0.0004926,0.00981924,0.31349708,0.00093795,0.0109547,0.0001283,0.01507071,0.0026895,0.00078548
DEL,repeats,5+,1,0.00319743,0,0.00146087,0,4.09e-06,0,0.00748152,6.204e-05,0.00106579,0.0126372,0.00029079
DEL,repeats,5+,2,0.00033492,6.759e-05,0.00102766,0.00023411,0.00030065,1.338e-05,0.00040261,5.72e-05,0.00027363,0.00285149,1.306e-05
