Type,Subtype,Indel_size,Repeat_MH_size,ID83A (ID2 1),ID83B (ID1 1),ID83C (False Positive) (ID5 0.789),ID83D (ID8 0.991),ID83E (ID3 0.977),ID83F (ID13 0.975),ID83G (ID6 0.998),ID83H (ID9 0.995),ID83I (ID4 0.993),ID83J (ID14 0.983)
DEL,C,1,0,0.00223168,1.19e-05,0.00229844,0.02935929,0.08434329,0.00285196,0.02312241,0.37240288,0.01156927,0.00319528
DEL,C,1,1,0,4.41e-06,0.00388735,0.01959351,0.23273976,0.00439117,0.00145884,0.09602255,0.00047514,6.7e-05
DEL,C,1,2,0,0,0.00456138,0.00038098,0.21107478,0.00788387,0.00395749,0,0.00107704,0
DEL,C,1,3,0.00226444,0.00172394,0.00922029,0.00498756,0.07529329,0.00571933,3.93e-05,0.01026725,0.00089291,0.00054035
DEL,C,1,4,0.00350765,0.00048182,0.00387697,0.00036118,0.04408654,0.00057974,0.00168636,0.01436406,0.00217437,0.00127244
DEL,C,1,5+,0.01473089,0.00182366,0.01210267,0.00048088,0.026405,0.00093664,0.00109911,0.00027348,0.00232048,0.00359199
DEL,T,1,0,0.00584489,0.00077099,0.10975547,0.03535758,0.02371037,0.07261873,0.00039819,0.11871205,0.00495228,0.01660729
DEL,T,1,1,0,1e-08,0.00646037,0.00473778,0.00283827,0.39541284,1.156e-05,0.00789307,0.00785785,1e-08
DEL,T,1,2,0.0065037,3.328e-05,0.12598252,0.00610836,0.00277251,0.06971469,0.0079813,0.08996282,0.00116268,0.00585605
DEL,T,1,3,0.01877151,0.00126698,0.10057121,0.00403597,0.00241032,0.07646533,0.01940869,0.11731621,0.0041333,0.01381707
DEL,T,1,4,0.04378263,0.00242082,0.09761554,0.0022838,0.00219921,0.02609829,0.01419353,0.10647776,0.00309035,0.01038966
DEL,T,1,5+,0.83083218,0.00030847,0.00873299,0.00034131,0.00099096,0.00237448,0.00017596,0.00810209,0.00078928,0.06410354
INS,C,1,0,1e-08,2e-08,4e-08,1.4e-07,1.2e-07,5e-08,1e-08,2.5e-07,8e-08,0.53504021
INS,C,1,1,0.0001756,9.61e-06,0.00676549,0.00221025,0.00550554,0.0031885,0.00143392,0,5.102e-05,0.01408736
INS,C,1,2,4.16e-06,1e-08,0.00491592,0.0018261,0.00404963,0.00393613,1.613e-05,5e-08,5.151e-05,0.00046683
INS,C,1,3,0.00039389,0.00064898,0.00190911,0.00012416,0.00873762,0.00035511,5.3e-07,1.026e-05,0.00073026,0.00075477
INS,C,1,4,0.00267628,0.001125,0.00438026,0.00023948,0.00829315,0.00017477,0.00025474,8.926e-05,0.00016581,0.00079139
INS,C,1,5+,0.00770149,0.01910285,0.03993272,0.00329361,0.00807619,0.000638,1.593e-05,5.346e-05,0.00207831,0.0026076
INS,T,1,0,0.0010406,0.002221,0.00239288,0.00327707,0.01720509,0.02311513,0.00636203,0.01397071,0.00453503,0.03834019
INS,T,1,1,0,0,0.00852816,0.00490171,0.06652512,0.01213549,0.00019204,0.00461321,0.00026387,0.00284003
INS,T,1,2,0.00045366,8.57e-06,0.03034797,0.00091539,0.05560041,0.01714428,0,2.84e-06,2.072e-05,0.00144105
INS,T,1,3,0.00102377,0.00306104,0.02536054,0.00103092,0.03215751,0.01751137,4.021e-05,8.688e-05,0.00037618,0.000294
INS,T,1,4,0.00329294,0.01372907,0.03042072,0.00175316,0.00845616,0.01308525,0.0004345,0.00185876,0.00169261,0.00461913
INS,T,1,5+,0.00253412,0.9222372,0.07376855,0.00907256,0.00145224,0.00151955,0.00553264,0.00532607,0.00248669,0.16194861
DEL,repeats,2,0,2.298e-05,0.00012273,0.01558585,0.00796636,0.00874749,0.02698778,0.00012629,0.01239676,0.08999517,0.00067812
DEL,repeats,2,1,0.00288108,7.554e-05,0.01364085,0.00760132,0.01201079,0.00928187,0.00030461,0.00047578,0.20932598,0.00609538
DEL,repeats,2,2,0.00172425,0.0004221,0.00197132,0.00011313,0.01343085,0.00231524,0.00161749,1.738e-05,0.04675363,0.00223616
DEL,repeats,2,3,0.00094177,0.00013306,0.00016598,5.97e-06,0.00623059,2.457e-05,0.000392,6.13e-06,0.01001578,0.00014018
DEL,repeats,2,4,0.00092235,7.69e-06,0.00051353,0.00024435,0.00328789,0.00016133,0.00013582,0.00019172,0.00330231,0.00035144
DEL,repeats,2,5+,0,0,0.01776619,0.00058997,0.00068537,0.01652411,2.19e-06,0,0.00097401,0
DEL,repeats,3,0,4e-07,1.133e-05,0.01115812,0.01449439,0.00192857,0.01589326,0.00074051,0.00095602,0.00452136,0.00144417
DEL,repeats,3,1,0.00424488,0.00334746,0.01340142,0.00087752,6.68e-06,0.00053339,0.00395708,0.00145471,0.09828638,0.00437881
DEL,repeats,3,2,0.00205124,0.00053162,0.00211589,0.000155,1.4e-07,0.00060944,0.0005034,0.00040564,0.01472039,0.00153402
DEL,repeats,3,3,0.00047253,0.00025994,0.0014738,0.00033472,4.078e-05,0.00020135,0.00011358,0.00022912,0.00357881,0.00028439
DEL,repeats,3,4,0,1e-08,0.00503736,0.00014007,3.034e-05,0.0039117,1e-08,0,0.00045006,7.42e-06
DEL,repeats,3,5+,0,2e-08,0.00732806,0.00022677,0.00028793,0.0060778,4.296e-05,0,0.00022111,3.561e-05
DEL,repeats,4,0,0,3.551e-05,0.00548025,0.00771376,0.00057038,0.01211479,0.00233288,0.00035046,0.00644826,0.00033017
DEL,repeats,4,1,0.00191456,0.00040627,0.00244922,0.00048167,0.00095317,0.00013309,0.00241621,0.00247811,0.05789613,0.00031584
DEL,repeats,4,2,0.00049526,1.5e-07,2.64e-06,1.18e-06,0,1.402e-05,0.00051623,3.246e-05,0.01061078,0.0004973
DEL,repeats,4,3,0,0,0.00311281,8.875e-05,5.017e-05,0.00252353,0.00011427,1.55e-06,0.00372199,1.176e-05
DEL,repeats,4,4,0,2.6e-07,0.00414142,0.00021166,0.00018756,0.0032005,1.576e-05,0,0.00013749,0
DEL,repeats,4,5+,0.00014728,2.703e-05,0.00141608,4.238e-05,7.88e-05,0.00098866,0.00010167,1.5e-07,0.00075406,5.445e-05
DEL,repeats,5+,0,0,0,0.00479991,0.29949009,0.00093502,0.02022526,0.01411186,0.00013702,0.00230919,0.00064376
DEL,repeats,5+,1,0.00322279,1.51e-06,0.0001524,9.4e-07,0,0.00056853,0.00751706,0.00017409,0.01189417,0.0003492
DEL,repeats,5+,2,0.00041624,8.778e-05,0.00041525,0.00033685,1.346e-05,0.00024902,0.0004137,5.903e-05,0.00285997,1.325e-05
DEL,repeats,5+,3,0.00011931,5.48e-06,0.00030957,1.277e-05,2.795e-05,9.493e-05,0.0001826,0.00010727,0.000913,8.393e-05
DEL,repeats,5+,4,6.206e-05,2.5e-07,0.00014903,9.85e-06,3.516e-05,2.803e-05,8.21e-05,5.781e-05,0.00017688,2.707e-05
DEL,repeats,5+,5+,2.603e-05,1.391e-05,0.00050249,2.37e-05,3.09e-06,0.00065276,0,4.257e-05,0.00013215,2.1e-06
INS,repeats,2,0,0.00021728,0.00054991,0.00463795,0.00182639,0.00231022,0.01012167,0.00197645,0.00077948,0.0010148,0.0259993
INS,repeats,2,1,0.00021884,4.74e-06,0.01808554,0.00170578,0.00313893,0.01219395,7.474e-05,0.00098064,0.00024506,1.61e-06
INS,repeats,2,2,0.00094678,0.00019187,0.0078749,0.00045412,0.00134809,0.00430612,0.00039367,0.00037275,6.47e-06,0.00110634
INS,repeats,2,3,0.00044435,0.0003701,0.00199924,0.00038904,0.00084733,0.00106152,0.00036902,0.00043042,0.0002568,0.00096239
INS,repeats,2,4,0.00204114,0.00223907,0.00467715,0.00041907,0.00024314,0.00010637,4.299e-05,0.00014038,0.00028907,0.00357137
INS,repeats,2,5+,0.01467564,0.01277496,0.04725799,0.00353848,1.339e-05,0.00166644,3.209e-05,0.00010087,0.00205267,0.00033792
INS,repeats,3,0,4.8e-07,4.661e-05,0.00318601,0.00044518,0.00032828,0.00296655,0.00101419,0.00047369,0.0001847,0.00812719
INS,repeats,3,1,0.0010043,0.00030674,0.00648388,0.00051177,0.00041768,0.00593195,8.232e-05,0.00059636,0.00049924,0.00303146
INS,repeats,3,2,0.00018043,3.332e-05,0.00147364,3.823e-05,0.00014891,0.00087247,0.00082548,3.21e-06,0.00115444,0.00028389
INS,repeats,3,3,9.07e-06,0.00014249,0.000143,3.746e-05,5.22e-06,5.202e-05,0.00031449,2.657e-05,8.07e-06,0.00030607
INS,repeats,3,4,0.00010753,9.087e-05,0.00025992,0.00010926,1.842e-05,1.065e-05,0.00015609,4.316e-05,0.00015095,0.00093266
INS,repeats,3,5+,0.00206716,0.00094603,0.0029246,0.00022475,3.49e-06,0.00010007,3.8e-07,1.126e-05,0.00015711,0.00206237
INS,repeats,4,0,7.66e-06,0,0.00142348,0.00070509,0.00012327,0.00305505,0.00167753,8.4e-06,0.00050359,0.00541654
INS,repeats,4,1,0.0011332,0.00056428,0.00478028,0.0008185,2.893e-05,0.00513183,0.00066713,0.00099047,0.00176311,0.00190381
INS,repeats,4,2,0,2.636e-05,0.00024344,0.00015478,0.0001671,0.00028676,0.00042751,2.24e-05,0.00010295,8.275e-05
INS,repeats,4,3,0.0002332,5.28e-05,0.00010026,4e-07,1.65e-06,5.23e-06,0.00039144,1.09e-06,8.546e-05,0.00086377
