"ex.sig","gt.sig","sim"
"signeR.1","SBS5",0.999685987959976
"signeR.2","SBS40",0.998176448476073
"signeR.3","SBS7a",0.944819289347638
"signeR.5","SBS7b",0.999961791374582
"signeR.6","SBS3",0.993834400430501
"signeR.7","SBS4",0.949581673820213
"signeR.8","SBS1",0.999937588748105
"signeR.9","SBS44",0.983868648699539
"signeR.10","SBS18",0.98991670440655
"signeR.11","SBS17b",0.999737113409461
"signeR.12","SBS2",0.974931503693664
"signeR.14","SBS13",0.999995351601905
"signeR.17","SBS7c",0.999800056664618
"signeR.18","SBS17a",0.997991604693889
"signeR.20","SBS26",0.981805542052913
"signeR.21","SBS7d",0.999967158297351
