"ex.sig","gt.sig","sim"
"signeR.11","SBS1",0.99981455180062
"signeR.12","SBS2",0.99943165432617
"signeR.9","SBS3",0.99247567265091
"signeR.3","SBS4",0.999625876457982
"signeR.1","SBS5",0.99401326409592
"signeR.4","SBS7a",0.980084771503071
"signeR.7","SBS7b",0.995615582766044
"signeR.16","SBS7c",0.997856448673338
"signeR.23","SBS7d",0.991350161458868
"signeR.21","SBS12",0.955241651884082
"signeR.22","SBS13",0.999465327443064
"signeR.19","SBS17a",0.999780737595797
"signeR.8","SBS17b",0.999103575480282
"signeR.15","SBS18",0.997957970931467
"signeR.25","SBS28",0.966770772109731
"signeR.2","SBS40",0.995914147655796
"signeR.10","SBS44",0.96835216300187
