Signature,NumberOfPostSamples
low confidence hdp.1,3330
low confidence hdp.2,2200
low confidence hdp.3,1759
low confidence hdp.4,1393
low confidence hdp.5,1200
low confidence hdp.6,1180
low confidence hdp.7,1061
low confidence hdp.8,1043
low confidence hdp.9,600
low confidence hdp.10,600
low confidence hdp.11,400
low confidence hdp.12,200
low confidence hdp.13,200
low confidence hdp.14,200
low confidence hdp.15,200
low confidence hdp.16,199
low confidence hdp.17,152
low confidence hdp.18,87
low confidence hdp.19,30
low confidence hdp.20,14
low confidence hdp.21,4
low confidence hdp.22,2
low confidence hdp.23,2
low confidence hdp.24,2
low confidence hdp.25,2
low confidence hdp.26,2
