Signature,NumberOfPostSamples
low confidence hdp.1,3200
low confidence hdp.2,3000
low confidence hdp.3,3000
low confidence hdp.4,2436
low confidence hdp.5,2000
low confidence hdp.6,1714
low confidence hdp.7,1597
low confidence hdp.8,1452
low confidence hdp.9,1398
low confidence hdp.10,1381
low confidence hdp.11,1000
low confidence hdp.12,994
low confidence hdp.13,957
low confidence hdp.14,800
low confidence hdp.15,800
low confidence hdp.16,599
low confidence hdp.17,200
low confidence hdp.18,196
low confidence hdp.19,37
low confidence hdp.20,2
