Type,Subtype,Indel_size,Repeat_MH_size,W.1,W.2,W.3,W.4,W.5,W.6,W.7,W.8,W.9,W.10,W.11,W.12
DEL,C,1,0,0,0.0218742060643648,1.31573288635164e-48,0.0248021917843477,0.00374925939770728,0.00156284783384494,1.16093930140834e-70,0.381056613616768,0.113922354970128,0.036819780803355,0.00483482580711874,9.80645531149769e-73
DEL,C,1,1,0,0.0280829742176006,0.000671725928994869,0.000615919147224426,1.87262542276593e-167,0,8.36609896163362e-242,0.108274725316007,0.236441959441644,0.0215363797769983,3.21588685427253e-05,0
DEL,C,1,2,0,0.0270259243901525,0,0.00743710789119731,0,3.80005806414627e-161,0.00268718298364864,0,0.207313548713918,1.00051707301639e-30,0,0
DEL,C,1,3,0,0.0144581014146626,0.00188356731323285,3.21160166908759e-87,0.000297189154398218,0,0.00253823228001163,0.010628003852368,0.0741203251203018,0.00470928482247668,0.00248279125044891,2.01194249431869e-273
DEL,C,1,4,0,0.00274375084496882,0.000622454664515536,0.0020798623791977,0.000482416849438,0.00182705440546964,0.00249376574857815,0.0139453418938555,0.050497377076647,0.00041614824141232,0.00388841610953435,0
DEL,C,1,5+,0.0242923393385969,0.00271036232446138,0.00338338023512872,0.00102211914836466,0.00194000444591211,0.000292142939521459,0.000384210046212046,1.30975486782156e-213,0.0259780695941259,0.000486506479371913,0.0146324001498543,8.82758212739719e-202
DEL,T,1,0,0,0.106755515939452,0.00124778016811635,5.65976867841219e-84,0.00347770038816132,0.0211259320693714,0.0286855585246963,0.114271631137738,0.0313823994540297,0.0345493980452277,0.00792120036944651,0.000268088920187453
DEL,T,1,1,0,0.112579380610515,0,1.1125369292795e-308,0,0,0.729584920127767,1.12929002069273e-10,4.14479207361778e-10,8.25297371328587e-29,0,0
DEL,T,1,2,0,0.119638333120122,0.000869434537577579,0.0110021565937194,6.84289195721971e-136,0.011677725555271,5.23933663183874e-180,0.0933839085371481,0.00941935123966103,0.00784956295700109,0.00706551067568068,8.42667023733607e-111
DEL,T,1,3,0,0.0937748344491713,0.00227624442875431,0.0223176780310706,0,0.0181234419363537,0.0443719026792757,0.122959125651441,0.0101224242838397,0.00788523346961817,0.0202608190254088,8.70353445178347e-112
DEL,T,1,4,0,0.0552386519090425,0.00440741957445758,0.0178688753882685,7.29270196325653e-198,0.00906543616256506,2.9592575354257e-98,0.10503939550987,0.00801848036733117,1.59361755041772e-32,0.047137900273058,0.000282336464764155
DEL,T,1,5+,0,0.0311309934967859,0.000875469355602367,3.68587634362535e-17,5.66712523470774e-122,2.4568536394388e-196,1.88750875758144e-111,9.78785492827476e-75,0.00641197093807956,0.0107152512853845,0.814946674638353,1.04706182302353e-116
INS,C,1,0,0,0,0,0,0,0.702515331420361,0,0,0,0,0,0
INS,C,1,1,0,0,0,0.00189585896581902,0,0.0179429010255039,0.000907494723212521,0,0,6.381514816679e-116,0.000208873075465766,0.178179455717725
INS,C,1,2,0,0.00293793727387051,0,0,0,0,1.43659120360396e-308,0,0.000775663889942417,0,1.90588973525065e-05,0.100164385841467
INS,C,1,3,0,0,0.000610690316585197,0,0.000217071327615409,0.00194404366871712,0,0,0.00687758002061749,0,0.000477702680698506,0.0380135145410119
INS,C,1,4,0.00172073916414885,0,0.00173798389302396,0.000161961655406245,0,0.00112415547398344,0,0,0.0084331446208981,0,0.00293115196929595,0.0120861303629799
INS,C,1,5+,0,0.000364920058510417,0.0243894991269665,0,7.29408099163888e-05,0,0.000219524545468571,1.91312354049266e-65,0.00779699290493828,3.78321209721642e-100,0.00904610300530392,0.00155623445672212
INS,T,1,0,0,0.00649933738629884,0.00230882085646508,0.00634443707825072,1.20121647147775e-116,0.0489546246345701,0.0575452471730612,0.0105496671737134,0.0196858515109428,0.00334392862997486,0.00132574945038168,0.000385125392573989
INS,T,1,1,0,0.0122224523420881,0,2.30967339308008e-104,6.84666727020071e-258,0.000981642962247589,1.34735762385868e-219,0.0113100989454258,0.0452408736358796,0.00242821153171274,0,0.328456666746888
INS,T,1,2,0,0.029974371891407,6.83764415909385e-05,0.000119294661922622,0,0.00100446356766763,0,1.36404143944439e-72,0.0446943304492414,0,0.000671890477587396,0.169350742536375
INS,T,1,3,0,0.0190036175346827,0.00426518093382505,0.000587671567893093,0,0,0.00904579405456812,0.000205986355204033,0.0274106307195081,2.30420629640186e-35,0.00108693641719568,0.112394178911803
INS,T,1,4,0,0.0115729344211067,0.0168307772179129,0.00101426917561574,4.81324892653468e-164,2.19104754424617e-190,0.0146142781455115,2.61641964052447e-23,0.00594951783076365,2.84413255576249e-32,0.0034856989741671,0.05025234357271
INS,T,1,5+,0,4.39523758053144e-08,0.899374632721723,2.6776247825273e-17,2.26896253379805e-110,5.26414014026152e-143,6.9012604693796e-117,1.27347506698371e-32,1.05237080295056e-16,0.000196104595777779,0.00316285208616319,5.65635287091641e-136
DEL,repeats,2,0,0,0.0292125437721002,0.000185574587758306,0.000810731313096636,0.0746469732702116,0,0.0242879639976197,0.0118728769389332,0.00604936223821352,0.00941218196299329,0.000106467634686276,0
DEL,repeats,2,1,0,0.0249678221106468,0.000146427461079613,0.0012339359965022,0.237057633695999,0.00556630157673886,0.00128001339379733,1.7160218931884e-07,0.00972236896652447,0.0118406155752611,0.00330479918678547,0.00196506785295605
DEL,repeats,2,2,0,0.00479750971799378,1.20618685420262e-05,0.00231895470657294,0.0576545876080756,0.00309341283194597,0.00351760039505188,0,0.014000455249905,8.03720011318762e-291,0.0018417792549536,0
DEL,repeats,2,3,0,0,0.000106218529951676,0.000200935463581771,0.0142271967562928,0.000696262958169287,0,0,0.00835027004682975,0,0.000779398202153306,0
DEL,repeats,2,4,0.0296802193060701,0.00043258122524271,0,0,0.0027755362477186,0,0,0,0.00418539289743843,0,0.000865912725224713,0
DEL,repeats,2,5+,0.372061924523766,0.0222630239340971,0,0,0,0,0,0,0,0,0,0.00344685121604914
DEL,repeats,3,0,0,0.0178065600054548,7.11631861971359e-05,1.36929664978791e-31,0.00500713718097872,0.00112858548017056,2.39327746034917e-05,0.00167882297556108,0.0001330962982409,0.0122250893220613,1.160693336204e-05,0
DEL,repeats,3,1,0,0.0059062590345584,0.00470526358151681,0.00561764526894017,0.100573180135778,0.00343807579093393,5.74051001422683e-76,0.0036282869983228,1.43305008240762e-98,0.00151448153607302,0.00487078897896192,1.75931606981886e-38
DEL,repeats,3,2,1.04592301226891e-76,0.000671059828036486,0.000427269006051352,0.000761518018262425,0.0237752739308705,0.00103601180080118,0.000717127682758858,1.38457540762974e-164,0,0,0.00234950966843127,2.59731469015694e-44
DEL,repeats,3,3,0.0237805370267592,0,9.58898510036686e-05,0,0.00457659903457492,0.000643518235932808,0,0,0,0,0.000459028917713755,0
DEL,repeats,3,4,0.104276785781631,0.00591791280559788,0,0,0,0,0,0,0,0,0,1.01730805404274e-09
DEL,repeats,3,5+,0.14518910180561,0.00871770505300052,0,0,0,0,0,0,0,0,0,0.000532010393339479
