Signature,NumberOfPostSamples
low confidence hdp.1,3548
low confidence hdp.2,2840
low confidence hdp.3,1600
low confidence hdp.4,1400
low confidence hdp.5,938
low confidence hdp.6,672
low confidence hdp.7,600
low confidence hdp.8,400
low confidence hdp.9,200
low confidence hdp.10,197
low confidence hdp.11,193
low confidence hdp.12,2
low confidence hdp.13,2
