"ex.sig","ref.sig","sim"
"SBS96A","SBS7a",0.930473584066348
"SBS96B","SBS7b",0.982788904124666
"SBS96C","SBS2",0.99789190083224
"SBS96D","SBS4",0.981654744712694
"SBS96F","SBS3",0.931460337625583
"SBS96G","SBS40",0.931170967818017
"SBS96H","SBS44",0.994173779807993
"SBS96I","SBS1",0.999468835399979
"SBS96J","SBS17b",0.999546045357353
"SBS96K","SBS12",0.924411037458703
"SBS96L","SBS18",0.98826960606624
"SBS96M","SBS7c",0.994426020527467
"SBS96N","SBS17a",0.999697681318662
"SBS96O","SBS7d",0.958365085156876
"SBS96P","SBS13",0.998173304955542
"SBS96Q","SBS22",0.980978075415872
"SBS96R","SBS28",0.961782654015805
