Type,Subtype,Indel_size,Repeat_MH_size,low confidence hdp.1,low confidence hdp.2,low confidence hdp.3,low confidence hdp.4,low confidence hdp.5,low confidence hdp.6,low confidence hdp.7,low confidence hdp.8,low confidence hdp.9,low confidence hdp.10,low confidence hdp.11,low confidence hdp.12
DEL,C,1,0,0.105082031521785,0.00300031739943253,0.0169070802641798,0.013888322935454,0.00162893819708331,0.201463134281055,0.017403994937166,0.0198404798514749,0.0304669865121378,0.00933501952127998,0.0132225202255996,0.0136376040387502
DEL,C,1,1,0.310133444615828,0.000483001433623492,0.0308641008098777,0.00736297693236171,0.012258575540207,0.11899935934243,0.0243954596350407,0.0309820632986451,0.0122277498748787,0.001923148097068,0.0407770859219835,0.0049665711556829
DEL,C,1,2,0.149257456302822,3.09142521098177e-05,0.0174509932842337,0.00704285637556219,0.000987074333677406,0.119564477088494,0.0206247792920927,0.0247114216983341,0.0017904662888228,0.00338191947498197,0.0137441713618173,0.013330604448083
DEL,C,1,3,0.0537751068210574,0.00318182562272486,0.0126080195716243,0.00120607831012272,0.012557125694167,0.0609505212602785,0.0134230486638216,0.0143245306356021,0.00559730653084463,0.00121226764579159,0.0186144643752356,0.020596261427207
DEL,C,1,4,0.0378927257187862,0.00254532430170268,0.00486067797221814,0.0012831868963373,0.00264503297139343,0.0501031135230216,0.00262613641218381,0.00304460761873867,0.00146941916974581,0.00174368220710922,0.00851604193424524,0.0023673079547005
DEL,C,1,5+,0.0217641611758759,0.0109273339575691,0.00163294761441039,0.00102305385978612,0.0156573812637207,0.0270763124373247,0.00300903077644606,0.00168626278976262,0.00143854738750617,0.0017967538321554,0.00473203803522249,0.00275617410287897
DEL,T,1,0,0.0303999745566718,0.00678889539282512,0.0728643081299381,0.0105673209371883,0.00520224591655846,0.041545527485603,0.101522810834397,0.0830479132137171,0.0279975028158366,0.0152797398373075,0.232567528552848,0.00270159639787147
DEL,T,1,1,0.0132856195135227,2.86775772040371e-05,0.0111360641047705,0.00203276298410229,0.000732339354790251,0.011528197917976,0.0962333118044403,0.0731930906907196,0.0068088783621361,0.0130779657087471,0.0059118525760446,0.17599945422295
DEL,T,1,2,0.0190290325414207,0.00629054543809621,0.0249972484188135,0.012688521498994,0.00442533268236502,0.0094314741988131,0.0792098922506994,0.0795218286125976,0.00712859870650468,0.00922049654091717,0.103614554415242,0.0797857825078456
DEL,T,1,3,0.0156274959734104,0.0145758732067624,0.272301011595951,0.0107589697098745,0.00595658769692645,0.0156774750806213,0.0661544851828413,0.155131960695048,0.00921461215171598,0.00468007935604566,0.220266320913041,0.00891663255560104
DEL,T,1,4,0.0164880812779658,0.0382397175937867,0.0481246301850502,0.014756904465345,0.0265504786855296,0.0169853234442202,0.0444131472457097,0.0531811908286953,0.00185696682603712,0.00625197709261068,0.0746942851317227,0.0954154727793696
DEL,T,1,5+,0.00722514874184119,0.361688146411706,0.0392548809318572,0.0175786398499572,0.0163294036242547,0.00704059995968547,0.0184087262006278,0.0323266231527959,0.00755840899131273,0.0151323962467188,0.0148943598358832,0.0306658480010916
INS,C,1,0,0.00173872703032159,1.09514882853902e-05,0.000776485503465996,0.000953931702256243,0.000322069988198354,0.00318270019572912,0.000243851773615175,0.000371599537104744,0.00244035937343356,0.000350552049647109,0.00195183498629359,0.0010574430345204
INS,C,1,1,0.000720053768562335,5.76633576431228e-05,0.000665743769409885,0.00211260175520269,0.000729114861386616,0.00218947907959528,0.00130154330887482,0.000938497879982831,0.00150504792472049,0.000162706429417881,0.00129948061438653,0.00105062082139446
