Signature,NumberOfPostSamples
low confidence hdp.1,3400
low confidence hdp.2,3400
low confidence hdp.3,2556
low confidence hdp.4,2139
low confidence hdp.5,1991
low confidence hdp.6,1620
low confidence hdp.7,1357
low confidence hdp.8,1301
low confidence hdp.9,1200
low confidence hdp.10,1171
low confidence hdp.11,601
low confidence hdp.12,599
low confidence hdp.13,307
low confidence hdp.14,201
low confidence hdp.15,200
low confidence hdp.16,200
low confidence hdp.17,199
low confidence hdp.18,2
low confidence hdp.19,2
