"ex.sig","gt.sig","sim"
"SBS96B","SBS40",0.912408135864748
"SBS96C","SBS3",0.93310193470747
"SBS96D","SBS4",0.9862484459272
"SBS96E","SBS1",0.999572456416583
"SBS96F","SBS7a",0.938066137974314
"SBS96G","SBS17b",0.999558696967799
"SBS96H","SBS2",0.998645267311756
"SBS96I","SBS7b",0.985369274018848
"SBS96J","SBS18",0.987513836759573
"SBS96K","SBS44",0.99293446720171
"SBS96L","SBS13",0.998596106834673
"SBS96M","SBS17a",0.999631797681422
"SBS96N","SBS7c",0.994801583549825
"SBS96O","SBS22",0.962493027063664
"SBS96P","SBS7d",0.965783579989738
"SBS96Q","SBS28",0.932498473973208
