Type,Subtype,Indel_size,Repeat_MH_size,hdp.1 (ID1 0.973),hdp.2 (ID2 1),hdp.3 (ID5 1),hdp.4 (ID4 1),hdp.5 (ID3 1),hdp.6 (ID11 0.999),hdp.7 (ID14 0.99),hdp.8 (ID8 1),hdp.9 (ID6 1),hdp.10 (ID9 1),hdp.11 (ID13 1),hdp.12 (ID12 0.998),hdp.13 (ID10 0.997)
DEL,C,1,0,0.00108021208240293,0.00472178814246747,0.0232581811482298,0.00716725942002054,0.124716128538051,0.00159141069200633,0.0128677809168049,0.0412305930406946,0.0308583460004948,0.333457823087417,0.062581735697814,0.0486675603604835,0.0233943017098058
DEL,C,1,1,0.000493905441729873,5.08920770182513e-05,0.0287766503440562,0.00245083547059644,0.205902883994436,0.0002675463207393,0.00210899488016733,0.0246390884821971,0.00572308826225221,0.0997490967979535,0.0174336933398916,0.0143139448442587,0.0273459147558167
DEL,C,1,2,5.58499101719138e-06,1.46445017429036e-06,0.0264434403244413,0.00187140553645063,0.17319645333272,0.000114677195419929,0.000540818847203779,0.00329679222651006,0.00805061034448536,0.00186815921076243,0.00574063227118737,0.00277712779208111,0.0231583779065547
DEL,C,1,3,0.00201084726865104,0.0024618194601767,0.0140677063593862,0.00119984076754981,0.0631630621097976,0.000420745014653887,0.000548202039657073,0.00547041315917877,0.00109743814397957,0.0108478865067062,0.00574747103884532,0.00346884220530945,0.0168424365395954
DEL,C,1,4,0.00131231375928208,0.00378545021611811,0.00287039095060956,0.00100606441788665,0.0434006659589146,0.000354894674186712,0.00223380694606934,0.00132997319231182,0.00249933728081746,0.0128719608539908,0.00422244745860158,0.00332177381242684,0.00308648532846082
DEL,C,1,5+,0.0056615931251654,0.0143561007041919,0.00262519329876105,0.00232074055083748,0.0219897904507952,0.00065868086468456,0.00265188021873711,0.000910965450730777,0.00134897928029141,0.000281965051783719,0.000952933116117651,0.0287136658908467,0.00190930079798017
DEL,T,1,0,0.00264976626829146,0.0077554050721893,0.101742585107535,0.00593709945058052,0.0381440512907885,0.0012152841948586,0.0194046047145596,0.0348456008507826,0.00437078591404579,0.105392401742412,0.0540000330162306,0.0413834846960137,0.0249039042069685
DEL,T,1,1,8.82938413921127e-06,3.28862946373729e-06,0.105917888661172,0.0014720250166067,0.0140546369153034,0.000139762435801939,0.00075919482073062,0.0106996691292815,0.000480137999155986,0.0445608439128923,0.482800034779401,0.00429028901650518,0.0011397819763067
DEL,T,1,2,0.00215692971063573,0.00689285788548616,0.114348769183596,0.0016712543802362,0.0173629260508218,0.000773446790110894,0.0115986141466883,0.0093797745401039,0.0116187645881265,0.0862025757705656,0.0257749479756686,0.00999415998806363,0.00354416865409233
DEL,T,1,3,0.00599272736396354,0.0198236413003071,0.0892160392195487,0.000739766314251664,0.0207802058856275,0.00102939483144164,0.0186132288049837,0.0104735854964249,0.0221168547316254,0.113104142121898,0.0623586492627917,0.0205002658733628,0.00368027854058332
DEL,T,1,4,0.0131670148095444,0.0461163736634958,0.0525246439803807,0.00110647317403662,0.0162544977951262,0.00214881259223801,0.0150302638162127,0.00190031109425219,0.0175729697063918,0.0941283359300676,0.0230938593527592,0.038963182619178,0.00484484800841358
DEL,T,1,5+,0.168368541402889,0.795734232472241,0.0315437372291579,0.00371447983333279,0.00805301973126482,0.00472840936556879,0.0637959088988284,0.0102762478924883,0.00750022218611099,0.00167350259617889,0.00660584981919292,0.00756588828323368,0.00366899137926456
INS,C,1,0,2.20662873700373e-06,4.4366590869311e-07,0.000222975186437051,8.45050575760533e-05,0.00236023354770747,0.000104131000373021,0.47918745760119,0.00259323312763199,0.00208228722253274,3.57372842067358e-05,0.00306841351912655,0.000121434125519833,0.00029213829295628
INS,C,1,1,3.19031990331956e-05,0.000212654501240895,0.000984063179894757,0.000136047700789414,0.00188042003331844,0.166587912448125,0.0136117779976351,0.00188084211072053,0.00179607037602293,2.83050600823624e-05,0.00204608797857437,0.000174428043625579,0.000468306536284461
INS,C,1,2,6.06458736101105e-06,2.17420277200634e-05,0.00324487827728429,5.48633177060985e-05,0.0018104944392244,0.0952748204066643,0.000590775774401338,0.000849948509852164,0.000109172850910742,3.12284688921533e-05,0.00106676132471834,0.000866471101307282,0.000551300369510677
INS,C,1,3,0.000617117781395524,0.000445679686386781,0.000235266725560393,0.000328335855194959,0.00667152832836715,0.0380505069449483,0.00178002149251336,1.04744543981619e-05,1.84178521713551e-05,1.35971328579739e-05,0.00035673950721288,0.000137291220394886,0.000910940313490946
INS,C,1,4,0.00199694956861699,0.00288033931622868,6.54462088662689e-05,7.30104151011926e-05,0.00741796205535915,0.0121726033885837,0.00158364462367412,0.000117411784426754,0.000363979153196651,4.90011787547854e-05,0.000108221067345591,0.00510927099430065,0.00076376458256979
INS,C,1,5+,0.0212281679296732,0.00937319281482533,0.000386349091702848,0.000446192034850246,0.00736854551725446,0.00299700807488691,0.00127641955292061,0.000450892657494029,0.000244630665534048,0.000814394036932701,0.00111017075354879,0.0149969501794727,0.00529921158071604
INS,T,1,0,0.0020884070243636,0.00134829942688619,0.00633087850563061,0.000540303725992245,0.018542363247887,0.000823782055172521,0.0342249290584047,0.00450672557621149,0.00632548243349643,0.0128205159276299,0.0398376258322445,0.00479870198586697,0.0153534165130727
