Type,Subtype,Indel_size,Repeat_MH_size,W.1 (ID1 1),W.2 (ID11 0.998),W.3 (ID6 0.99),W.4 (False Positive) (ID5 0.781),W.5 (ID12 0.908),W.6 (False Positive) (ID14 0.888),W.7 (ID8 0.982),W.8 (ID4 0.997),W.9 (False Positive) (ID5 0.351),W.10 (ID13 0.978),W.11 (ID9 0.931),W.12 (False Positive) (ID5 0.255),W.13 (False Positive) (ID5 0.38),W.14 (ID3 0.973),W.15 (ID2 0.999)
DEL,C,1,0,0,0,0.0211742401518075,6.12010393281434e-43,0,0.000247484943861835,4.30133413881358e-06,1.63053635048862e-90,0.0263846861248147,1.5538285162263e-57,0.52957043574767,2.23814914134559e-146,4.58818361667324e-169,0.0853923039891067,0.00315956013534912
DEL,C,1,1,0.00049490643814411,0,0.000504904142615088,0.0202805663477618,0,0,0.0157701079151683,0,0,1.07098154356247e-128,0.126199534695306,7.97843445119849e-303,1.23054573540212e-52,0.256705079651669,2.6192332688581e-287
DEL,C,1,2,0,0,0.00538769560182767,0.0242879521977001,0,0,0,0,0,1.36427204313413e-37,0,0,0,0.240234589500971,0
DEL,C,1,3,0.00160251370561558,0,0,0.0180638100325272,0,0,0.00487859620680137,0.00041816082135688,0.0187146499871133,0.00256671850568869,0.0114301368010786,1.31283277038818e-160,5.14578181901381e-218,0.0757964666847868,0.00160455835042635
DEL,C,1,4,0.000349448567580399,0,0.0019535737423949,0,0,0.00206570832894463,0,0.000852502548791585,0.0242472622293383,1.33190437920839e-232,0.0143890889750387,0.00443997802785494,1.77177938308721e-154,0.0512605050871655,0.0026418326873486
DEL,C,1,5+,0.00131602880277807,0,0.000791380436053736,2.63197561954603e-115,2.61191470609452e-213,0.00461226277656323,0,0.0017936862180785,0.110465502415258,4.84719849071792e-283,3.39507616915284e-60,1.88143987113707e-176,3.02165576123387e-225,0.0280661665372869,0.0102691756316073
DEL,T,1,0,1.00314527396406e-35,0,2.56984630971316e-223,0.176345828682643,0,0.0234888573583572,0.0313926046187039,0.000193869501900471,0.0565691303876083,0.0350783091515246,0.136994638536555,0.0142890140659436,3.34581782446009e-38,0.0229238611743883,0.00577577640201651
DEL,T,1,1,0,0,0,1.38405665801391e-11,0,0,0,0,0,0.786564500056926,0,0,0,1.92828815576298e-53,0
DEL,T,1,2,0.000629743481768419,0,0.0112993559045971,0.207723886646078,0,0.0110776020032394,1.3233290978921e-81,0,0.0248445349738182,5.90558435620744e-116,0.0989385734850207,0.0424695575642576,6.55970407944584e-64,0.00309770961386704,0.00383880984666817
DEL,T,1,3,1.30406568144359e-23,0,3.68975431859916e-41,0.0221816794592948,0,3.54057034672712e-232,1.6040885539668e-107,1.11281592675411e-235,0.105072633222789,5.34758405534914e-54,3.75086582115099e-45,1.86062649791747e-11,0.989854181150297,9.59552311124067e-33,0.00889195403544513
