Signature,NumberOfPostSamples
low confidence hdp.1,3592
low confidence hdp.2,3202
low confidence hdp.3,2600
low confidence hdp.4,2480
low confidence hdp.5,2202
low confidence hdp.6,2082
low confidence hdp.7,2000
low confidence hdp.8,1931
low confidence hdp.9,1682
low confidence hdp.10,1600
low confidence hdp.11,1600
low confidence hdp.12,1400
low confidence hdp.13,1400
low confidence hdp.14,1126
low confidence hdp.15,1104
low confidence hdp.16,1000
low confidence hdp.17,1000
low confidence hdp.18,983
low confidence hdp.19,814
low confidence hdp.20,806
low confidence hdp.21,795
low confidence hdp.22,666
low confidence hdp.23,625
low confidence hdp.24,600
low confidence hdp.25,600
low confidence hdp.26,600
low confidence hdp.27,580
low confidence hdp.28,570
low confidence hdp.29,539
low confidence hdp.30,526
low confidence hdp.31,480
low confidence hdp.32,469
low confidence hdp.33,396
low confidence hdp.34,386
low confidence hdp.35,383
low confidence hdp.36,339
low confidence hdp.37,316
low confidence hdp.38,311
low confidence hdp.39,305
low confidence hdp.40,289
low confidence hdp.41,266
low confidence hdp.42,263
low confidence hdp.43,243
low confidence hdp.44,239
low confidence hdp.45,212
low confidence hdp.46,207
low confidence hdp.47,202
low confidence hdp.48,202
low confidence hdp.49,200
low confidence hdp.50,200
low confidence hdp.51,200
low confidence hdp.52,200
low confidence hdp.53,200
low confidence hdp.54,200
low confidence hdp.55,200
low confidence hdp.56,199
low confidence hdp.57,194
low confidence hdp.58,189
low confidence hdp.59,188
low confidence hdp.60,170
low confidence hdp.61,165
low confidence hdp.62,164
low confidence hdp.63,163
low confidence hdp.64,162
low confidence hdp.65,144
low confidence hdp.66,132
low confidence hdp.67,124
low confidence hdp.68,122
low confidence hdp.69,121
low confidence hdp.70,120
low confidence hdp.71,115
low confidence hdp.72,108
low confidence hdp.73,107
low confidence hdp.74,106
low confidence hdp.75,104
low confidence hdp.76,101
low confidence hdp.77,100
low confidence hdp.78,100
low confidence hdp.79,100
low confidence hdp.80,95
low confidence hdp.81,78
low confidence hdp.82,77
low confidence hdp.83,75
low confidence hdp.84,66
low confidence hdp.85,65
low confidence hdp.86,61
low confidence hdp.87,57
low confidence hdp.88,57
low confidence hdp.89,55
low confidence hdp.90,54
low confidence hdp.91,52
low confidence hdp.92,51
low confidence hdp.93,49
low confidence hdp.94,45
low confidence hdp.95,45
low confidence hdp.96,43
low confidence hdp.97,43
low confidence hdp.98,42
low confidence hdp.99,39
low confidence hdp.100,37
low confidence hdp.101,36
low confidence hdp.102,33
low confidence hdp.103,33
low confidence hdp.104,31
low confidence hdp.105,30
low confidence hdp.106,27
low confidence hdp.107,26
low confidence hdp.108,24
low confidence hdp.109,22
low confidence hdp.110,20
low confidence hdp.111,19
low confidence hdp.112,19
low confidence hdp.113,19
low confidence hdp.114,19
low confidence hdp.115,18
low confidence hdp.116,18
low confidence hdp.117,18
low confidence hdp.118,15
low confidence hdp.119,15
low confidence hdp.120,15
low confidence hdp.121,15
low confidence hdp.122,14
low confidence hdp.123,14
low confidence hdp.124,14
low confidence hdp.125,12
low confidence hdp.126,11
low confidence hdp.127,10
low confidence hdp.128,10
low confidence hdp.129,8
low confidence hdp.130,8
low confidence hdp.131,7
low confidence hdp.132,6
low confidence hdp.133,6
low confidence hdp.134,6
low confidence hdp.135,6
low confidence hdp.136,6
low confidence hdp.137,6
low confidence hdp.138,6
low confidence hdp.139,6
low confidence hdp.140,5
low confidence hdp.141,5
low confidence hdp.142,4
low confidence hdp.143,4
low confidence hdp.144,4
low confidence hdp.145,4
low confidence hdp.146,4
low confidence hdp.147,4
low confidence hdp.148,4
low confidence hdp.149,4
low confidence hdp.150,4
low confidence hdp.151,4
low confidence hdp.152,4
low confidence hdp.153,4
low confidence hdp.154,4
low confidence hdp.155,4
low confidence hdp.156,4
low confidence hdp.157,4
low confidence hdp.158,4
low confidence hdp.159,4
low confidence hdp.160,3
low confidence hdp.161,3
low confidence hdp.162,2
low confidence hdp.163,2
low confidence hdp.164,2
low confidence hdp.165,2
low confidence hdp.166,2
low confidence hdp.167,2
low confidence hdp.168,2
low confidence hdp.169,2
low confidence hdp.170,2
low confidence hdp.171,2
low confidence hdp.172,2
low confidence hdp.173,2
low confidence hdp.174,2
low confidence hdp.175,2
low confidence hdp.176,2
low confidence hdp.177,2
low confidence hdp.178,2
low confidence hdp.179,2
low confidence hdp.180,2
low confidence hdp.181,2
low confidence hdp.182,2
low confidence hdp.183,2
low confidence hdp.184,2
low confidence hdp.185,2
low confidence hdp.186,2
low confidence hdp.187,2
low confidence hdp.188,2
low confidence hdp.189,2
low confidence hdp.190,2
low confidence hdp.191,2
low confidence hdp.192,2
low confidence hdp.193,2
low confidence hdp.194,2
low confidence hdp.195,2
low confidence hdp.196,2
low confidence hdp.197,2
low confidence hdp.198,2
low confidence hdp.199,2
low confidence hdp.200,2
low confidence hdp.201,2
low confidence hdp.202,2
low confidence hdp.203,2
