Type,Subtype,Indel_size,Repeat_MH_size,hdp.1 (ID8 0.999),hdp.2 (ID6 0.998),hdp.3 (ID4 0.992),hdp.4 (ID13 0.998),hdp.5 (ID2 1),hdp.6 (ID3 0.979),hdp.7 (ID1 1),hdp.8 (ID14 0.982),hdp.9 (ID9 1),hdp.10 (ID11 0.977),hdp.11 (False Positive) (ID5 0.135),hdp.12 (False Positive) (ID5 0.915),hdp.13 (ID5 0.995)
DEL,C,1,0,0.034656246837089,0.0300113022157858,0.0118495154793764,0.0470261899929012,0.00409716292870325,0.135247833424412,0.000488109315057564,0.0103247463239614,0.332681955203494,0.00814060689731972,0.00292121233581444,0.0186104121372945,0.0252986825930898
DEL,C,1,1,0.0208542781898738,0.006193605763023,0.00232282864802953,0.0141282262334305,4.18532743903875e-05,0.157433584689429,0.000563485073192928,0.00237907902517542,0.0970340009811905,0.0095135329079289,0.00418521623750886,0.0294058230755183,0.0278767296123553
DEL,C,1,2,0.00260464541019336,0.00821341760699911,0.00326368740617216,0.00706117702925084,3.12479197937283e-06,0.213087118282363,5.35825281846375e-06,0.000343099478898737,0.00240947936308178,0.00284509887833428,8.29097727612156e-05,0.0261798847040567,0.0292599872690248
DEL,C,1,3,0.00581580988245539,0.000920324957855862,0.00153562635497988,0.00460630914922044,0.00227787397464001,0.0707902892227922,0.00188945302457927,0.000883179756634434,0.0110070325521925,0.00231535846117715,0.0134574158689428,0.0156368366569201,0.0135247495220785
DEL,C,1,4,0.00139624604133618,0.00261558781506014,0.00231166712755204,0.00406752164640785,0.0034131869345384,0.0433022262938792,0.000826612809358339,0.00189312401405795,0.0130795820371117,0.00323193631354387,0.00600546822029546,0.0036005976948329,0.00312828534616301
DEL,C,1,5+,0.000664719399377344,0.00187817836176531,0.00231211526890119,0.00136738229145514,0.0137140135366139,0.0256303979349462,0.00274082986736509,0.00353383279556201,0.000703035557072984,0.000757747188697253,0.0182181270990777,0.00338741087791411,0.00238833000662394
DEL,T,1,0,0.032342767146387,0.00328436462573797,0.00735503586657275,0.0398768788294114,0.00659848437444911,0.0279669638153288,0.0015482518926317,0.0195076742300637,0.106360574904276,0.0159904778340209,0.0117137813993775,0.195912759971721,0.0882261264705363
DEL,T,1,1,0.00984400558308331,0.000977118835467076,0.0032811509143722,0.519823416900529,3.08260306876023e-06,0.00822395439573909,6.41189244831292e-06,0.000530496002184707,0.0388831204045966,0.00933310841245718,6.71174350924126e-05,0.0728686124632035,0.11601000434725
DEL,T,1,2,0.00873283674416772,0.00970959092376764,0.00538756930400932,0.0183676171681502,0.00683620013512414,0.01033806958078,0.000320769728716903,0.00789938726485625,0.0851195734145735,0.0209569476101517,0.012320367556789,0.0875257370957063,0.100147686744442
DEL,T,1,3,0.00956327766603462,0.02122281915955,0.00648816244429288,0.0550576975698663,0.0171844123840683,0.0149882491668159,0.00197740942000437,0.0156111044491223,0.105038226987018,0.00568520083691267,0.0112925084542984,0.0742453686370534,0.0874620871262976
