Type,Subtype,Indel_size,Repeat_MH_size,ID83A (ID2 1),ID83B (ID1 1),ID83C (ID5 0.971),ID83D (ID8 0.997),ID83E (ID3 0.989),ID83F (ID6 0.997),ID83G (ID9 0.997),ID83H (ID4 0.999),ID83I (ID11 0.986),ID83J (ID14 1)
DEL,C,1,0,0.00387012,0,0.00480259,0.03272616,0.09042464,0.02793185,0.3340009,0.00979457,0.00735295,0.00798042
DEL,C,1,1,1.686e-05,0.00021449,0.01214753,0.02044712,0.21858699,0.00126651,0.10368706,0.00166045,0.00263031,0.00018934
DEL,C,1,2,0,0,0.01548461,3.841e-05,0.19025526,0.00557312,0.00141713,1.361e-05,0.01607459,5e-08
DEL,C,1,3,0.0024386,0.00184318,0.01057803,0.00432938,0.07203322,0.00012537,0.01153199,0.00060655,0.001996,0.00032525
DEL,C,1,4,0.00384302,0.00037545,0.00019325,0.00027138,0.04579418,0.0017943,0.0151781,0.00080981,0.00290575,0.00195572
DEL,C,1,5+,0.01451439,0.00330468,0.00120119,0.00030913,0.02528793,0.00097007,0.00066043,0.0020058,0.00401333,0.0022941
DEL,T,1,0,0.00784955,0.00112929,0.11338063,0.03465417,0.03162879,0.00167821,0.1035494,0.00368405,0.00367697,0.01771003
DEL,T,1,1,0,0,0.16560391,0.00816826,0.00369803,8.77e-06,0.03097333,0.00474862,0.03148988,1.937e-05
DEL,T,1,2,0.00710477,0.0007564,0.12758516,0.00572337,0.01402739,0.0121912,0.0828861,0.00020943,0.00176434,0.0103282
DEL,T,1,3,0.02031825,0.0022264,0.10016417,0.00594472,0.01273659,0.02340748,0.10783988,8.305e-05,0.00360486,0.01679773
DEL,T,1,4,0.04756565,0.00427567,0.05356668,0.00062209,0.01013066,0.01856872,0.08724365,0.00019995,0.00294417,0.01301944
DEL,T,1,5+,0.82035108,9.378e-05,0.01012654,0.00329109,0.00639899,0.00321156,0.00924272,0.00563781,0.03108052,0.03930252
INS,C,1,0,0,0,5.4e-07,9.6e-07,1e-06,3.05e-06,2.04e-06,1.12e-06,0.00359696,0.45905608
INS,C,1,1,0.00013833,3e-08,8.23e-05,0.00024888,0.00684192,0.00135796,0,0.00089818,0.12073422,0.01269095
INS,C,1,2,7.08e-06,0,0.002167,0.00010751,0.00519019,1.7e-06,0,0.00044611,0.07344865,0.00066886
INS,C,1,3,0.00045301,0.00039103,0,0,0.00707492,9.504e-05,0,0.00033293,0.02775081,0.00177772
INS,C,1,4,0.00288984,0.00162718,0,0,0.00769173,0.00013124,0,3.573e-05,0.00948781,0.00148047
INS,C,1,5+,0.00894461,0.02472748,3.006e-05,3.502e-05,0.00765718,0.00020686,0.00101456,0.00035024,0.00473327,0.00248349
INS,T,1,0,0.0011758,0.00188903,0.00968248,0.00336807,0.01642557,0.00581797,0.02148294,0.00096883,0.0141081,0.0346491
INS,T,1,1,0,0,0.00744101,0.00201495,0.05596923,1.307e-05,0.00684391,0.00161442,0.24758318,0.00275153
INS,T,1,2,0.00064636,8e-08,0.02687992,5.06e-06,0.05173012,5.31e-06,0.0004308,0.0006958,0.13180624,0.001761
INS,T,1,3,0.00109192,0.00427965,0.01792918,0.00013639,0.03156377,0.00034566,0.00061681,0.00045949,0.08774307,0.00102028
INS,T,1,4,0.00348272,0.01677616,0.01270213,0.0001906,0.0082811,0.0011537,0.00111554,0.00038381,0.04017582,0.00471483
INS,T,1,5+,0.00237433,0.90418656,0.00021026,0.00789534,0.01301746,0.01727544,0.02606964,0.00567965,0.04394143,0.23705231
DEL,repeats,2,0,6.38e-05,5.7e-05,0.03036613,0.00906802,0.00617599,0.00095628,0.01242764,0.07344169,0.00122769,0.0001087
DEL,repeats,2,1,0.0031837,5.872e-05,0.01736412,0.00960134,0.01049099,0.00079724,0.00099035,0.23585839,0.00241639,0.00560112
DEL,repeats,2,2,0.00170269,2.43e-06,0.00260084,1.071e-05,0.01323976,0.00182213,0.00033068,0.05396916,0.00238216,0.0026626
DEL,repeats,2,3,0.00069353,1.067e-05,0,0,0.00675121,0.00013402,0,0.01118115,0.00115545,0.00058084
DEL,repeats,2,4,0.00070487,0,0.00045876,0,0.00387658,0,1.609e-05,0.00260007,0.00132678,2.327e-05
DEL,repeats,2,5+,0,4.5e-07,0.02878841,6.06e-06,0.00047201,0,2.359e-05,0.00029836,0.00380516,2.168e-05
