"","min","lower-hinge","median","upper-hinge","max"
"averCosSim",0.985518768866723,0.989507299374408,0.990156058129198,0.991042070822713,0.99519272182778
"falseNeg",2,4,4,5,6
"falsePos",2,3,4,4,4
"truePos",5,6,7,7,9
"TPR",0.454545454545455,0.545454545454545,0.636363636363636,0.636363636363636,0.818181818181818
"PPV",0.6,0.625,0.636363636363636,0.636363636363636,0.818181818181818
