Signature,NumberOfPostSamples
low confidence hdp.1,3400
low confidence hdp.2,3308
low confidence hdp.3,1928
low confidence hdp.4,1926
low confidence hdp.5,1198
low confidence hdp.6,1000
low confidence hdp.7,754
low confidence hdp.8,400
low confidence hdp.9,364
low confidence hdp.10,200
low confidence hdp.11,200
low confidence hdp.12,198
low confidence hdp.13,127
low confidence hdp.14,117
low confidence hdp.15,116
low confidence hdp.16,92
low confidence hdp.17,22
low confidence hdp.18,8
low confidence hdp.19,6
low confidence hdp.20,4
low confidence hdp.21,4
low confidence hdp.22,2
