"ex.sig","gt.sig","sim"
"hdp.1","SBS1",0.99665525709001
"hdp.3","SBS2",0.992061160370394
"hdp.6","SBS3",0.981152638739909
"hdp.13","SBS4",0.995749840014387
"hdp.12","SBS5",0.993212663918145
"hdp.8","SBS7c",0.999448557450923
"hdp.15","SBS7d",0.980606066535309
"hdp.7","SBS12",0.992103042042985
"hdp.9","SBS13",0.992508390259301
"hdp.23","SBS16",0.987245511361581
"hdp.2","SBS17a",0.998360292635932
"hdp.4","SBS17b",0.997114653139442
"hdp.11","SBS18",0.994548657858849
"hdp.10","SBS22",0.988751134405336
"hdp.17","SBS28",0.985353175829926
"hdp.19","SBS29",0.946343710180863
"hdp.5","SBS38",0.98672007902765
"hdp.14","SBS40",0.993144741734434
"hdp.16","SBS41",0.993798010341839
"hdp.18","SBS44",0.993641172715994
