Signature,NumberOfPostSamples
low confidence hdp.1,3197
low confidence hdp.2,2792
low confidence hdp.3,2346
low confidence hdp.4,2183
low confidence hdp.5,1349
low confidence hdp.6,1080
low confidence hdp.7,1046
low confidence hdp.8,998
low confidence hdp.9,994
low confidence hdp.10,800
low confidence hdp.11,800
low confidence hdp.12,600
low confidence hdp.13,600
low confidence hdp.14,395
low confidence hdp.15,200
low confidence hdp.16,37
low confidence hdp.17,11
low confidence hdp.18,10
low confidence hdp.19,4
low confidence hdp.20,2
