Signature,NumberOfPostSamples
low confidence hdp.1,3000
low confidence hdp.2,2682
low confidence hdp.3,1998
low confidence hdp.4,1796
low confidence hdp.5,1395
low confidence hdp.6,1321
low confidence hdp.7,865
low confidence hdp.8,800
low confidence hdp.9,790
low confidence hdp.10,761
low confidence hdp.11,441
low confidence hdp.12,200
low confidence hdp.13,200
low confidence hdp.14,199
low confidence hdp.15,71
low confidence hdp.16,33
low confidence hdp.17,14
low confidence hdp.18,4
low confidence hdp.19,2
low confidence hdp.20,2
low confidence hdp.21,2
