Signature,NumberOfPostSamples
low confidence hdp.1,3400
low confidence hdp.2,3200
low confidence hdp.3,2200
low confidence hdp.4,1998
low confidence hdp.5,1792
low confidence hdp.6,1600
low confidence hdp.7,1222
low confidence hdp.8,1142
low confidence hdp.9,800
low confidence hdp.10,636
low confidence hdp.11,602
low confidence hdp.12,400
low confidence hdp.13,400
low confidence hdp.14,400
low confidence hdp.15,268
low confidence hdp.16,200
low confidence hdp.17,200
low confidence hdp.18,200
low confidence hdp.19,199
low confidence hdp.20,197
low confidence hdp.21,14
low confidence hdp.22,6
low confidence hdp.23,6
low confidence hdp.24,3
low confidence hdp.25,2
low confidence hdp.26,2
