Type,Subtype,Indel_size,Repeat_MH_size,W.1,W.2,W.3,W.4,W.5,W.6,W.7,W.8,W.9,W.10,W.11,W.12,W.13,W.14,W.15,W.16,W.17,W.18,W.19
DEL,C,1,0,9.02540265319876e-35,3.29283830001442e-108,1.1125369292536e-308,0,0,0.896179104986736,1.11636688932053e-07,1.25471729186269e-38,0.0124933870413322,5.29181070655408e-231,0.00303520047178002,5.56658714244446e-110,0,1.63974492823999e-65,1.91402287689261e-290,0,0,0.0828873541345843,0
DEL,C,1,1,2.07497990848807e-208,0,0,0,0,8.05644430776503e-74,3.2310108948095e-118,8.77909078266467e-134,2.01443349740061e-139,0,9.03113058508682e-06,2.26870165279661e-106,0,6.02097231361901e-151,0,0.974380067261536,0,0.231879715526335,0
DEL,C,1,2,0,0,0,0,0,0,0,0,0.00484608599537707,0,0,1.15830824778039e-221,0,0.0161725091863942,0,0,0,0.258735319007484,0
DEL,C,1,3,8.36595833710472e-102,0.034562973970852,5.21521973729184e-146,0.00145228640318568,0,0.018588845115857,0.00490047179189355,7.44685011067179e-109,0,3.15920458207964e-33,0.00167594486169397,0.00372314129759291,1.11269339505783e-308,0.0212381499082733,1.08521296494658e-72,1.1125369292536e-308,6.1472603529257e-167,0.0805895621802436,0
DEL,C,1,4,0.00803677429947301,0.0182703411618908,0,0.000185384670702223,0.00128090137130273,0.0225034905242587,0,0,0.00150987367573074,0.00038808394663563,0.00267891634803694,0,0.0765767837386481,0,0,0,0,0.0481359376378911,0
DEL,C,1,5+,0,5.52146560058491e-136,0,0,0,0,0,0,0,0,0.00949523911232839,0,0.825876954891704,0,0,0,0,0,0
DEL,T,1,0,0.00643097803071938,3.03743718710211e-05,6.0221922422825e-257,1.44917843769883e-248,2.18630793885052e-180,2.78958284401394e-71,3.58514704008152e-07,0.141521505671782,1.11253692925403e-308,3.8046491591646e-115,0.00591575288337805,3.54435101411599e-05,0,0.0806605170224258,0.989636083436187,0,0,0.0354638855156491,0
DEL,T,1,1,0,0,0,0,0,0,0,0,0,0,0,0.791927511613461,0,2.01133938813342e-75,0,0,0,2.71015315908997e-91,0
DEL,T,1,2,0.0261378030409247,1.29212600693251e-212,0.968563648166782,2.20985909703175e-170,9.61538924325149e-304,4.23019295489989e-156,1.52628734677543e-195,0.0862070153158071,1.95867482227536e-81,0,0.00308861193079195,1.52404325386524e-09,0,0.0984994111971194,7.04777777206795e-230,0,0,0.0126888658954273,0
DEL,T,1,3,8.33863822503777e-58,3.24805182283132e-48,0,0.00220127206942687,0,3.18210169193973e-129,3.60391449867938e-142,0.738218866943136,5.53614849636085e-39,0,0.00977054923598851,3.77694545831278e-174,1.11253692925385e-308,4.91255377114925e-93,0,0,0,6.0179620607287e-102,0
