Type,Subtype,Indel_size,Repeat_MH_size,signeR.1,signeR.2,signeR.3,signeR.4,signeR.5,signeR.6,signeR.7,signeR.8
DEL,C,1,0,0.0025369462901199,9.30847644814161e-06,0.00453657113708828,0.0325137846739347,0.0550984369584567,0.156472581053922,0.0282099978170753,0.0250942890240097
DEL,C,1,1,2.41321097057151e-05,0.000425625574458557,6.79477128749042e-05,0.0237300608773597,0.0106728300902167,0.211492123191631,0.000412519896500962,0.00242038266680721
DEL,C,1,2,1.31207669660367e-06,1.99340406335144e-06,2.46268394481522e-06,0.0151972214000849,0.000891128646300814,0.165239526501273,1.01043097347396e-05,0.00115294266114897
DEL,C,1,3,0.00153417180182712,0.00217125729503137,0.00257777521374628,0.00993221492448106,0.000999677216091326,0.0623098600441332,0.00533742476388708,0.000602789063570007
DEL,C,1,4,0.00180059798882746,0.000801575726535351,0.00340136119775909,0.00194495094808304,0.00173777600871232,0.0395275237160557,0.02812101570776,0.00229967420686101
DEL,C,1,5+,0.00976726638673642,0.00343117644676009,0.0140942409897552,0.000181925545071908,6.49140473595411e-05,0.0206393426602077,0.0764278621449309,0.00171020523723098
DEL,T,1,0,0.00266603785773522,0.0024660989729386,0.00679210519936953,0.0956318239109897,0.0179961802859451,0.0410569084460013,0.055738485274361,0.00872366513921123
DEL,T,1,1,1.29592636533272e-06,1.53559454646788e-06,2.25316243975144e-06,0.12774356423661,6.06790075824574e-05,0.00430938316613288,1.29348425464729e-05,0.0314223012032873
DEL,T,1,2,0.00465581224573433,2.47581423419138e-05,0.00677215130852047,0.098522661690432,0.0112224436668838,0.0169303508955287,0.0544671937769362,0.00215494207891953
DEL,T,1,3,0.0150802432689587,2.78923755883051e-05,0.0125459956788872,0.0780861565761352,0.0210679881136802,0.0192264441112673,0.164299745842931,0.00929586141520079
DEL,T,1,4,0.0264887418076445,0.000791506412484109,0.063052798351875,0.0394922199474313,0.0152789587083226,0.0185375173615889,0.220635686149095,0.00461406170454565
DEL,T,1,5+,0.866938158773301,1.96353147407035e-05,0.806226020354355,0.0096530380692036,5.26318041950607e-05,0.000159652323413583,0.0170389626382182,0.000559340555923868
INS,C,1,0,1.20086135034524e-06,3.03145137710929e-06,2.62399462440546e-06,7.33823002600511e-06,0.10371921571677,9.17935068557069e-05,1.3158610182547e-05,0.000474761094631293
INS,C,1,1,5.1091611188078e-05,0.000170256481774513,0.000250483438022074,0.00602133474052275,0.00415823086157246,0.00280190525203854,0.00128032692269388,8.96596426539642e-05
INS,C,1,2,1.527232666284e-05,1.49784277590601e-05,1.88762947189202e-05,0.00531103105638887,0.000280425257843811,0.00245264790906941,8.61570487926913e-05,0.000113378714891745
INS,C,1,3,0.000229207327326926,0.000984316537452333,0.000339696601100552,0.00100879286533856,1.2253221502531e-05,0.00649920062878379,0.00255124776855585,0.00045915405603663
INS,C,1,4,0.0017243288832125,0.00187111835917192,0.00225504149772298,2.50748398207116e-05,2.40627107509717e-05,0.00657342871093019,0.0178096628236308,5.38716976578639e-05
