"","ID1","ID2","ID3","ID4","ID5","ID6","ID8","ID9","ID10","ID11","ID12","ID13","ID14"
"hdp.1",0.0741827030622378,0.997563900948209,0.0416236723606618,0.00768938832935362,0.160021234104381,0.029555388991257,0.0335955039846811,0.0298882120738498,0.00521879619934817,0.0217322593553939,0.0176211293973249,0.0208208576790447,0.11063744440874
"hdp.2",0.0641232463043212,0.0327289519261172,0.99836118240207,0.0615031309821913,0.348578407547565,0.0735008223559096,0.114964091915829,0.536100785052687,0.172981249089608,0.180140011073209,0.135348082205501,0.143632339084014,0.0622955116215635
"hdp.3",0.0128317206166505,0.149965199770235,0.331920500085455,0.199768382357014,0.973176625614077,0.123746815486008,0.173611146062773,0.504202015807006,0.118722026598112,0.124932241776938,0.245718437631448,0.583506227443959,0.0668658546536754
"hdp.4",0.0318538541766333,0.0172767490308349,0.0730716193937277,0.0284287337027841,0.126398375259916,0.999633481542452,0.46338362732211,0.107276593960243,0.0714501519664581,0.0106900056270868,0.0394293342448714,0.0507353922744089,0.0395847793267394
"hdp.5",0.0402512930276299,0.025088537333149,0.109452409668327,0.0479522625229059,0.191753978581294,0.439833803812324,0.973962614711437,0.132325937671143,0.058295271836453,0.0218548254022126,0.049846889844617,0.0971061219416474,0.0551276104838097
"hdp.6",0.0357167819153442,0.0180791081031577,0.184116868340845,0.00866696657217303,0.137250049618745,0.0112792221883213,0.0205424203722977,0.0323655806560827,0.114201138737,0.998720334194572,0.0235490373068497,0.0246704150184965,0.0354240532578775
"hdp.7",0.0180246020469415,0.0227486748964602,0.13499165067404,0.0371066424086468,0.586579770225111,0.0478386376331902,0.0883769873143794,0.264423931413345,0.0549709916972101,0.0211076768866875,0.0513734716664818,0.998833113788919,0.0322899355531658
"hdp.8",0.99999179430758,0.00566683875431118,0.0842651388984204,0.00646843805535025,0.0117751055858965,0.0390303598271915,0.0514306299679155,0.0174138035985487,0.00305011314157,0.0598416414179044,0.00605517197101457,0.0233133105825534,0.451942976097671
"hdp.9",0.0388625250227677,0.0233064831455689,0.100630157511523,0.0382685592419051,0.174126901933521,0.416850441999054,0.968408286035918,0.123856374137666,0.0550891716658952,0.0178875377993281,0.0454234071465629,0.094297040989893,0.0515994376756967
"hdp.10",0.0813629160321097,0.0351980700559196,0.571258315960248,0.0566889193970241,0.543960204332927,0.114247802259697,0.144733738554432,0.997564215698567,0.129264402017534,0.0320051054584295,0.255061056943505,0.312447726224718,0.0880514632992472
"hdp.11",0.0232004396364327,0.0239277042805052,0.0643091344571817,0.997804073686309,0.211276353313499,0.0317853466781903,0.0508561825218858,0.0544357754257456,0.0890004959471784,0.00955803053740523,0.037759397122148,0.0363667260514136,0.029758506638824
"hdp.12",0.0589367944060143,0.120964097819457,0.0435712232566485,0.0194478431002773,0.0828631442496857,0.0306361916949612,0.0436114730037744,0.0571695452375027,0.0634836680912821,0.0247697534698695,0.0249316375160561,0.032705922054362,0.916429234705226
"hdp.13",0.0399822682140346,0.0373406582590452,0.142228571936973,0.0562230839636348,0.280688220662833,0.0585540980234682,0.075475875970476,0.236099825932357,0.0692521974543171,0.0350089065226715,0.992896585121272,0.0698848185982257,0.0420538703717359
"hdp.14",0.0577025310498058,0.0174002693028364,0.144626673058213,0.0956403440717911,0.161018097242034,0.0715045196123476,0.0648340270670067,0.101773552897654,0.987286154952326,0.101170099240192,0.0805986767715144,0.0651065724235558,0.0913015954005243
