MutationsType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
1:Del:C:0	0.00227490	0.00000000	0.00043368	0.00060468	0.02454714	0.02051749	0.09441652	0.40492352	0.00234749	0.00276245	0.00003949	0.00568655
1:Del:C:1	0.00000059	0.00002414	0.00033922	0.00355342	0.01988026	0.00095678	0.24554994	0.09818096	0.00442944	0.00015597	0.00021099	0.00000000
1:Del:C:2	0.00000000	0.00000016	0.00000000	0.00333018	0.00006749	0.00448643	0.22369697	0.00000000	0.00684272	0.00002892	0.00700919	0.00000166
1:Del:C:3	0.00136763	0.00100427	0.01071281	0.01092131	0.00518966	0.00001396	0.07262962	0.00842996	0.00667578	0.00133298	0.00102976	0.00020932
1:Del:C:4	0.00264060	0.00030651	0.00938358	0.00042479	0.00001217	0.00195423	0.04638706	0.01200716	0.00073453	0.00110159	0.00033429	0.00212312
1:Del:C:5	0.00931057	0.00079178	0.05012454	0.00115455	0.00000505	0.00065900	0.02545895	0.00005931	0.00389283	0.00387199	0.00243474	0.00502336
1:Del:T:0	0.00408628	0.00007363	0.02716905	0.14829236	0.03750157	0.00027252	0.03114897	0.10629287	0.06066266	0.00323892	0.00297010	0.01991507
1:Del:T:1	0.00000000	0.00000009	0.00000000	0.00133789	0.01494020	0.00000001	0.00295236	0.00876241	0.46182339	0.00136039	0.00005641	0.00000379
1:Del:T:2	0.00280966	0.00015158	0.02310312	0.18419593	0.00285676	0.01055251	0.01110153	0.08439284	0.03593248	0.00069410	0.00082978	0.01001874
1:Del:T:3	0.00793297	0.00037023	0.08575204	0.13307609	0.00162750	0.01856078	0.00434371	0.12697795	0.06416784	0.00022909	0.00266263	0.01745244
1:Del:T:4	0.01958087	0.00028716	0.24321590	0.10068025	0.00002848	0.01295549	0.00341234	0.08697492	0.00946037	0.00029566	0.00063898	0.01500912
1:Del:T:5	0.90985189	0.00031145	0.02408883	0.01931347	0.00040214	0.00046397	0.00041819	0.00580123	0.00186452	0.00263871	0.00269342	0.01220291
1:Ins:C:0	0.00000000	0.00000000	0.00000000	0.00000074	0.00000033	0.00000021	0.00000015	0.00000014	0.00000005	0.00000010	0.00000039	0.55787396
1:Ins:C:1	0.00017443	0.00000000	0.00001726	0.00023013	0.00012829	0.00087945	0.00014312	0.00000000	0.00056959	0.00160213	0.13545401	0.02188357
1:Ins:C:2	0.00000268	0.00000000	0.00000009	0.00119406	0.00016393	0.00000618	0.00053493	0.00000000	0.00161506	0.00092180	0.09033599	0.00410738
1:Ins:C:3	0.00032077	0.00066901	0.00170780	0.00001925	0.00000000	0.00000417	0.00590136	0.00000287	0.00025556	0.00067955	0.03236134	0.00288214
1:Ins:C:4	0.00153249	0.00116531	0.01124627	0.00032168	0.00025158	0.00025775	0.00624676	0.00000635	0.00075492	0.00051384	0.00987939	0.00253659
1:Ins:C:5	0.00350786	0.01585743	0.07980164	0.00004709	0.00000999	0.00000000	0.00693827	0.00000000	0.00694321	0.00599531	0.00952831	0.00136051
1:Ins:T:0	0.00076160	0.00172251	0.00661858	0.00027060	0.00306364	0.00625881	0.02003156	0.01251799	0.02552873	0.00136120	0.00616097	0.03478377
1:Ins:T:1	0.00000000	0.00000000	0.00001498	0.00152558	0.00158946	0.00001593	0.04963688	0.00445071	0.00599348	0.00303629	0.28568372	0.01132471
1:Ins:T:2	0.00022909	0.00000000	0.00228490	0.03631438	0.00000261	0.00000000	0.04237136	0.00000000	0.00799448	0.00132773	0.15027955	0.00652524
1:Ins:T:3	0.00067452	0.00324459	0.00594875	0.01937086	0.00010027	0.00003002	0.02718391	0.00000000	0.01113217	0.00198374	0.10696559	0.00428624
1:Ins:T:4	0.00096333	0.01346387	0.02923369	0.00943452	0.00048266	0.00063132	0.00733425	0.00000629	0.01818101	0.00380682	0.05545871	0.00702005
1:Ins:T:5	0.00132349	0.93891095	0.15937420	0.00143196	0.00275370	0.00530200	0.00517685	0.00833547	0.02016921	0.01433163	0.04655489	0.10747087
2:Del:R:0	0.00001375	0.00006013	0.00015907	0.03130345	0.00756760	0.00070839	0.00685662	0.01128299	0.02596661	0.07037720	0.00003741	0.00166090
2:Del:R:1	0.00164110	0.00003397	0.00966509	0.02108321	0.00655545	0.00089094	0.00861999	0.00031829	0.00766796	0.22209717	0.00175535	0.01025780
2:Del:R:2	0.00131063	0.00004899	0.00410421	0.00086068	0.00002874	0.00151189	0.01404075	0.00008025	0.00236194	0.04835540	0.00119267	0.00506001
2:Del:R:3	0.00060388	0.00026056	0.00171024	0.00000607	0.00000000	0.00019195	0.00708751	0.00000000	0.00010540	0.00905845	0.00020587	0.00066409
2:Del:R:4	0.00052921	0.00000618	0.00295086	0.00097910	0.00004669	0.00017762	0.00306386	0.00028144	0.00033657	0.00323292	0.00017001	0.00026772
2:Del:R:5	0.00000000	0.00000000	0.00000000	0.01489068	0.00128057	0.00000000	0.00102827	0.00000004	0.03836309	0.00096364	0.00483699	0.00015254
3:Del:R:0	0.00000045	0.00002774	0.00017018	0.02367023	0.01270063	0.00082062	0.00124152	0.00146729	0.01002759	0.00459212	0.00067889	0.00121424
3:Del:R:1	0.00316606	0.00268635	0.02105940	0.00179766	0.00006739	0.00457449	0.00001356	0.00106370	0.00233049	0.09863404	0.00230726	0.00746711
3:Del:R:2	0.00179663	0.00017902	0.00625799	0.00025987	0.00033951	0.00038686	0.00001111	0.00044921	0.00057461	0.01819851	0.00057062	0.00236413
3:Del:R:3	0.00034016	0.00022751	0.00103948	0.00091359	0.00017570	0.00000167	0.00001431	0.00001598	0.00022515	0.00434039	0.00032719	0.00055995
3:Del:R:4	0.00000000	0.00000001	0.00000000	0.00631997	0.00001656	0.00000000	0.00017754	0.00000000	0.00750496	0.00029163	0.00126276	0.00005537
3:Del:R:5	0.00000000	0.00000002	0.00000001	0.01008530	0.00015057	0.00001951	0.00013957	0.00000001	0.00884681	0.00005335	0.00133022	0.00002066
4:Del:R:0	0.00000059	0.00000497	0.00011432	0.01503993	0.00803099	0.00155035	0.00042230	0.00126857	0.00586043	0.00823405	0.00011192	0.00015986
4:Del:R:1	0.00104539	0.00013002	0.00811713	0.00041808	0.00011504	0.00240841	0.00003483	0.00172591	0.00044885	0.06332779	0.00063226	0.00237926
4:Del:R:2	0.00038941	0.00000000	0.00111482	0.00006526	0.00000490	0.00050420	0.00000090	0.00021884	0.00000319	0.01104243	0.00007046	0.00085498
4:Del:R:3	0.00000017	0.00000000	0.00000383	0.00568068	0.00001063	0.00014421	0.00001529	0.00000000	0.00197021	0.00374760	0.00014126	0.00017618
4:Del:R:4	0.00000000	0.00000000	0.00000395	0.00444976	0.00012699	0.00000035	0.00010097	0.00000000	0.00616190	0.00076395	0.00088951	0.00002746
4:Del:R:5	0.00011377	0.00000299	0.00080548	0.00292560	0.00001560	0.00000000	0.00000000	0.00000379	0.00088973	0.00020593	0.00014014	0.00000783
5:Del:R:0	0.00000013	0.00000000	0.00604255	0.00850355	0.30544934	0.00868835	0.00222466	0.00002986	0.01766648	0.00222957	0.00015544	0.00161025
5:Del:R:1	0.00247563	0.00000501	0.00563148	0.00026495	0.00000144	0.00792408	0.00000000	0.00001198	0.00093321	0.00913937	0.00062272	0.00065307
5:Del:R:2	0.00028114	0.00002943	0.00114786	0.00066218	0.00048520	0.00046421	0.00000437	0.00003236	0.00009371	0.00297370	0.00006706	0.00016536
5:Del:R:3	0.00006619	0.00000862	0.00047482	0.00032175	0.00000000	0.00009985	0.00001635	0.00000111	0.00016528	0.00140981	0.00005991	0.00020760
5:Del:R:4	0.00007366	0.00000722	0.00009999	0.00008292	0.00007604	0.00006907	0.00003852	0.00000512	0.00011488	0.00000191	0.00000864	0.00000000
5:Del:R:5	0.00000250	0.00001035	0.00015600	0.00102143	0.00001140	0.00003021	0.00000000	0.00004865	0.00032419	0.00037588	0.00006685	0.00010789
2:Ins:R:0	0.00012432	0.00024079	0.00184334	0.00757735	0.00186562	0.00201564	0.00302748	0.00020456	0.00978239	0.00015847	0.00293282	0.02504756
2:Ins:R:1	0.00012640	0.00000002	0.00033731	0.02801677	0.00183815	0.00000000	0.00320316	0.00125098	0.00866107	0.00019657	0.00019292	0.00006029
2:Ins:R:2	0.00042141	0.00000521	0.00511347	0.01124316	0.00021590	0.00053979	0.00127529	0.00011791	0.00254654	0.00048185	0.00038123	0.00088546
2:Ins:R:3	0.00025145	0.00044954	0.00129584	0.00158470	0.00008073	0.00049215	0.00143273	0.00020943	0.00065714	0.00010457	0.00058507	0.00147256
2:Ins:R:4	0.00123304	0.00201721	0.01040826	0.00005967	0.00000997	0.00003264	0.00016288	0.00003936	0.00095276	0.00063629	0.00117579	0.00277086
2:Ins:R:5	0.00524867	0.01028732	0.08423579	0.00057635	0.00050872	0.00011087	0.00000000	0.00003500	0.00941130	0.00735326	0.00950216	0.00159309
3:Ins:R:0	0.00002187	0.00000341	0.00021484	0.00563823	0.00059187	0.00085610	0.00041474	0.00001429	0.00156734	0.00009198	0.00067175	0.00764799
3:Ins:R:1	0.00077051	0.00014234	0.00352224	0.00818231	0.00057860	0.00006511	0.00011392	0.00071110	0.00548325	0.00045969	0.00083238	0.00279970
3:Ins:R:2	0.00017007	0.00000335	0.00067185	0.00163093	0.00012608	0.00083180	0.00002184	0.00007199	0.00076009	0.00089918	0.00010487	0.00013514
3:Ins:R:3	0.00001471	0.00013894	0.00011851	0.00002077	0.00000814	0.00029437	0.00000412	0.00000000	0.00001528	0.00003217	0.00013653	0.00063914
3:Ins:R:4	0.00007127	0.00006786	0.00044460	0.00004068	0.00005678	0.00021675	0.00002863	0.00001075	0.00003552	0.00016058	0.00014968	0.00049712
3:Ins:R:5	0.00146514	0.00099373	0.00500956	0.00002859	0.00000105	0.00000005	0.00000000	0.00002664	0.00049255	0.00025774	0.00051864	0.00218879
4:Ins:R:0	0.00000273	0.00000009	0.00001699	0.00344179	0.00063555	0.00146677	0.00000017	0.00007100	0.00169092	0.00001411	0.00064224	0.00679135
4:Ins:R:1	0.00078618	0.00043226	0.00523369	0.00504725	0.00082305	0.00036890	0.00000440	0.00106870	0.00394816	0.00134494	0.00131228	0.00092517
4:Ins:R:2	0.00000772	0.00005571	0.00008235	0.00065307	0.00005975	0.00047336	0.00001323	0.00002334	0.00017526	0.00026099	0.00010865	0.00002499
4:Ins:R:3	0.00012770	0.00006048	0.00054347	0.00001516	0.00000059	0.00033827	0.00005087	0.00014288	0.00001429	0.00009189	0.00008874	0.00063664
4:Ins:R:4	0.00011234	0.00015456	0.00163759	0.00001039	0.00012089	0.00005488	0.00000000	0.00003517	0.00015889	0.00044635	0.00020793	0.00198828
4:Ins:R:5	0.00150097	0.00048669	0.00721943	0.00131246	0.00061777	0.00014649	0.00001074	0.00000661	0.00071491	0.00068192	0.00066796	0.00033025
5:Ins:R:0	0.00000000	0.00000003	0.00011480	0.00377209	0.00008416	0.00869902	0.00036168	0.00002863	0.00685368	0.00001455	0.00132254	0.00380143
5:Ins:R:1	0.00000942	0.00112032	0.00240273	0.00395008	0.01029646	0.00621294	0.00008691	0.00129169	0.01209084	0.00258454	0.00632357	0.03490517
5:Ins:R:2	0.00000030	0.00014036	0.00051771	0.00043625	0.00001919	0.00118801	0.00005102	0.00009466	0.00011854	0.00019053	0.00089957	0.00086747
5:Ins:R:3	0.00002936	0.00020548	0.00058156	0.00033882	0.00002084	0.00000239	0.00001860	0.00006669	0.00004787	0.00005497	0.00008610	0.00001128
5:Ins:R:4	0.00000029	0.00021674	0.00030089	0.00021051	0.00002159	0.00000765	0.00000005	0.00000858	0.00009520	0.00009576	0.00016670	0.00043588
5:Ins:R:5	0.00002561	0.00002357	0.00093228	0.00089970	0.00026655	0.00005256	0.00003243	0.00006090	0.00013216	0.00013666	0.00023893	0.00026796
2:Del:M:1	0.00000681	0.00001680	0.00004904	0.02739699	0.00032329	0.00000000	0.00722246	0.00040303	0.01426759	0.19962287	0.00010781	0.00513353
3:Del:M:1	0.00000001	0.00000752	0.00022290	0.01345665	0.01213519	0.00053458	0.00080106	0.00271225	0.00979992	0.00747856	0.00031790	0.00107865
3:Del:M:2	0.00158824	0.00051714	0.01039696	0.01051201	0.00265262	0.00427559	0.00018782	0.00038700	0.00246935	0.05649774	0.00194010	0.00437472
4:Del:M:1	0.00007211	0.00000085	0.00028717	0.01251374	0.00648177	0.00241745	0.00001480	0.00192101	0.00360428	0.01132169	0.00000060	0.00021492
4:Del:M:2	0.00026393	0.00000002	0.00135141	0.00851839	0.00025435	0.00895888	0.00004818	0.00188938	0.00088824	0.03083677	0.00009176	0.00152053
4:Del:M:3	0.00044565	0.00000144	0.00131934	0.00207812	0.00017083	0.00511979	0.00001936	0.00061327	0.00075205	0.03712022	0.00049932	0.00358935
5:Del:M:1	0.00040467	0.00000000	0.00002538	0.00033168	0.37366529	0.05950862	0.00000198	0.00001139	0.00007706	0.00006358	0.00000002	0.00024869
5:Del:M:2	0.00000004	0.00000004	0.00162445	0.00169271	0.10263913	0.30732360	0.00186510	0.00000013	0.00011241	0.00000011	0.00000276	0.00107921
5:Del:M:3	0.00000000	0.00000001	0.00015962	0.00319470	0.02249750	0.23567802	0.00096154	0.00000010	0.00106271	0.00005787	0.00000187	0.00007304
5:Del:M:4	0.00030309	0.00000000	0.00062073	0.00386228	0.00141400	0.13080100	0.00039445	0.00003807	0.00001896	0.00299953	0.00001245	0.00003301
5:Del:M:5	0.00119735	0.00012649	0.00974422	0.00310400	0.00005612	0.10496976	0.00000000	0.00000516	0.00362675	0.00033378	0.00056233	0.00013540
