Signature,NumberOfPostSamples
low confidence hdp.1,3450
low confidence hdp.2,3400
low confidence hdp.3,3400
low confidence hdp.4,3400
low confidence hdp.5,3187
low confidence hdp.6,3000
low confidence hdp.7,1814
low confidence hdp.8,1688
low confidence hdp.9,1202
low confidence hdp.10,1202
low confidence hdp.11,1001
low confidence hdp.12,977
low confidence hdp.13,800
low confidence hdp.14,800
low confidence hdp.15,672
low confidence hdp.16,600
low confidence hdp.17,579
low confidence hdp.18,459
low confidence hdp.19,430
low confidence hdp.20,400
low confidence hdp.21,400
low confidence hdp.22,308
low confidence hdp.23,200
low confidence hdp.24,200
low confidence hdp.25,200
low confidence hdp.26,200
low confidence hdp.27,57
low confidence hdp.28,34
low confidence hdp.29,25
low confidence hdp.30,24
low confidence hdp.31,19
low confidence hdp.32,11
low confidence hdp.33,10
low confidence hdp.34,10
low confidence hdp.35,6
low confidence hdp.36,6
low confidence hdp.37,6
low confidence hdp.38,4
low confidence hdp.39,4
low confidence hdp.40,4
low confidence hdp.41,4
low confidence hdp.42,3
low confidence hdp.43,2
low confidence hdp.44,2
low confidence hdp.45,2
low confidence hdp.46,2
low confidence hdp.47,2
low confidence hdp.48,2
low confidence hdp.49,2
low confidence hdp.50,2
low confidence hdp.51,2
low confidence hdp.52,2
low confidence hdp.53,2
low confidence hdp.54,2
low confidence hdp.55,2
low confidence hdp.56,2
low confidence hdp.57,2
low confidence hdp.58,2
low confidence hdp.59,2
low confidence hdp.60,2
low confidence hdp.61,2
low confidence hdp.62,2
