Signature,NumberOfPostSamples
low confidence hdp.1,3400
low confidence hdp.2,3200
low confidence hdp.3,3000
low confidence hdp.4,2795
low confidence hdp.5,1910
low confidence hdp.6,1411
low confidence hdp.7,1400
low confidence hdp.8,1397
low confidence hdp.9,1200
low confidence hdp.10,1196
low confidence hdp.11,1165
low confidence hdp.12,993
low confidence hdp.13,981
low confidence hdp.14,600
low confidence hdp.15,600
low confidence hdp.16,400
low confidence hdp.17,396
low confidence hdp.18,29
low confidence hdp.19,2
