Type,Subtype,Indel_size,Repeat_MH_size,hdp.1 (ID5 0.999),hdp.2 (ID2 0.998),hdp.3 (ID3 0.998),hdp.4 (ID8 0.999),hdp.5 (ID6 0.999),hdp.6 (False Positive) (ID5 0.342),hdp.7 (ID14 0.912),hdp.8 (ID1 1),hdp.9 (ID9 0.998),hdp.10 (ID11 0.999),hdp.11 (ID4 0.997),hdp.12 (ID13 0.999),hdp.13 (ID10 0.987),hdp.14 (ID12 0.993),hdp.15 (False Positive) (ID5 0.581),hdp.16 (False Positive) (ID1 0.812)
DEL,C,1,0,0.0196936738950605,0.00431747662838817,0.117582547363248,0.0385852884782404,0.0287860231986616,0.0131468631399081,0.0130426446219659,0.000263832977582863,0.325037538211164,0.00283503641015966,0.00844132266774859,0.0505608342890298,0.0105517508618284,0.0479998631125463,0.0172928486797311,0.00236438188872414
DEL,C,1,1,0.0279818582995354,0.000109043839294733,0.217123951337004,0.0219543894965056,0.00572689101671653,0.00062472274255652,0.00187071186471405,0.000757783365955248,0.0950996939442549,0.00125404554729077,0.00227740754882105,0.0147100371996645,0.0235599886762678,0.0113126381495776,0.0185754742588681,0.000345094411724174
DEL,C,1,2,0.0268934717256823,1.66023037678191e-06,0.189822228065875,0.00292066227354576,0.00783242738122752,3.29770814546191e-05,0.00108075364194388,6.28982852254133e-06,0.00264400410442232,0.000203109768834696,0.00146420341565137,0.00649684401232334,0.017611816836623,0.00203011184845696,0.00911732314948248,8.39120824333038e-06
DEL,C,1,3,0.0145321065987829,0.00221866114925804,0.0604007660701305,0.00575623510060454,0.000923871736176258,0.00643108634867522,0.000573325561309384,0.00172329095491072,0.00942373882340922,0.000411125028030259,0.00118686821703855,0.00575238445220745,0.0074658330472284,0.00558949394958996,0.00924816497632035,0.00272852651171646
DEL,C,1,4,0.00250183841882201,0.00326688881636027,0.0426451722571721,0.00102215168422891,0.00281333176517283,0.0127043621603894,0.00265974617434099,0.000793023826489341,0.0113197145614908,0.000249693204017285,0.0016668123371296,0.00327385364846596,0.00409702270167386,0.00305622821728294,0.0108262570249333,0.00216890863756298
DEL,C,1,5+,0.00220649326193359,0.0133032046451032,0.0229189622502848,0.000614919012101862,0.00165096180955888,0.0312166958519685,0.00509598027989799,0.00330533124902842,0.00120025331677779,0.000784454064170679,0.0023542810074894,0.00141083777089509,0.00668140358062839,0.0343498100301199,0.00270111134530125,0.00814560827380631
DEL,T,1,0,0.104301983878273,0.0069843839052243,0.0372799801074647,0.035581550990512,0.00423798584657514,0.0331126149205974,0.0235174474567162,0.000920341852363577,0.096837746838556,0.000705466931846075,0.00453820441410168,0.0486473436855739,0.0339284316028502,0.0242693131163308,0.0849003092935938,0.00599319352454466
DEL,T,1,1,0.102222222212385,1.89261670337988e-06,0.0117278893872619,0.0095073612840811,0.000289447028418002,4.48757269794683e-05,0.000585885785932146,6.08009116473793e-06,0.0450157693097971,0.00104437016031405,0.000804092235899478,0.527924284423621,0.00116088333142597,0.00406770009500421,0.00409315960499281,6.86770591443838e-06
DEL,T,1,2,0.120724294832878,0.00541396119918068,0.0144862803713805,0.00858248616906958,0.011932250245161,0.017434526899037,0.0122550461233048,0.000689591218130414,0.0787312170031718,0.000714853518999694,0.00109409253574193,0.0217986466708156,0.00267412748032903,0.0223743159673819,0.0171800056642988,0.00673545525328753
DEL,T,1,3,0.0850431982369392,0.0154406164619553,0.0143412893022748,0.00867352167001058,0.0204007014484108,0.0754713252290402,0.0212158799344406,0.0027315780882234,0.115207464870222,0.00158725690908048,0.00119206723019392,0.0594250907872196,0.0075087989816672,0.0167841283313712,0.386474852043883,0.0124545378129759
