Signature,NumberOfPostSamples
low confidence hdp.1,3400
low confidence hdp.2,3195
low confidence hdp.3,2848
low confidence hdp.4,2322
low confidence hdp.5,1595
low confidence hdp.6,1591
low confidence hdp.7,1383
low confidence hdp.8,1130
low confidence hdp.9,1000
low confidence hdp.10,838
low confidence hdp.11,817
low confidence hdp.12,800
low confidence hdp.13,601
low confidence hdp.14,590
low confidence hdp.15,400
low confidence hdp.16,200
low confidence hdp.17,198
low confidence hdp.18,10
low confidence hdp.19,8
low confidence hdp.20,2
low confidence hdp.21,2
low confidence hdp.22,2
