Type,Subtype,Indel_size,Repeat_MH_size,hdp.1 (ID5 0.995),hdp.2 (ID13 0.998),hdp.3 (ID6 0.994),hdp.4 (ID2 1),hdp.5 (ID4 0.994),hdp.6 (ID1 1),hdp.7 (ID14 0.977),hdp.8 (False Positive) (ID3 0.946),hdp.9 (ID9 1),hdp.10 (ID8 0.987),hdp.11 (ID11 0.977),hdp.12 (False Positive) (ID5 0.912),hdp.13 (ID3 0.968)
DEL,C,1,0,0.0230570750084565,0.0453055326962972,0.0304590474943395,0.00423380660414206,0.0115999138484543,0.000517574084080236,0.0106038532828919,0.0716329800104476,0.333485343361283,0.0343115177330533,0.00820158965514503,0.0189790796014412,0.140213344084114
DEL,C,1,1,0.02633763843525,0.0165470780141274,0.00604485860265019,4.9094693502356e-05,0.00243222568658548,0.000590934830836575,0.00254646763297953,0.307491110672276,0.097491992967241,0.0196283092334507,0.00850819849634561,0.0290408027032089,0.142337849742095
DEL,C,1,2,0.0277732709083335,0.00757818628280273,0.00852260137693354,4.58582381960424e-06,0.00313241675868299,7.42500512753962e-06,0.000300142954239952,0.141388040981136,0.00242973121157883,0.00271605082265317,0.0029609608813777,0.0262784713503626,0.217325497288475
DEL,C,1,3,0.0123040449398456,0.00583337667064361,0.000834164748134977,0.00237450079494658,0.00166274806649547,0.00187660902090105,0.000937589960445036,0.0562130897455155,0.0109216402117627,0.00570779192277702,0.00232425654330016,0.0154934084747929,0.0715239412223343
DEL,C,1,4,0.00286024582058052,0.00397235706612563,0.00258998899330501,0.00353427345013796,0.00246598149897493,0.000792607550752328,0.00171669943772121,0.0402410052231315,0.0129870896688956,0.00109884726168763,0.00339766869746,0.00369539933992513,0.0436194927533459
DEL,C,1,5+,0.00208669457787751,0.00163248202161632,0.00186647006949847,0.0141728706664719,0.00236235825463216,0.00266138817066153,0.0034421888168566,0.0222936957938795,0.000651585581991028,0.000603015103019825,0.000748468423709977,0.00352181689369326,0.0254168388279548
DEL,T,1,0,0.0857596901950641,0.0371519453463426,0.00239756690355358,0.00687594229985253,0.00784193347097271,0.0014045797051151,0.0198244108567352,0.0346290036028805,0.105937433696187,0.0291977163896326,0.0168045446588747,0.197136541141679,0.0287201356309162
DEL,T,1,1,0.110737916638866,0.496995739238715,0.000735311100314562,4.20141725065512e-06,0.00376582231095261,9.0557787494703e-06,0.00065657337290452,0.019245775939454,0.0388928827743106,0.0107754596633509,0.00909082053533692,0.0758303760484534,0.00895630246767887
DEL,T,1,2,0.116407917697671,0.0204117469598804,0.00945662294712347,0.00712548416416002,0.00524475287518198,0.000336659061012009,0.00843024745970693,0.00836789111160745,0.0847028169424316,0.00894854371599875,0.018945992232801,0.0819367346576167,0.0117825216250508
DEL,T,1,3,0.105138782537638,0.0545319829640985,0.0213969491629122,0.0179183805990613,0.00623785468451934,0.0019621518643553,0.0157393850825347,0.01078345062647,0.105912109524241,0.0101854684198521,0.00593870437303756,0.0745448218413978,0.0160962976772767
