Type,Subtype,Indel_size,Repeat_MH_size,W.1,W.2,W.3,W.4,W.5,W.6,W.7,W.8,W.9,W.10,W.11,W.12,W.13,W.14,W.15,W.16
DEL,C,1,0,8.42032319439902e-156,0.0022536052821197,0.00753869291320698,0.00319233424876011,0,0.0843646970522436,0.0259436914434579,0,8.99676261652998e-251,4.11635827186895e-82,0.0146103003207168,0.619576047535414,8.32038744286445e-108,0,2.126425330648e-221,5.38972899149065e-289
DEL,C,1,1,0,0,0.0177146983023062,0,0,0.247268991144283,0,0,0,0.0189464910649242,1.721486821801e-201,0.144763446770682,1.83749186766149e-221,0.000504242323111309,0,7.45244836072459e-277
DEL,C,1,2,0,0,0,0,0,0.231638918571492,0,0,0,0.0224012573215591,0.00597986644209591,0,3.16288632812917e-41,0,0,0
DEL,C,1,3,7.12602828269897e-247,0,0.00508970617714669,0.00162596526792985,9.73580750579877e-180,0.0734655033513295,0.0195729846582019,0,8.69146006072761e-143,0.019700552115906,0,0.0129883779026155,0.00374967808733868,0.00152709613509514,0.000175883056581902,0
DEL,C,1,4,0.00382177021040286,0.00216227915186366,0,0.00269361097615131,0,0.0482547274988792,0.0248199282854052,0,0,0,0.00193700275925992,0.0166383647833001,0,0.000261609370700283,0.000841414284772826,0
DEL,C,1,5+,3.71135807284928e-205,0.00520220631072981,0,0.0104242801482788,0,0.0265269466513014,0.115830802207334,0,0,0,0.000663394445629013,0,0,0.000630486813662657,0.00175148385149343,0
DEL,T,1,0,0.00663342322296238,2.78398325198942e-199,0.0168626346377374,0.00595496244078758,7.44134105719137e-285,0.0338923567461706,0.0322860884409612,0,0.987958515080837,0.0973143693298182,8.92036042508964e-233,2.41982176021386e-58,4.59702898310952e-19,1.16170114092648e-217,2.63468458438477e-142,1.99846376543839e-98
DEL,T,1,1,0,0,0,0,0,3.7213879908046e-79,0,0,0,2.160208192304e-22,0,0,0.796273288749922,0,0,0
DEL,T,1,2,0.0457230731253584,1.71983269256387e-249,6.18290781238258e-182,0.00306866157785748,0.967660288388478,0.0140196090266669,0.0142231422796059,0,1.50505558819663e-141,0.115778818808826,0.000853367120936989,1.84969636973456e-96,1.44807005517146e-05,1.03380105464827e-187,0,1.63255068793571e-71
DEL,T,1,3,4.34852252716916e-09,0,1.57991443782247e-192,0.00911321567866451,1.76004068629368e-217,6.77544638375617e-97,0.104481148997338,0,1.09621059658986e-125,0.0431871555483074,1.9299323487084e-33,0.083059795129562,3.44661089594087e-81,4.30290934670911e-05,1.51202234834529e-97,0.981392660417977
