Type,Subtype,Indel_size,Repeat_MH_size,ID83A (ID2 1),ID83B (ID1 1),ID83C (ID5 0.953),ID83D (ID8 0.988),ID83E (ID3 0.992),ID83F (ID6 0.998),ID83G (ID9 0.993),ID83H (ID4 0.991),ID83I (ID14 1)
DEL,C,1,0,0.00291577,5.31e-06,0.00606588,0.04158327,0.1079662,0.02724322,0.33212839,0.01023687,0.00615703
DEL,C,1,1,5.61e-06,0.00024202,0.00856655,0.02067849,0.22018219,0.00278732,0.09341308,0.00291636,3.469e-05
DEL,C,1,2,0,0,0.00996064,0.00062667,0.19296144,0.0041075,0.00077494,0.00043216,1e-08
DEL,C,1,3,0.00247211,0.00154386,0.00805807,0.0053196,0.07068405,3.415e-05,0.01206646,0.0009171,0.00059025
DEL,C,1,4,0.0036549,0.00081312,0.00016909,0.00065619,0.04268997,0.00179341,0.01106871,0.00210233,0.00174086
DEL,C,1,5+,0.01473752,0.00323044,9.724e-05,0.00220578,0.02327953,0.00072196,0.00295155,0.00217202,0.00298764
DEL,T,1,0,0.00750935,0.00141898,0.10868044,0.04131846,0.03592928,0.00371495,0.09875023,0.00850839,0.01628625
DEL,T,1,1,0,0,0.18406429,0.03065435,0.00443876,2.904e-05,0.01056817,0.04476856,0
DEL,T,1,2,0.00687313,0.00095791,0.12138661,0.01125907,0.01765287,0.01185844,0.08480301,0.00083234,0.00946574
DEL,T,1,3,0.02015733,0.00204703,0.09819512,0.0132673,0.01402183,0.02217354,0.11087186,0.00402732,0.01832102
DEL,T,1,4,0.04734168,0.00347365,0.05054388,0.00664397,0.01121139,0.01752614,0.0918699,0.00165355,0.01351877
DEL,T,1,5+,0.81884629,0.00079844,0.0028506,0.00051933,0.00087715,0.0001481,0.01705215,0.00134586,0.04917777
INS,C,1,0,0,0,8.2e-07,1.5e-07,1.3e-07,2.91e-06,1.7e-07,2.1e-07,0.46309708
INS,C,1,1,0.00023643,2.8e-07,0.0067831,0.00235482,0.00484362,0.00127121,0.00106697,6.56e-06,0.0111679
INS,C,1,2,1.501e-05,0,0.00630816,0.00145661,0.0043167,0.00012424,0.00088305,1.511e-05,0.00049384
INS,C,1,3,0.00046842,0.00069281,0.00089645,0.0003311,0.00801079,4.816e-05,0.00058011,2.886e-05,0.00184537
INS,C,1,4,0.00285138,0.00155734,4.61e-06,0.00142495,0.00736002,0.00011152,0.00098566,1.877e-05,0.0012182
INS,C,1,5+,0.00848582,0.02213568,0,0.00752127,0.00604862,1.52e-06,0.00765613,7.954e-05,0.00138893
INS,T,1,0,0.0012429,0.00212871,0.01199584,0.00604454,0.01497074,0.00534001,0.01166851,0.00507648,0.03236828
INS,T,1,1,6e-08,7e-07,0.018261,0.00506314,0.05822425,0.00026129,0.00726088,0.00047467,0.00282423
INS,T,1,2,0.00068412,0.00011176,0.03148762,0.00132082,0.05160397,0,0.00316527,2.425e-05,0.0016096
INS,T,1,3,0.00118537,0.00373607,0.02164211,0.00249088,0.03043679,6.523e-05,0.00311076,0.00019931,0.00051725
INS,T,1,4,0.00309022,0.01558,0.0149237,0.00848304,0.00716499,0.00086354,0.00506318,0.00107958,0.00515791
INS,T,1,5+,0.00225045,0.90626249,0.00044762,0.04727714,0.00111549,0.00373436,0.03175138,0.0048987,0.23680663
DEL,repeats,2,0,0.0001389,0.00019287,0.02882569,0.00935186,0.00648297,0.0013807,0.01274572,0.06788146,0.00095142
DEL,repeats,2,1,0.00356727,8.544e-05,0.01441212,0.00535771,0.00974831,0.0004576,0.00199888,0.22432064,0.0063212
DEL,repeats,2,2,0.00177783,0.00011515,0.00199288,0.00023786,0.01188643,0.00116505,0.00050058,0.04994502,0.00197943
DEL,repeats,2,3,0.00076525,0.00022825,0,0.00011526,0.00615665,0.00021733,0.00012567,0.00905943,0.00042977
DEL,repeats,2,4,0.0009514,6.66e-06,0.0003771,0.00010861,0.00328365,0.00014261,0.00012874,0.00273418,1.005e-05
DEL,repeats,2,5+,0,0,0.02324073,0.00085546,0.00028002,9.86e-06,0.00117779,0.00183227,3e-08
DEL,repeats,3,0,5.6e-07,0.00011394,0.01874776,0.01157502,0.00099078,0.001885,0.00286344,0.00459115,0.00105746
DEL,repeats,3,1,0.00500482,0.003786,0.00214409,0.00258243,6.7e-05,0.00490729,0.00230149,0.08578637,0.00473837
DEL,repeats,3,2,0.00237724,0.00049974,9.538e-05,0.00066507,2.074e-05,0.00019569,0.00173119,0.0182644,0.00119937
DEL,repeats,3,3,0.00046465,0.00038366,0.00036513,0.00028801,2.049e-05,8.923e-05,0.0004799,0.00362765,0.0004154
DEL,repeats,3,4,0,2e-08,0.0064519,0.00022184,7.66e-06,2.92e-06,0.00037465,0.00025458,1.061e-05
DEL,repeats,3,5+,0,1e-08,0.00946829,0.00039293,7.064e-05,9.27e-06,0.00054945,0.0004095,1e-08
DEL,repeats,4,0,3.01e-06,5.554e-05,0.01195209,0.00650084,0.00056125,0.002426,0.00139016,0.00740461,0.00025645
DEL,repeats,4,1,0.00224222,0.00044731,0.00020434,0.00081014,0.00029785,0.00249572,0.00382033,0.05859667,0.00077754
DEL,repeats,4,2,0.00053683,1.2e-06,0,2.23e-05,5.17e-06,0.0002088,8.71e-06,0.01217503,0.00057428
DEL,repeats,4,3,4.89e-06,6e-08,0.00400982,0.00012663,1.063e-05,3.507e-05,0.00022823,0.0046571,1.672e-05
DEL,repeats,4,4,0,1e-08,0.00460668,0.00015548,5.017e-05,0.00014388,0.00028064,0.00073526,4.23e-06
DEL,repeats,4,5+,0.00023436,2.479e-05,0.00175499,9.214e-05,0.00014796,0,0.00011837,0.00065671,2.034e-05
DEL,repeats,5+,0,0,0,0.01891336,0.2460724,0.00235607,0.02808647,0.00061823,0.00456755,0.00225174
DEL,repeats,5+,1,0.00305862,1.98e-05,9.105e-05,0.00015553,0,0.00703153,7.772e-05,0.01391933,0.00012958
DEL,repeats,5+,2,0.00044847,7.514e-05,0.00036469,0.00045011,3.606e-05,0.00032376,0.00019962,0.00218957,2.597e-05
DEL,repeats,5+,3,0.00016177,1.83e-06,0.00014732,6.77e-06,1.511e-05,0.00016993,2.223e-05,0.00143742,0.00016819
DEL,repeats,5+,4,5.115e-05,1.362e-05,9.79e-05,9.931e-05,5.208e-05,6.179e-05,1.623e-05,0.000143,2.17e-06
DEL,repeats,5+,5+,1.658e-05,1.328e-05,0.00062723,5.114e-05,2.911e-05,0,3.959e-05,0,0.0001826
INS,repeats,2,0,0.00031413,0.00043134,0.00883945,0.00207391,0.00236766,0.0020766,0.00118343,0.00151564,0.02472541
INS,repeats,2,1,0.00026767,6.77e-06,0.01980347,0.00179874,0.00351138,0.00022162,0.00162951,0.00015885,3.253e-05
INS,repeats,2,2,0.00103929,0.00029811,0.00757865,0.00045218,0.0012744,0.00058923,0.00144906,0.00013182,0.0013884
INS,repeats,2,3,0.00039058,0.00049388,0.00110204,0.000293,0.0009789,0.00049932,0.00030944,0.00022502,0.0007454
INS,repeats,2,4,0.00186648,0.00276309,3.621e-05,0.00098379,0.00010386,6.11e-05,0.00100711,4.393e-05,0.0025539
INS,repeats,2,5+,0.01405767,0.01519642,0.00046927,0.01076872,3.09e-06,0.00053524,0.00756292,0.00014732,0.00175316
INS,repeats,3,0,4.877e-05,3.2e-07,0.00434532,0.00064907,0.00014452,0.00097426,0.00034235,0,0.00663618
INS,repeats,3,1,0.00126785,0.0003054,0.00647172,0.00112585,0.00020955,0.00020116,0.00051949,0.0006785,0.00246523
INS,repeats,3,2,0.00023007,1.255e-05,0.00143001,0.00019825,0.0001163,0.00059556,0.00012595,0.00035362,0.00014299
INS,repeats,3,3,5.3e-07,0.00010337,1.717e-05,3.655e-05,0,0.00019726,7.92e-06,9.785e-05,0.00026445
INS,repeats,3,4,0.00011307,8.81e-05,1.34e-06,0.00012774,1.313e-05,0.00019578,4.382e-05,8.103e-05,0.00044119
INS,repeats,3,5+,0.00189934,0.00091888,8.12e-06,0.00022549,4.967e-05,3.645e-05,0.00020163,2.91e-06,0.00272799
INS,repeats,4,0,1.133e-05,9e-08,0.00279885,0.00065667,2.727e-05,0.00179304,0.00014297,4.956e-05,0.00526918
INS,repeats,4,1,0.0011582,0.00079988,0.00403073,0.00160435,0.00020753,0.00049532,0.00100897,0.00113817,0.00177008
