Signature,NumberOfPostSamples
low confidence hdp.1,3200
low confidence hdp.2,2703
low confidence hdp.3,2595
low confidence hdp.4,2400
low confidence hdp.5,2196
low confidence hdp.6,1785
low confidence hdp.7,1600
low confidence hdp.8,1415
low confidence hdp.9,990
low confidence hdp.10,980
low confidence hdp.11,925
low confidence hdp.12,800
low confidence hdp.13,600
low confidence hdp.14,575
low confidence hdp.15,400
low confidence hdp.16,31
low confidence hdp.17,24
low confidence hdp.18,5
low confidence hdp.19,2
low confidence hdp.20,2
