"ex.sig","gt.sig","sim"
"signeR.11","SBS1",0.999796970089441
"signeR.14","SBS2",0.999494161941631
"signeR.7","SBS3",0.994714576493148
"signeR.2","SBS4",0.999525888054442
"signeR.1","SBS5",0.983594008922212
"signeR.4","SBS7a",0.997439998907186
"signeR.5","SBS7b",0.994502769374152
"signeR.18","SBS7c",0.998689113003226
"signeR.22","SBS7d",0.980456493696389
"signeR.6","SBS12",0.922981425849559
"signeR.23","SBS13",0.999647817951696
"signeR.19","SBS17a",0.999771093025745
"signeR.9","SBS17b",0.999158475694707
"signeR.15","SBS18",0.997063909861818
"signeR.30","SBS22",0.993314134783857
"signeR.28","SBS28",0.995454619506969
"signeR.3","SBS40",0.992505088274812
"signeR.29","SBS41",0.93838845153251
"signeR.10","SBS44",0.967845360635707
