Signature,NumberOfPostSamples
low confidence hdp.1,1065
low confidence hdp.2,1003
low confidence hdp.3,1000
low confidence hdp.4,1000
low confidence hdp.5,1000
low confidence hdp.6,999
low confidence hdp.7,803
low confidence hdp.8,801
low confidence hdp.9,800
low confidence hdp.10,798
low confidence hdp.11,798
low confidence hdp.12,780
low confidence hdp.13,779
low confidence hdp.14,771
low confidence hdp.15,601
low confidence hdp.16,600
low confidence hdp.17,596
low confidence hdp.18,594
low confidence hdp.19,400
low confidence hdp.20,400
low confidence hdp.21,400
low confidence hdp.22,400
low confidence hdp.23,400
low confidence hdp.24,399
low confidence hdp.25,387
low confidence hdp.26,382
low confidence hdp.27,376
low confidence hdp.28,339
low confidence hdp.29,338
low confidence hdp.30,314
low confidence hdp.31,271
low confidence hdp.32,200
low confidence hdp.33,200
low confidence hdp.34,200
low confidence hdp.35,200
low confidence hdp.36,200
low confidence hdp.37,200
low confidence hdp.38,200
low confidence hdp.39,200
low confidence hdp.40,200
low confidence hdp.41,200
low confidence hdp.42,200
low confidence hdp.43,200
low confidence hdp.44,200
low confidence hdp.45,200
low confidence hdp.46,200
low confidence hdp.47,200
low confidence hdp.48,200
low confidence hdp.49,200
low confidence hdp.50,200
low confidence hdp.51,200
low confidence hdp.52,200
low confidence hdp.53,200
low confidence hdp.54,200
low confidence hdp.55,200
low confidence hdp.56,200
low confidence hdp.57,200
low confidence hdp.58,199
low confidence hdp.59,199
low confidence hdp.60,198
low confidence hdp.61,198
low confidence hdp.62,197
low confidence hdp.63,197
low confidence hdp.64,196
low confidence hdp.65,195
low confidence hdp.66,195
low confidence hdp.67,194
low confidence hdp.68,194
low confidence hdp.69,191
low confidence hdp.70,190
low confidence hdp.71,190
low confidence hdp.72,189
low confidence hdp.73,183
low confidence hdp.74,182
low confidence hdp.75,182
low confidence hdp.76,181
low confidence hdp.77,178
low confidence hdp.78,164
low confidence hdp.79,162
low confidence hdp.80,159
low confidence hdp.81,156
low confidence hdp.82,147
low confidence hdp.83,146
low confidence hdp.84,142
low confidence hdp.85,128
low confidence hdp.86,121
low confidence hdp.87,120
low confidence hdp.88,117
low confidence hdp.89,108
low confidence hdp.90,102
low confidence hdp.91,97
low confidence hdp.92,95
low confidence hdp.93,92
low confidence hdp.94,90
low confidence hdp.95,90
low confidence hdp.96,90
low confidence hdp.97,85
low confidence hdp.98,84
low confidence hdp.99,80
low confidence hdp.100,79
low confidence hdp.101,71
low confidence hdp.102,68
low confidence hdp.103,65
low confidence hdp.104,59
low confidence hdp.105,58
low confidence hdp.106,58
low confidence hdp.107,54
low confidence hdp.108,53
low confidence hdp.109,52
low confidence hdp.110,50
low confidence hdp.111,47
low confidence hdp.112,47
low confidence hdp.113,47
low confidence hdp.114,46
low confidence hdp.115,42
low confidence hdp.116,41
low confidence hdp.117,41
low confidence hdp.118,38
low confidence hdp.119,34
low confidence hdp.120,27
low confidence hdp.121,26
low confidence hdp.122,23
low confidence hdp.123,23
low confidence hdp.124,22
low confidence hdp.125,21
low confidence hdp.126,19
low confidence hdp.127,19
low confidence hdp.128,18
low confidence hdp.129,18
low confidence hdp.130,17
low confidence hdp.131,17
low confidence hdp.132,14
low confidence hdp.133,14
low confidence hdp.134,13
low confidence hdp.135,12
low confidence hdp.136,12
low confidence hdp.137,11
low confidence hdp.138,10
low confidence hdp.139,10
low confidence hdp.140,10
low confidence hdp.141,10
low confidence hdp.142,10
low confidence hdp.143,8
low confidence hdp.144,8
low confidence hdp.145,8
low confidence hdp.146,7
low confidence hdp.147,6
low confidence hdp.148,6
low confidence hdp.149,6
low confidence hdp.150,6
low confidence hdp.151,5
low confidence hdp.152,4
low confidence hdp.153,4
low confidence hdp.154,4
low confidence hdp.155,4
low confidence hdp.156,4
low confidence hdp.157,4
low confidence hdp.158,4
low confidence hdp.159,4
low confidence hdp.160,4
low confidence hdp.161,3
low confidence hdp.162,3
low confidence hdp.163,2
low confidence hdp.164,2
low confidence hdp.165,2
low confidence hdp.166,2
low confidence hdp.167,2
low confidence hdp.168,2
low confidence hdp.169,2
low confidence hdp.170,2
low confidence hdp.171,2
low confidence hdp.172,2
low confidence hdp.173,2
low confidence hdp.174,2
low confidence hdp.175,2
low confidence hdp.176,2
low confidence hdp.177,2
low confidence hdp.178,2
low confidence hdp.179,2
low confidence hdp.180,2
low confidence hdp.181,2
low confidence hdp.182,2
low confidence hdp.183,2
low confidence hdp.184,2
low confidence hdp.185,2
low confidence hdp.186,2
low confidence hdp.187,2
low confidence hdp.188,2
low confidence hdp.189,2
low confidence hdp.190,2
low confidence hdp.191,2
low confidence hdp.192,2
low confidence hdp.193,2
low confidence hdp.194,2
low confidence hdp.195,2
low confidence hdp.196,2
low confidence hdp.197,2
low confidence hdp.198,2
low confidence hdp.199,2
low confidence hdp.200,2
low confidence hdp.201,2
low confidence hdp.202,2
low confidence hdp.203,2
low confidence hdp.204,2
low confidence hdp.205,2
low confidence hdp.206,2
low confidence hdp.207,2
low confidence hdp.208,2
low confidence hdp.209,2
low confidence hdp.210,2
