Signature,NumberOfPostSamples
low confidence hdp.1,3590
low confidence hdp.2,3400
low confidence hdp.3,3400
low confidence hdp.4,2423
low confidence hdp.5,2322
low confidence hdp.6,2200
low confidence hdp.7,2192
low confidence hdp.8,1400
low confidence hdp.9,1394
low confidence hdp.10,1200
low confidence hdp.11,994
low confidence hdp.12,779
low confidence hdp.13,763
low confidence hdp.14,600
low confidence hdp.15,600
low confidence hdp.16,500
low confidence hdp.17,490
low confidence hdp.18,197
low confidence hdp.19,12
low confidence hdp.20,2
low confidence hdp.21,2
