Signature,NumberOfPostSamples
low confidence hdp.1,3200
low confidence hdp.2,2800
low confidence hdp.3,2795
low confidence hdp.4,2266
low confidence hdp.5,1596
low confidence hdp.6,1394
low confidence hdp.7,1380
low confidence hdp.8,1326
low confidence hdp.9,1200
low confidence hdp.10,1188
low confidence hdp.11,1120
low confidence hdp.12,1000
low confidence hdp.13,600
low confidence hdp.14,599
low confidence hdp.15,200
low confidence hdp.16,200
low confidence hdp.17,31
low confidence hdp.18,2
low confidence hdp.19,2
low confidence hdp.20,2
low confidence hdp.21,2
