Type,Subtype,Indel_size,Repeat_MH_size,W.1 (ID2 1),W.2 (ID6 0.996),W.3 (ID9 0.994),W.4 (ID5 0.993),W.5 (ID8 0.998),W.6 (ID1 1),W.7 (ID11 0.998),W.8 (ID13 0.984),W.9 (ID3 0.991),W.10 (ID4 1),W.11 (False Positive) (ID14 0.888)
DEL,C,1,0,0.00477270096016983,0.0246823268397376,0.37584854101598,0.0217250548887363,0.0364371713355623,1.62393572556516e-69,1.10253834529196e-45,1.50853353003449e-53,0.110577441669479,0.00586656392765819,0.00138498098496686
DEL,C,1,1,3.0550188891042e-05,0.000494943263716119,0.107634307892775,0.0271818869714175,0.0215568426973273,0.000629788791956648,0,4.56510879172243e-100,0.233942663567943,1.56912228584844e-27,0
DEL,C,1,2,0,0.00738738351473105,1.37376102134742e-300,0.0260005742889334,5.62976344606776e-25,0,0,0.00530586928889556,0.206137125002585,0,8.53725069060278e-101
DEL,C,1,3,0.00248280763275074,2.59146576216676e-58,0.0105830563573614,0.0141739667027198,0.00467558808414087,0.00187947027400882,1.62561058211887e-175,0.00371474662991401,0.0737542829510525,0.000229722525141318,0
DEL,C,1,4,0.00388743659102584,0.00206285008348378,0.0137296876882622,0.00235161599390722,0.000399365786023563,0.000615824974920579,1.18262463201458e-231,0.00261593464063649,0.0499393541735038,0.000584080533701109,0.00182409475614525
DEL,C,1,5+,0.0146297280671278,0.00102033426443075,2.98530987424782e-154,0.00298256780310563,0.000426932202167038,0.00338308503753449,6.77759574282172e-138,0.000277226060957458,0.0255057564280438,0.00198524669662736,0.000232033308648574
DEL,T,1,0,0.00791297996112476,4.76650435158314e-75,0.114428958272673,0.108850202505771,0.0343029252401043,0.0012252218371354,0.000241754649330289,0.0340646555721107,0.0326245603024514,0.00270940413937911,0.0211697130835099
DEL,T,1,1,0,2.13863690802877e-206,1.01422023767455e-24,0.0881584113006406,1.11482978429193e-27,0,0,0.712967828218141,1.32840449544859e-06,0,0
DEL,T,1,2,0.00705808653289282,0.0108812931635698,0.0952525053706726,0.124180496059459,0.00774982962492568,0.000841515315465404,4.7579090314637e-112,2.02171106979637e-24,0.0109455930713942,2.04454902228478e-192,0.011644526377617
DEL,T,1,3,0.0202523807618134,0.0223102051790462,0.123061261345373,0.0949697668404918,0.00763551860678781,0.00223702832981636,2.38390103248629e-79,0.0480836265074141,0.0112210129484836,1.9242092306135e-243,0.0181569532962564
