"ex.sig","ref.sig","sim"
"signeR.1","SBS7a",0.980677403787249
"signeR.2","SBS5",0.963768117220219
"signeR.3","SBS3",0.99260198337952
"signeR.5","SBS7b",0.999965958227352
"signeR.6","SBS18",0.991944042423507
"signeR.8","SBS4",0.94514357963818
"signeR.9","SBS44",0.959222278015468
"signeR.10","SBS17b",0.999505912982772
"signeR.11","SBS1",0.999630664259544
"signeR.13","SBS2",0.99998309152749
"signeR.14","SBS17a",0.999959584077734
"signeR.15","SBS13",0.999926039615117
"signeR.16","SBS7d",0.999529520614972
"signeR.17","SBS28",0.931572184149061
"signeR.18","SBS7c",0.994291148460222
