Signature,NumberOfPostSamples
low confidence hdp.1,3100
low confidence hdp.2,2800
low confidence hdp.3,1596
low confidence hdp.4,1000
low confidence hdp.5,901
low confidence hdp.6,798
low confidence hdp.7,753
low confidence hdp.8,550
low confidence hdp.9,400
low confidence hdp.10,200
low confidence hdp.11,200
low confidence hdp.12,199
low confidence hdp.13,192
low confidence hdp.14,93
low confidence hdp.15,88
low confidence hdp.16,78
low confidence hdp.17,45
low confidence hdp.18,36
low confidence hdp.19,29
low confidence hdp.20,9
low confidence hdp.21,6
low confidence hdp.22,4
low confidence hdp.23,3
low confidence hdp.24,2
