Type,Subtype,Indel_size,Repeat_MH_size,signeR.1 (ID1 1),signeR.2 (ID2 0.999),signeR.3 (False Positive) (ID2 1),signeR.4 (False Positive) (ID2 0.995),signeR.5 (False Positive) (ID2 0.998),signeR.6 (ID5 0.967),signeR.7 (False Positive) (ID8 0.866),signeR.8 (False Positive) (ID1 0.97),signeR.9 (ID3 0.995),signeR.10 (ID9 0.998),signeR.11 (False Positive) (ID14 0.853),signeR.12 (ID4 0.998)
DEL,C,1,0,4.06337630926624e-06,0.00223712747500851,0.0022538364181526,0.0060243356638751,0.00817231283865832,0.0215311062113378,0.029778296170371,0.00788551654568959,0.111465804105977,0.365427082589783,0.000461783829915779,0.00921274938486592
DEL,C,1,1,0.000536439860501398,3.37592801897976e-05,1.94512589365354e-05,1.37451199817237e-05,0.000101246419501719,0.0242186673706388,0.00886883836152767,0.000190983751688691,0.213338802158371,0.0990058642386871,8.19286222934811e-05,0.00143928761166393
DEL,C,1,2,8.74144930215354e-07,1.01477826060499e-06,2.13626339616981e-06,2.33809107292289e-06,3.92931891809403e-06,0.0188692100780824,0.00441285111038926,5.33194028728814e-06,0.188595537750427,4.42400936775099e-05,0.000171009855504759,0.000187707252716247
DEL,C,1,3,0.00182832129506752,0.000922521592749131,0.00158682328010609,0.00346663300693878,0.00374409216913382,0.0123400402095012,0.0015637614139823,0.00438490196133504,0.0628578808109367,0.0098089970960467,0.000107377794291963,0.000821324086000849
DEL,C,1,4,0.000468398764820396,0.00223310817732758,0.00258174284441816,0.00482899031013104,0.00196121260089887,0.00154653054008732,0.00158025035747323,0.0120530928405677,0.0426187307796741,0.0114266190927,0.000226005343049029,0.00140720177297558
DEL,C,1,5+,0.00259248994495212,0.0100160105279871,0.00631261026779313,0.0149022511935281,0.0148387285822284,0.000924507858712756,9.11326337094782e-05,0.0445376091746442,0.0223232342311905,0.000216289361529929,0.000422218168936841,0.00218788276428285
DEL,T,1,0,0.000120838352440551,0.00383574092228306,0.00682197003508506,0.0115588179206544,0.00689058549644811,0.101709047577308,0.0102569561080131,0.0254091014071954,0.0372312183829288,0.111742471555516,0.00939355838235434,0.00386346740406963
DEL,T,1,1,6.99446992921242e-07,1.069444573906e-06,1.78875417023428e-06,1.91313753015935e-06,2.34448461373264e-06,0.141742821009966,1.78629498863502e-05,4.16861491725946e-06,0.00392996116155095,0.0332671674914936,5.45352519248377e-05,0.00530282760030688
DEL,T,1,2,0.000497499353352201,0.0013848496076921,0.00744822911613344,0.0103925205777851,0.00266841396093906,0.102214459656545,0.00877310624192682,0.0163205068321419,0.0183667985840631,0.0791682440921933,0.00346248425715173,0.000174665509501354
DEL,T,1,3,0.0011272300887556,0.00539300679581167,0.0187388286188755,0.0204663887726752,0.000320273016398839,0.080161393193208,0.0128623948681239,0.0935400408329907,0.0125915689312293,0.121374252095739,0.00204212144317266,0.000157558965843621
DEL,T,1,4,0.00253528215546623,0.0295952490378614,0.0334856053062548,0.106020037901992,0.00456767275317587,0.0409155865764433,0.00915803273528596,0.0752549518898178,0.0120856653363471,0.0896828847943509,0.00156252520878331,0.000270489027298851
DEL,T,1,5+,6.00004618491937e-06,0.918435723864981,0.868955805345085,0.698946265329635,0.853303810568291,0.00753026393420011,4.15401762962555e-05,7.72104801950546e-05,0.000342402163673496,6.19995588733936e-05,0.00112834390155728,0.000632201110299288
INS,C,1,0,7.36816879113341e-07,8.69866095570955e-07,1.77601178131284e-06,1.79757635256633e-06,2.14855223222466e-06,0.000368657542018722,0.00184296562007218,4.46234096074867e-06,0.00173303384594527,2.89987164563849e-05,0.376229374723811,0.000187238108461377
INS,C,1,1,1.86683070108721e-06,0.00016842475878082,0.000149491164181152,0.000317741378178346,0.000129045361185181,0.00308289067278506,0.00161007226406694,0.000550938009572805,0.00258237363340016,3.04577818642128e-05,0.0938628860047105,5.37524820593544e-05
INS,C,1,2,2.05525212724177e-06,1.78338908364515e-05,7.86772196810912e-06,1.3294091463905e-05,1.69471008764855e-05,0.00420757029562843,0.000504194135293445,2.00416883047168e-05,0.00250528015302669,9.34644126284141e-05,0.0445238415684324,8.94210691147151e-05
INS,C,1,3,0.00073045228684387,0.000137403088525197,0.000299280664882656,0.000836581050771877,0.000462431149994761,0.000759320226387667,4.49083207039921e-05,0.00149989043955043,0.00746418811346388,4.42008375003295e-05,0.0183412729065808,0.000289544246145611
INS,C,1,4,0.00172866653632772,0.0013466980350896,0.00147381682387015,0.0043022932790796,0.00107801136279132,0.000117915965096947,0.000331255638432326,0.00859421818844837,0.00645648996021808,6.05190924207941e-05,0.00623832675229795,8.74281108293953e-05
INS,C,1,5+,0.0214940825844408,0.000126766643681179,0.0109478711783067,0.0266319044531752,0.0147072649252666,1.14498891914678e-05,1.46273802521099e-05,0.0296666001577859,0.00760161374376008,3.23641810752818e-05,0.000282242820106819,0.000192603184037124
INS,T,1,0,0.00225690024307706,0.00053103590938519,0.000343841940480913,0.00209298809454785,0.00191219633308489,0.00972802313084133,0.00528455145029003,0.00468991967281636,0.0170794341595169,0.0130219263979451,0.0231911998833103,0.00191931522590844
INS,T,1,1,5.022289012809e-06,1.42976996539278e-06,4.48157426570926e-06,1.20222727134764e-05,3.25084025838986e-06,0.0151214784911083,0.00190868060760535,5.99818900639692e-06,0.0553107755122798,0.00730366213652201,0.126550700457013,0.000278315086190542
INS,T,1,2,6.83109992470948e-05,0.000405949155598579,0.000312228992548671,0.0012378387651426,0.000312099916657851,0.0276749692295477,1.92413754485997e-05,0.00113814240082905,0.0440809052860294,5.42169060672851e-05,0.069413027016977,9.01467617256883e-05
INS,T,1,3,0.00351316035348491,6.04427608038629e-05,0.00126040666944821,0.00211424616772617,0.00186224316694177,0.0177610578550222,0.000439009546312201,0.00348924396385759,0.0282532993510349,6.14458528055798e-05,0.0499015954320236,0.000239500129790185
INS,T,1,4,0.0149862681419217,0.000672689740957652,0.00214413278092465,0.00431644551167109,0.00492043812507316,0.0118131473214954,0.000529115796324138,0.0226276389471403,0.00811894971950172,5.91158501639244e-05,0.0283579057438456,0.000706291930293469
INS,T,1,5+,0.908293338244503,0.00116383682532283,0.001131866763204,0.000160696277036366,0.000144088548960987,1.68449753766425e-05,0.00587730681706994,0.529182749759116,0.0107987262912275,9.21168137988988e-05,0.0511623757086351,0.00226606014766121
DEL,repeats,2,0,0.000427749857178103,4.58384066018238e-05,8.06719910909083e-05,0.000123246275777269,0.0003474260604146,0.0284370113776525,0.00276596908953288,0.00095279527434632,0.00764659348369428,0.0136832447957918,0.000116958006822187,0.0715314731450355
