Type,Subtype,Indel_size,Repeat_MH_size,W.1,W.2,W.3,W.4,W.5,W.6,W.7,W.8,W.9,W.10,W.11,W.12,W.13
DEL,C,1,0,0,0.00417703953307214,1.23165153381378e-13,0.0980722003849085,2.68143770777989e-12,0.00222026229699793,0.0248250537120368,1.8224408174151e-91,3.86172676370824e-106,0.525514739628133,0.0238607313680845,0.0193648809487293,0.0077308450646961
DEL,C,1,1,0.000345696911725168,0,0,0.244916410614913,0.0226620071106708,0,0.00192409135115573,6.89247438871178e-72,2.52950372151155e-296,0.124027763346488,0,0,0.0173454350257272
DEL,C,1,2,0,9.35072303664994e-44,0,0.219655696418264,0.0249349009851035,0,0.00439123801589972,0.00467836462715847,0,0,0,0,0
DEL,C,1,3,0.0019547157104811,0.000153686483348096,7.47981113029216e-119,0.0776439373826115,0.0134352506479368,0.00161382500789535,0,0.00311281547338195,2.12306825459357e-164,0.011362361230532,0.00931138879210359,0.0130766687359983,0.00481719542868868
DEL,C,1,4,0.000240169349029083,0.00153846436362073,0.0021825679249959,0.048135344466776,0,0.00193786509429864,0.001652162413781,0.000681570157910328,0.00563444154156662,0.0163738741488231,0.0370720234774548,1.70129408985011e-60,1.06982067955656e-243
DEL,C,1,5+,0.00104429809972443,0.00169259840854446,0.00554761232342335,0.0272939444163994,1.1125369292537e-308,0.00969617868655414,0.000626609382552796,0,6.2501490759222e-178,0,0.120743728558938,5.10385922099672e-120,0
DEL,T,1,0,0.00112530494671466,0.00200691204414559,0.0200947286089692,0.0217459521806569,0.147008144601587,0.00313408565181942,2.42485492346091e-212,0.027026430229222,0.05297385775387,0.149274137772773,0.058287915402031,0.0198520444114977,0.0280949584971043
DEL,T,1,1,0,0,0,5.74650069961024e-50,0.0631107264714926,0,0,0.765810317505786,0,0,0,0,4.14707166272166e-269
DEL,T,1,2,4.90506318617742e-73,1.14252199429076e-165,0.00506203608768852,8.2577917404219e-88,0.172636486551875,0.00456368274981975,0.00750346949777163,4.41732515224438e-30,0.0700747182824961,0.109030018923339,0.0519763441751041,1.11253692935688e-308,1.97659270461004e-94
DEL,T,1,3,2.75558459395311e-12,3.4124839381598e-177,3.27848716497398e-166,1.30535209156491e-35,1.28532733308109e-07,0.0147362929401236,9.55264172546819e-05,2.09048550885317e-98,0.795328647490634,5.08571553914452e-57,0.016056092018377,2.44301749510657e-120,6.09829340159519e-96
DEL,T,1,4,2.20425131227651e-110,1.43665247609493e-213,7.24808948684766e-148,4.82227110267245e-23,4.8187577928008e-15,0.0352554676238425,1.163421848419e-65,2.69736728513961e-103,1.0031955800157e-73,3.02152959550959e-84,0.0807425690049324,0.897313714143144,1.22672383452477e-205
DEL,T,1,5+,2.40375275770007e-21,1.76500081747464e-166,4.97888576384483e-169,7.00233743274552e-43,0.00314043389037834,0.875061348717507,3.67697167946897e-90,2.08453826418709e-66,1.91890250467732e-99,2.55022948282371e-140,7.49644192485063e-07,5.608689026143e-134,2.06279019272875e-65
INS,C,1,0,0,0,0.732251679195722,0,0,0,0,0,0,0,0,0,0
INS,C,1,1,2.50679359498516e-238,0,0.0206755110818418,0.0018760569934026,0.0131488329624726,9.89708004047218e-05,0.0015582818440231,0,0,0,0.002030957283423,0.000880329254075471,0.00189255236413553
INS,C,1,2,1.17019433564612e-05,0,0.000821128188264619,0.00243302775138175,0.0104481449661864,1.74592193523256e-05,0,3.62887146944455e-224,0,0,4.56091941516086e-05,0.000150535682160507,0.00178963633924476
INS,C,1,3,0.000784357238452704,0.000561883984794181,0.00100403747950226,0.00805071492511677,0.00229306426802453,0.000227403960987071,0,0,0,0,0.00436356586936033,0,0
INS,C,1,4,0.00133400974208495,0,0.000824200457801429,0.00863469419068523,1.37193799352293e-05,0.00167057763397545,0.000182099934201977,0,0,5.77649801241055e-231,0.0258426910951273,0,0
INS,C,1,5+,0.0190364223986798,0.000455802575275373,0,0.0091714182863281,0,0.00404553412292325,0,0,0,0,0.106901710615997,0,0
INS,T,1,0,0.00208482685780562,0.00353310380585865,0.0540999584082239,0.0204525633906019,0.00126304083757822,0.000708790817279235,0.00684620467286261,0.0494122623536027,6.64381430401509e-129,0.0164830439716893,0.0104430485608353,1.33962246184288e-43,0.00319030838673198
INS,T,1,1,1.12656631849988e-05,5.55173949082656e-139,0.00409198548325819,0.0566056429927873,0.0343896768356902,0,0.000147487457990784,0,0,0.00835709784722735,0,0,0.00373323092910159
INS,T,1,2,1.41202455983603e-27,0,0.00228257417867004,0.052031028244337,0.0534168118782059,0.000265607150468682,0,3.62004985141681e-27,0,1.32347650019864e-209,0.00672136425070603,9.42411508373394e-52,0.000545704956801228
INS,T,1,3,0.00387467151816187,5.43850630916173e-262,0,0.0292822616102968,0.036387338933044,0.000950946465855716,6.25608548203487e-93,0.0107525116000637,2.35777060801132e-283,7.34101102273782e-05,0.00621116148718468,7.97972522750208e-169,0.00015328449474777
INS,T,1,4,0.0134760373338152,0.00039765960276286,0.00520300320829502,0.00743482431887839,0.020064064831441,0.00264697953627155,0.000509179991281828,0.0116031828673169,8.01002321022136e-285,0.00377669205386396,0.0350639164363831,1.09569340612273e-175,9.19815563716607e-43
