Type,Subtype,Indel_size,Repeat_MH_size,low confidence hdp.1,low confidence hdp.2,low confidence hdp.3,low confidence hdp.4,low confidence hdp.5,low confidence hdp.6,low confidence hdp.7,low confidence hdp.8,low confidence hdp.9,low confidence hdp.10,low confidence hdp.11,low confidence hdp.12,low confidence hdp.13,low confidence hdp.14,low confidence hdp.15,low confidence hdp.16,low confidence hdp.17,low confidence hdp.18
DEL,C,1,0,0.0151658213083849,0.00239496480249088,0.0094220186690075,0.0128711635880471,0.202364676988326,0.0169621454089267,0.0192113128827955,0.00244330064531748,0.0497884424449581,0.326947475769475,0.0113500930408994,0.0314353928938904,0.0126171561358802,0.0155183810443891,0.0985993421152359,0.00288483729517655,0.00569034193782008,0.0664395229982964
DEL,C,1,1,0.029459602905686,0.000342984601544191,0.0006790119734151,0.00705289771494384,0.119326307589546,0.0238508758614108,0.0310120469050043,0.00354940739808972,0.00135944207937703,0.0335854753358548,0.0101816724437924,0.0123503531734629,0.00462345773753728,0.00195589905255843,0.00555185011141597,0.00155781213939534,0.000129325953132275,0.00227143668370244
DEL,C,1,2,0.0146261527182337,9.65090760169235e-06,5.48370714872052e-05,0.00708901075662095,0.117956190746267,0.0207284447895303,0.0248333121043068,0.000221031623838707,2.54708104512229e-05,0.00810347458103475,0.031397258714519,0.00182718215160813,0.00253053448186197,0.000210165929391027,0.209439282087041,0.00109623817216709,2.58651906264549e-05,0
DEL,C,1,3,0.0125529216108153,0.00266603303443278,0.00444327539724269,0.00124958705184809,0.0603649765134704,0.0135246840322351,0.0146680515509535,0.0204388796333873,0.0193408354026286,0.0545096480450965,0.0144923920107633,0.00591654384387446,0.00741402207843769,0.00228809681191844,0.137431975624915,0.0102700207708285,0.00512130774403807,0.00454287336740488
DEL,C,1,4,0.00620758482522125,0.00217527834477978,0.0143551111306212,0.00123122039992644,0.049903895706028,0.00263296571910373,0.00292074571790939,0.00222966836339269,0.0201229391117779,0.0535299880352999,0.0018717341630666,0.00119192181363688,0.019304363047347,0.0229691022186065,0.0366497900529036,0.00582737133625664,0.0110185712068698,0.0124929017603634
DEL,C,1,5+,0.00195037972104245,0.00796100499962803,0.0229240697297542,0.00105044843748552,0.0271762010758989,0.00288136175956879,0.00196658410850368,0.0108700127249708,0.154601826307052,0.0343033573430336,0.00210721165410852,0.00141448984510424,0.00437611226186656,0.0212742156912595,0.0146205035698586,0.00825063466420494,0.0315813977549015,0.30664395229983
DEL,T,1,0,0.0693211740091026,0.00581071686997015,0.0408231843845338,0.0108893225899791,0.0418569647852957,0.108647880732953,0.102497621590675,0.00789130328783118,0.0578906573067265,0.03806300338063,0.00954775456227892,0.0295569380200657,0.239073989276622,0.0655243131472348,0.0134949749124589,0.0168474498038311,0.0299001603641819,0.0834752981260647
DEL,T,1,1,0.00653836047360349,8.57662774092003e-06,6.13586157945071e-05,0.0022106143603717,0.0114078080396877,0.0958821830183243,0.0648145968356325,0.000194469883634913,4.24513507520382e-05,0.00890446708904467,0.160029177376539,0.00774990575861227,0.00171746550799053,0.000183047744953475,0.0137223544392063,0.000346180475421186,2.58651906264549e-05,0.00113571834185122
DEL,T,1,2,0.0169747452934913,0.00614426189765575,0.0214351240278516,0.0126035549223368,0.00940679785412442,0.0775052758619582,0.0794220983229597,0.00767539428531749,0.0184813204068138,0.00446146804461468,0.171254514130794,0.00732610919023474,0.0354350933760882,0.00369824240267114,0.0199260258606315,0.00969305331179321,0.0132947079819978,0.00511073253833049
DEL,T,1,3,0.30348226984119,0.0116839457579745,0.0967492135227938,0.0102565173444082,0.0145712718942346,0.0617485625405999,0.145171384658855,0.0061367106206549,0.100427410187925,0.0101463066014631,0.0038409341750744,0.0110025854583994,0.357137692786772,0.234263826036847,0.0105428307235217,0.00692360950842373,0.0563861155656717,0.00340715502555366
DEL,T,1,4,0.0478009559102842,0.0331318853131024,0.501311742019488,0.0141434591269803,0.0168106038734409,0.0435036600285623,0.0504908116090963,0.0385934496092483,0.00346353079371041,0.0240779552407796,0.0850830077649093,0.00218203573757018,0.1000493422513,0.401901662683683,0.0122557564916855,0.0165589660743134,0.289741865397548,0.00227143668370244
DEL,T,1,5+,0.0372738000985147,0.338613419687655,0.0187307868642914,0.0179126200159911,0.00702002661559934,0.0165527799155585,0.029852340085445,0.0181999146609233,0.0127149286917193,0.00649747456497475,0.0279442386182306,0.00922793129339352,0.0110874195017321,0.0112811647260216,0.0056049053343237,0.0138472190168475,0.353732347007397,0.010221465076661
INS,C,1,0,0.000903008972909133,5.2456054091576e-06,4.55806860187767e-05,0.000954859145870741,0.00311128042443738,0.000311447715299043,0.000489925613999548,0.000120286737780034,2.69690934189419e-05,0.00409690604096906,0.000743859359119158,0.00283969771688651,0.000887906835741041,0.00013559092218776,0.0066205338871288,0.000461573967228248,2.58651906264549e-05,0
