# Original paramaters
"","ID1","ID2","ID5","ID14"
"prob",1,1,0.216666666666667,0.166666666666667
"size",0.582115085137618,0.305869203762701,0.799117046085463,1.22358240010674
"mu",3883.28747024099,11339.9852381382,965.826650798328,1017.08441804983
# Parameters derived from synthetic exposures
"","ID1","ID2","ID5","ID14"
"prob",1,1,0.233333333333333,0.166666666666667
"size",0.664813271330132,0.336508824774182,5.2130768304661,0.809502985454203
"mu",3567.82998476391,9171.05868654272,442.269265858456,1363.76365255677
# Difference between original parameters and parameters derived from synthetic exposures
"","ID1","ID2","ID5","ID14"
"prob",0,0,-0.0166666666666667,0
"size",-0.082698186192514,-0.030639621011481,-4.41395978438064,0.414079414652532
"mu",315.457485477087,2168.92655159544,523.557384939872,-346.679234506949
