Type,Subtype,Indel_size,Repeat_MH_size,low confidence hdp.1,low confidence hdp.2,low confidence hdp.3,low confidence hdp.4,low confidence hdp.5,low confidence hdp.6,low confidence hdp.7,low confidence hdp.8,low confidence hdp.9,low confidence hdp.10,low confidence hdp.11,low confidence hdp.12,low confidence hdp.13,low confidence hdp.14,low confidence hdp.15,low confidence hdp.16,low confidence hdp.17,low confidence hdp.18,low confidence hdp.19
DEL,C,1,0,0.0200568342975151,0.0200325865916671,0.0115710800020672,0.0169090354570319,0.00164161692037241,0.0311211733073542,0.0182596762354327,0.203748996265113,0.0194739401632557,0.0161281253608205,0.0264833766510726,0.512509075897573,0.010582672366399,0.00995396931414468,0.0473005563450048,0.0106058411029592,0.179877287902546,0.0060391230143101,0.000278086763070078
DEL,C,1,1,0.028213940979904,0.0290521177999533,0.00684475200599699,0.0314297001825691,0.0125673144942667,0.0119379820004729,0.0253709166821766,0.120781245188027,0.0309558932579819,0.0189608769614626,0.0093740303170137,0.0428314372093588,0.198002402620255,0.00176206759413075,0.0111854191739234,0.0308724056693261,0.0391633351697768,0.00492319810949193,0.00704486466444197
DEL,C,1,2,0.0264361164184628,0.0259006049545633,0.00773164120869861,0.0172022337359961,0.00097823708427082,0.00212719001763659,0.0200188910997965,0.113026199433797,0.025300921552003,0.0289497562846678,0.018717578767085,0.00468716989837423,0.409833232229223,0.00408167925422297,0.00390186291640166,0.0197189827222837,0.00288651249958798,0.00380727320467376,0.000278086763070078
DEL,C,1,3,0.0157268615374248,0.0131651873543948,0.00118691590543227,0.0128638337973878,0.0122408038592564,0.00557346594171817,0.0134836018751698,0.0596754885095965,0.0142902679281517,0.0128847389192612,0.0242482680705526,0.00265805417612705,0.0142741568229924,0.00136055975140766,0.00320613610946259,0.0173018616058032,0.00717154736847062,0.00344623867664435,0.0101038190582128
DEL,C,1,4,0.00273591362902948,0.0024616263058562,0.00122746244714093,0.00504265346931572,0.00249619862205175,0.00135605173477336,0.00261928684008915,0.0499093775121817,0.00310118346460649,0.00330052537747922,0.00240715417408639,0.0360165612365076,0.0128732916295462,0.00176016471335956,0.00357498362648041,0.00451862813070218,0.00739286235620412,0.010371537350663,0.00264182424916574
DEL,C,1,5+,0.00249140013931023,0.00217448141959641,0.00107879917167311,0.00159605909201617,0.0158786027848142,0.00159670844886373,0.00320037787214042,0.027054305679429,0.00159527088179983,0.00351317881762136,0.0034438801430159,0.0282662910843725,0.0175989375256195,0.00168785524405397,0.00435287358224236,0.00423405803850147,0.00357871043994594,0.00662990678744913,0.0116796440489433
DEL,T,1,0,0.151385746964238,0.0619084056450088,0.00912985505828621,0.0643140029112246,0.00493887798601853,0.0269431707081022,0.100489082166172,0.0404785704782322,0.0829244006097948,0.258040209225104,0.00345872150145228,0.0130440378334406,0.0240512179965695,0.0201419929631469,0.00906868366360161,0.204130750471696,0.00900328205417979,0.0572732046737561,0.00254912866147571
DEL,T,1,1,0.0934575762401208,0.137415869622393,0.00184796618259068,0.00963292308117154,0.000749917023569622,0.00716318265174669,0.0977502216177397,0.0114703022666166,0.0703144586787374,0.0470233393871444,0.141006034039683,0.0350986510605748,0.0260877030302238,0.0163152997322647,0.00188265920144513,0.00172984122713522,0.0334326896363371,0.00443087829854273,0.000185391175380052
DEL,T,1,2,0.0912129776530285,0.114884841949182,0.0121800084966252,0.0259362361606702,0.00440821727782926,0.00675626610999311,0.0798235047770564,0.00946339380951391,0.0846315374584493,0.0853738631561671,0.116507175340147,0.00316897560738699,0.0333563968200815,0.0132878164252862,0.0186805898722984,0.0797486125052171,0.0447527158174293,0.0346264933700932,0.00115869484612532
DEL,T,1,3,0.0788112491257012,0.0891587462862503,0.0101050967689032,0.281207324105219,0.00554614892251491,0.0090794773683196,0.0633940918762337,0.0148144821820275,0.155884930649068,0.0291915259768457,0.00896703460296969,0.00670705795218611,0.0112995924187268,0.00568580774434416,0.0421313711906445,0.203773744356026,0.114118483568539,0.0299986871471708,0.00468112717834631
DEL,T,1,4,0.0525974117950284,0.0555297923276135,0.0148855827276159,0.0492181191370324,0.0261482578402476,0.00141542834575605,0.0431968744439708,0.0169899073537339,0.0535234526957488,0.035474621791733,0.0761190441343184,0.0469926300069208,0.0283163522016154,0.00798829347749558,0.0229294295394844,0.0342777611059946,0.0968653321843789,0.471117237757647,0.0145068594734891
DEL,T,1,5+,0.0219786769333639,0.0308008899729577,0.0178827069552922,0.0398070320434769,0.0163158205948148,0.00707367244392097,0.0187074978460853,0.00693670504310693,0.0321174670983365,0.0188945793922732,0.0332001188221989,0.0043943128422433,0.00405250288104073,0.0192114842660303,0.00611731242566895,0.0221412778404407,0.292780893453314,0.031705395825128,0.0328605858361142
INS,C,1,0,0.000544654725942537,0.000249608324803152,0.000865155193990967,0.000762958936554861,0.000319820727749692,0.00241306706541023,0.000266006057621197,0.00310524056944328,0.000370863835719776,0.00132308076738958,0.000945851189580544,0.00224232342977866,0.00111318751979205,0.000450982742774286,0.00349222937586744,0.00148752548195826,0.0004850094412032,0.000820533018248654,0.000139043381535039
INS,C,1,1,0.00110184741598234,0.0017427795003884,0.00212816226230226,0.000708104605331071,0.000769770941891466,0.0015473409240843,0.00126539613350903,0.00209474711190599,0.000945036291891472,0.000776706779657773,0.00110899196808514,0.0019280970362186,0.00191197631719136,0.00019599671943355,0.000793849704094444,0.000706251228825398,0.00177522873139424,0.00262570565839569,0.000602521319985169
INS,C,1,2,0.00306304163483129,0.00299750597106531,0.000623469475945908,0.00256512096742,0.000718409718406697,0.00103732946520921,0.0029603633736977,0.00125680578903764,0.00276160175725885,0.00169238784524516,0.0012568347309707,0.00388970507886014,0.00128090474059831,2.47374500255937e-05,0.00058637297577192,0.00124434740316856,0.000678071451779231,0.00242877773401602,0.000139043381535039
INS,C,1,3,0.000362240489226845,0.000502621997850078,0.000506654712224129,0.00182193401155454,0.00510828370213425,0.000187700273939252,0.000286878700401983,0.00552828275733275,0.000896894424262345,0.000745221129960277,0.0014373284824163,0.00126710457619504,0.00531237190241928,0.000757346546937409,0.000662034004903781,0.00067348255154168,0.000447338804993243,0.00246159905474596,0.00528364849833148
INS,C,1,4,0.000296758614096922,0.00023284438763353,0.00128396644331026,0.000560613143680119,0.0157862389039256,0.00116730137078091,0.00049086229546586,0.00647788081584057,0.000273050453131127,0.000439204308877231,0.00110442539625856,0.00288243221913284,0.00236054881622911,3.42518538815913e-05,0.000917981080013903,0.000494979493706689,0.000861715803302773,0.0077458316922673,0.00936225435669262
INS,C,1,5+,0.000543161301365724,0.00034216346918964,0.00117797441916028,0.000924469249122166,0.284263654856031,0.00690730627802453,0.00556878557490195,0.0103954544785653,0.000395002006779632,0.000579226597618774,0.000534060575118622,0.0123441920326368,0.0118584603104304,0.000587990158300651,0.00160897907263222,0.00126763041071225,0.0028252977157468,0.00580937376920047,0.177743789395625
INS,T,1,0,0.0058732492715868,0.00488892892229445,0.00244954672308361,0.0129002781133379,0.0136922979313512,0.00556215421215778,0.00548182667675017,0.0224808700608393,0.00801674718410837,0.0025501553641386,0.00137271149107018,0.00750403710494045,0.0087798543759697,0.00258220920651775,0.00651689723577159,0.0163541569654135,0.00809918678514082,0.00315084679007483,0.0064423433444568
INS,T,1,1,0.0143497818466909,0.0125432190049969,0.00117124617206452,0.0113226290365954,0.000583100948974135,0.00313882550724035,0.0120665500083031,0.0474483174194672,0.0124108524477475,0.0144032494284056,0.0121884085337354,0.0201032041864475,0.0451011505401347,0.00147853835922203,0.00489905163628798,0.0156703264105191,0.00821690752329693,0.0154260207430747,4.6347793845013e-05
INS,T,1,2,0.0290037739704809,0.0346212169148903,0.000785965496265214,0.031946166861052,0.00470947890801723,0.00125097626805784,0.0243842821102104,0.0339829095409012,0.0330347007892997,0.0258808850939644,0.0349168073361063,0.00508590230813128,0.0233564707293652,0.0027686915220953,0.00118161247839523,0.0194913266485232,0.00603201062311941,0.00239595641328607,0.00171486837226548
INS,T,1,3,0.0196118154174592,0.0184921328960101,0.00204370505533707,0.0162189886345395,0.022598075119458,0.00163623968706891,0.0185591850785384,0.025124221911087,0.0169657555835027,0.0152763269014211,0.0275511553084228,0.0120008256334916,0.0149586704970627,0.00146712107459483,0.00074183274656629,0.0217644380516779,0.00377177245052197,0.004266771694893,0.0148776418242492
INS,T,1,4,0.0117441702849824,0.0123349301393733,0.00188348867136928,0.00675633471248769,0.0969812117191637,0.00445038798368394,0.0122553231089281,0.00898945951313112,0.0101451589931404,0.010955274611822,0.00981082291222615,0.00661720960163184,0.00485640847500701,0.0043518883237333,0.001562873133005,0.00960036011051668,0.0139852236929466,0.00580937376920047,0.067714126807564
INS,T,1,5+,0.00170920123834024,0.00215111776947173,0.0442253214702238,0.00198421923547903,0.0186251334204892,0.210413482528887,0.162019804899501,0.0740870355151859,0.00113672967821919,0.00345344265734145,0.00541367090041152,0.0381194983062372,0.00473076269264028,0.00912050753635929,0.00690111339933182,0.00297246396307832,0.00207188499154765,0.020743074701326,0.367074527252503
