Signature,NumberOfPostSamples
low confidence hdp.1,3400
low confidence hdp.2,3362
low confidence hdp.3,3001
low confidence hdp.4,2913
low confidence hdp.5,1497
low confidence hdp.6,1400
low confidence hdp.7,1200
low confidence hdp.8,1000
low confidence hdp.9,1000
low confidence hdp.10,999
low confidence hdp.11,714
low confidence hdp.12,399
low confidence hdp.13,200
low confidence hdp.14,200
low confidence hdp.15,200
low confidence hdp.16,83
low confidence hdp.17,37
low confidence hdp.18,16
low confidence hdp.19,3
